run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1q1s0_cup_seed10_ckpt500000,ax1q1s0,cup,10,500000,226.1458,48,567.6875,96,624.9375,112,969.2,1
adapt_ax1q1s0_cup_seed11_ckpt500000,ax1q1s0,cup,11,500000,65.5208,48,143.3438,96,131.4643,112,96.3,1
adapt_ax1q1s0_cup_seed12_ckpt500000,ax1q1s0,cup,12,500000,438.5,48,663.25,96,698.7679,112,879.6,1
adapt_ax1q1s0_cup_seed13_ckpt500000,ax1q1s0,cup,13,500000,465.2292,48,716.1875,96,752.0179,112,977.1,1
adapt_ax1q1s0_cup_seed14_ckpt500000,ax1q1s0,cup,14,500000,499.25,48,722.8125,96,755.7946,112,971.9,1
adapt_ax1q1s0_cup_seed15_ckpt500000,ax1q1s0,cup,15,500000,474.8958,48,722.2292,96,757.8036,112,971.7,1
adapt_ax1q1s0_cup_seed16_ckpt500000,ax1q1s0,cup,16,500000,102.2292,48,133.6667,96,114.5714,112,0.0,1
adapt_ax1q1s0_cup_seed9_ckpt500000,ax1q1s0,cup,9,500000,292.9375,48,536.0104,96,589.1875,112,878.3,1
adapt_ax1q1s0_finger_seed10_ckpt500000,ax1q1s0,finger,10,500000,103.9167,48,119.8021,96,120.1071,112,100.0,1
adapt_ax1q1s0_finger_seed11_ckpt500000,ax1q1s0,finger,11,500000,53.7708,48,78.0208,96,83.8929,112,94.9,1
adapt_ax1q1s0_finger_seed12_ckpt500000,ax1q1s0,finger,12,500000,104.5625,48,141.4896,96,130.0982,112,1.0,1
adapt_ax1q1s0_finger_seed13_ckpt500000,ax1q1s0,finger,13,500000,106.6042,48,127.4792,96,123.1875,112,90.2,1
adapt_ax1q1s0_finger_seed14_ckpt500000,ax1q1s0,finger,14,500000,134.0,48,111.4583,96,97.5357,112,18.4,1
adapt_ax1q1s0_finger_seed15_ckpt500000,ax1q1s0,finger,15,500000,60.0833,48,151.0312,96,165.4732,112,303.4,1
