run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1fsk6q1s0_finger_seed1_ckpt500000,ax1fsk6q1s0,finger,1,500000,58.5833,48,82.7083,96,84.4107,112,137.3,1
adapt_ax1fsk6q1s0_finger_seed2_ckpt500000,ax1fsk6q1s0,finger,2,500000,93.7917,48,74.4062,96,71.7411,112,2.5,1
adapt_ax1fsk6q1s0_finger_seed3_ckpt500000,ax1fsk6q1s0,finger,3,500000,85.0208,48,85.9688,96,91.2411,112,98.4,1
adapt_ax1fsk6q1s0_finger_seed4_ckpt500000,ax1fsk6q1s0,finger,4,500000,85.5625,48,80.4479,96,72.8661,112,43.1,1
adapt_ax1fsk6q1s1_finger_seed1_ckpt500000,ax1fsk6q1s1,finger,1,500000,89.2083,48,76.5312,96,88.4286,112,129.2,1
adapt_ax1fsk6q1s1_finger_seed2_ckpt500000,ax1fsk6q1s1,finger,2,500000,147.3958,48,136.0625,96,128.0804,112,98.1,1
adapt_ax1fsk6q1s1_finger_seed3_ckpt500000,ax1fsk6q1s1,finger,3,500000,113.2292,48,87.7083,96,83.7232,112,91.3,1
adapt_ax1fsk6q1s1_finger_seed4_ckpt500000,ax1fsk6q1s1,finger,4,500000,98.5417,48,121.5833,96,121.9643,112,98.8,1
adapt_ax1sk6q1s0_finger_seed1_ckpt500000,ax1sk6q1s0,finger,1,500000,48.3958,48,47.4479,96,58.3125,112,98.5,1
adapt_ax1sk6q1s0_finger_seed2_ckpt500000,ax1sk6q1s0,finger,2,500000,64.375,48,73.6042,96,63.1339,112,0.5,1
adapt_ax1sk6q1s0_finger_seed3_ckpt500000,ax1sk6q1s0,finger,3,500000,42.9375,48,47.8958,96,58.9107,112,100.0,1
adapt_ax1sk6q1s0_finger_seed4_ckpt500000,ax1sk6q1s0,finger,4,500000,81.6042,48,93.625,96,89.3571,112,4.0,1
adapt_ax1sk6q1s1_finger_seed1_ckpt500000,ax1sk6q1s1,finger,1,500000,125.5833,48,191.6146,96,214.4018,112,297.0,1
adapt_ax1sk6q1s1_finger_seed2_ckpt500000,ax1sk6q1s1,finger,2,500000,71.6042,48,117.8125,96,101.7143,112,5.7,1
adapt_ax1sk6q1s1_finger_seed3_ckpt500000,ax1sk6q1s1,finger,3,500000,79.25,48,60.4271,96,86.3929,112,198.4,1
adapt_ax1sk6q1s1_finger_seed4_ckpt500000,ax1sk6q1s1,finger,4,500000,167.2708,48,176.1146,96,177.7946,112,202.2,1
