seed,iters,converged,delta_profit,delta_price,fingerprint,punish_depth,recovered,coverage,coverage_late,punish_occupancy,undercut_rate,punish_occ_dist,ref_min_idx,punish_occ_dist_exo,exo_ref_idx,punish_label_jaccard,explore_mode,explore_mix
0,1780332,True,0.7939943269860141,0.5857142857142873,True,0.2712000000000001,True,1.0,0.29333333333333333,0.6445932556399593,0.28378695659011915,0.554824605747692,8,0.9961962150879724,13,0.8478767298732407,uniform,1.0
1,1909011,True,0.8284095520538574,0.6285714285714292,False,0.0,True,1.0,0.3688888888888889,0.47457243567480756,0.19910257196003586,0.40059748215175295,8,0.9976663308907073,13,0.8290538498929307,uniform,1.0
2,1953073,True,0.8284095520538574,0.6285714285714292,True,0.2712000000000001,True,1.0,0.37777777777777777,0.598741060882005,0.26514779529490196,0.5279254794879659,8,0.9972402465243234,13,0.8635538301541005,uniform,1.0
3,1895651,True,0.9461408266197031,0.7999999999999979,True,0.38742857142857123,True,1.0,0.41333333333333333,0.5264782388741388,0.22788741176514032,0.5867810055753934,10,0.9977042187617868,13,0.7871532673636251,uniform,1.0
4,2000000,False,0.7475167886897001,0.5428571428571439,True,0.2712000000000001,True,1.0,0.49777777777777776,0.700865,0.3214235,0.411589,7,0.997392,13,0.5805978387894037,uniform,1.0
5,1622050,True,0.867614195970294,0.6714285714285712,True,0.2711999999999999,True,1.0,0.36,0.6189445454825684,0.27374865139792237,0.5467272895410129,9,0.9963823556610462,13,0.8696047264726966,uniform,1.0
6,1511521,True,0.8752956508456492,0.8428571428571419,False,0.43391999999999986,False,1.0,0.8755555555555555,0.9614672902328185,0.4268184166809459,0.6069912359801816,7,0.9965187384098534,13,0.5768564874214401,uniform,1.0
7,1941777,True,0.8284095520538574,0.6285714285714292,True,0.2712000000000001,True,1.0,0.39111111111111113,0.5470473694971153,0.23459748467511976,0.5063305415606426,8,0.9970738143463436,13,0.8538012702924138,uniform,1.0
8,2000000,False,0.8204172984081725,0.6709999999999998,True,0.37193142857142836,True,1.0,0.72,0.887247,0.44382,0.409615,6,0.996007,13,0.45771666031587593,uniform,1.0
9,1993663,True,0.9034583848008858,0.735714285714285,True,0.4029257142857141,True,1.0,0.5155555555555555,0.6712197598089547,0.30081412956954107,0.5736069736961563,9,0.9924214874830902,13,0.8083301819358252,uniform,1.0
10,1918764,True,0.7782984346416105,0.6285714285714282,False,0.24795428571428557,False,1.0,0.4577777777777778,0.9520863430833599,0.4552972642805473,0.3835620222184698,5,0.9971966328323858,13,0.4000069924034092,uniform,1.0
11,2000000,False,0.8673023661085464,0.7849999999999989,False,0.3564342857142855,False,1.0,0.8844444444444445,0.9785105,0.4637365,0.534331,6,0.9961025,13,0.5241238266266035,uniform,1.0
12,2000000,False,0.8284095520538574,0.6285714285714292,True,0.30994285714285685,True,1.0,0.28,0.552944,0.24355,0.532067,8,0.995446,13,0.7316565960285617,uniform,1.0
13,1941619,True,0.7475167886897001,0.5428571428571439,True,0.19371428571428595,True,1.0,0.28888888888888886,0.6489027970987099,0.28156502382805276,0.4842077668172798,7,0.9936625053627925,13,0.7168563473309963,uniform,1.0
14,1968112,True,0.916754768010103,0.7785714285714279,True,0.4261714285714284,True,1.0,0.28444444444444444,0.9763844740543222,0.46164954027006594,0.5336688155958604,8,0.9974650832879429,13,0.5418105867790289,uniform,1.0
15,1585801,True,0.9461408266197031,0.7999999999999979,True,0.38742857142857123,True,1.0,0.5111111111111111,0.6707380055883431,0.29560581687109544,0.6285214853566116,10,0.9946084029458929,13,0.9181942766064807,uniform,1.0
16,1567669,True,0.6886192658390157,0.5000000000000004,False,0.3021942857142854,False,1.0,0.5155555555555555,0.9275274308543449,0.4181628902529807,0.41052734984234557,5,0.9963869924071982,13,0.4380664507583756,uniform,1.0
17,1638639,True,0.7939943269860141,0.5857142857142873,True,0.2712000000000001,True,1.0,0.4444444444444444,0.6276977418455194,0.2737076317602596,0.5470887730610586,8,0.9960644168727828,13,0.8594891321776793,uniform,1.0
18,1752599,True,0.8070796802553728,0.6727142857142856,False,0.37193142857142836,False,1.0,0.4888888888888889,0.8194218985632196,0.3377024635983474,0.4214398159533356,6,0.9970443895038169,13,0.5109646974468857,uniform,1.0
19,2000000,False,0.6883159107837347,0.5000000000000004,True,0.15497142857142876,True,1.0,0.3244444444444444,0.660347,0.2860625,0.475448,6,0.9937875,13,0.6924768788431264,uniform,1.0
20,1912408,True,0.9868543032699116,1.0999999999999988,True,0.5036571428571424,True,1.0,0.3377777777777778,0.7434621691605557,0.34297440713487914,0.7554245746723502,14,0.7529716462177527,13,0.9269916903242461,uniform,1.0
21,1528118,True,0.7939943269860141,0.5857142857142873,True,0.3099428571428573,True,1.0,0.5911111111111111,0.5886286268468797,0.2551399826453193,0.489904575432002,8,0.9962306575801083,13,0.8232793287127945,uniform,1.0
22,2000000,False,0.8950847214005064,0.7142857142857131,True,0.34868571428571404,True,1.0,0.4488888888888889,0.7290295,0.3278365,0.6730825,9,0.9972905,13,0.6831420142671504,uniform,1.0
23,1682617,True,0.9572631103674928,0.9071428571428557,False,0.43391999999999986,False,1.0,0.6533333333333333,0.8774397263310665,0.3954322344300575,0.6088301734738208,9,0.9950820656156452,13,0.6833870718031221,uniform,1.0
