seed,iters,converged,exact_replay,reference,ref_min_idx,dp_online,fp_online,mask_frac,dp_punish_d025,fp_punish_d025,dp_random_d025,fp_random_d025,dp_punish_d050,fp_punish_d050,dp_random_d050,fp_random_d050,dp_punish_d100,fp_punish_d100,dp_random_d100,fp_random_d100
0,1780332,True,True,exo,13,0.7939943269860141,True,0.9961962150879724,0.7939943269860141,True,0.7939943269860141,True,0.7939943269860141,True,0.7939943269860141,True,0.1425913418894559,False,0.7939943269860141,False
1,1909011,True,True,exo,13,0.8284095520538574,False,0.9976663308907073,0.8284095520538574,False,0.8284095520538574,False,0.8284095520538574,False,0.8284095520538574,False,0.5266720985284059,False,0.8284095520538574,False
2,1953073,True,True,exo,13,0.8284095520538574,True,0.9972402465243234,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True,0.04648493344859225,False,0.0370503719000562,False
3,1895651,True,True,exo,13,0.9461408266197031,True,0.9977042187617868,0.9461408266197031,True,0.9461408266197031,True,0.9461408266197031,True,0.9461408266197031,True,0.13860991411627288,False,0.9461408266197031,False
4,2000000,False,True,exo,13,0.7475167886897001,True,0.997392,0.7475167886897001,True,0.7475167886897001,True,0.7475167886897001,True,0.7475167886897001,True,0.3712395779192865,False,0.36974618700230605,False
5,1622050,True,True,exo,13,0.867614195970294,True,0.9963823556610462,0.867614195970294,True,0.867614195970294,True,0.867614195970294,True,0.867614195970294,True,0.03984434408067726,False,0.867614195970294,False
6,1511521,True,True,exo,13,0.8752956508456492,False,0.9965187384098534,0.8752956508456492,False,0.8752956508456492,False,0.8752956508456492,False,0.8752956508456492,False,0.05088031412650632,False,0.8752956508456492,False
7,1941777,True,True,exo,13,0.8284095520538574,True,0.9970738143463436,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True,0.26202682226696616,True,0.1384607005538982,False
8,2000000,False,True,exo,13,0.8204172984081725,True,0.996007,0.8204172984081725,True,0.8204172984081725,True,0.8204172984081725,True,0.8204172984081725,True,0.4386734662290716,False,0.8204172984081725,False
9,1993663,True,True,exo,13,0.9034583848008858,True,0.9924214874830902,0.9034583848008858,True,0.9034583848008858,True,0.9034583848008858,True,0.9034583848008858,True,0.05719943360304998,False,0.8906490459772216,False
10,1918764,True,True,exo,13,0.7782984346416105,False,0.9971966328323858,0.7782984346416105,False,0.7782984346416105,False,0.7782984346416105,False,0.7782984346416105,False,0.33915731008731864,True,0.7782984346416105,False
11,2000000,False,True,exo,13,0.8673023661085464,False,0.9961025,0.8673023661085464,True,0.8673023661085464,True,0.8673023661085464,False,0.8673023661085464,False,0.22688382766882476,False,0.0706335277260116,False
12,2000000,False,True,exo,13,0.8284095520538574,True,0.995446,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True,0.23189073423427706,False,0.8284095520538574,False
13,1941619,True,True,exo,13,0.7475167886897001,True,0.9936625053627925,0.7475167886897001,True,0.7475167886897001,True,0.41719349786022913,False,0.4657434499309698,True,0.304915772447865,True,0.304915772447865,False
14,1968112,True,True,exo,13,0.916754768010103,True,0.9974650832879429,0.916754768010103,True,0.916754768010103,True,0.916754768010103,True,0.916754768010103,True,0.30440161366895746,False,0.916754768010103,False
15,1585801,True,True,exo,13,0.9461408266197031,True,0.9946084029458929,0.9461408266197031,True,0.9461408266197031,True,0.9461408266197031,True,0.9461408266197031,True,0.2544778231070687,False,0.9461408266197031,False
16,1567669,True,True,exo,13,0.6886192658390157,False,0.9963869924071982,0.6886192658390157,False,0.6886192658390157,False,0.3380309905503164,False,0.3380309905503164,False,0.40526377775905,False,0.6886192658390157,False
17,1638639,True,True,exo,13,0.7939943269860141,True,0.9960644168727828,0.7939943269860141,True,0.7939943269860141,True,0.7939943269860141,True,0.7939943269860141,True,0.14021712646700166,False,0.14021712646700166,False
18,1752599,True,True,exo,13,0.8070796802553728,False,0.9970443895038169,0.8070796802553728,False,0.8070796802553728,False,0.8070796802553728,False,0.8070796802553728,False,0.1389555865780625,False,0.10698323344768916,False
19,2000000,False,True,exo,13,0.6883159107837347,True,0.9937875,0.6883159107837347,False,0.6883159107837347,False,0.17507186054220297,False,0.1870239617203887,False,0.1379258713080653,True,0.16223923292803535,True
