seed,iters,converged,exact_replay,reference,ref_min_idx,dp_online,fp_online,mask_frac,dp_punish_d025,fp_punish_d025,dp_random_d025,fp_random_d025,dp_punish_d050,fp_punish_d050,dp_random_d050,fp_random_d050,dp_punish_d100,fp_punish_d100,dp_random_d100,fp_random_d100
0,1780332,True,True,terminal,8,0.7939943269860141,True,0.554824605747692,0.7939943269860141,True,0.7939943269860141,True,0.7939943269860141,True,0.7939943269860141,True,0.14670476524481726,False,0.7939943269860141,True
1,1909011,True,True,terminal,8,0.8284095520538574,False,0.40059748215175295,0.8284095520538574,False,0.8284095520538574,False,0.8284095520538574,False,0.8284095520538574,False,0.8284095520538574,False,0.8284095520538574,False
2,1953073,True,True,terminal,8,0.8284095520538574,True,0.5279254794879659,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True,0.3496239276511071,True,0.366946183899958,False
3,1895651,True,True,terminal,10,0.9461408266197031,True,0.5867810055753934,0.9461408266197031,True,0.9461408266197031,True,0.9461408266197031,True,0.9461408266197031,True,0.9461408266197031,False,0.9461408266197031,True
4,2000000,False,True,terminal,7,0.7475167886897001,True,0.411589,0.7475167886897001,True,0.7475167886897001,True,0.7475167886897001,True,0.7475167886897001,True,0.7678434102410089,False,0.7475167886897001,True
5,1622050,True,True,terminal,9,0.867614195970294,True,0.5467272895410129,0.867614195970294,True,0.867614195970294,True,0.867614195970294,True,0.867614195970294,True,0.08178017945890066,False,0.867614195970294,True
6,1511521,True,True,terminal,7,0.8752956508456492,False,0.6069912359801816,0.8752956508456492,False,0.8752956508456492,False,0.8752956508456492,False,0.8752956508456492,False,0.47896058324172863,False,0.8752956508456492,False
7,1941777,True,True,terminal,8,0.8284095520538574,True,0.5063305415606426,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True,0.3653043476019849,False,0.17140496496572166,False
8,2000000,False,True,terminal,6,0.8204172984081725,True,0.409615,0.8204172984081725,True,0.8204172984081725,True,0.8204172984081725,True,0.8204172984081725,True,0.5225176731336252,False,0.8204172984081725,True
9,1993663,True,True,terminal,9,0.9034583848008858,True,0.5736069736961563,0.9034583848008858,True,0.9034583848008858,True,0.9034583848008858,True,0.9034583848008858,True,0.9034583848008858,False,0.9034583848008858,True
10,1918764,True,True,terminal,5,0.7782984346416105,False,0.3835620222184698,0.7782984346416105,False,0.7782984346416105,False,0.7782984346416105,False,0.7782984346416105,False,0.43200086062258797,False,0.7782984346416105,False
11,2000000,False,True,terminal,6,0.8673023661085464,False,0.534331,0.8673023661085464,True,0.8673023661085464,False,0.8673023661085464,False,0.8673023661085464,False,0.5078602667848124,True,0.8673023661085464,False
12,2000000,False,True,terminal,8,0.8284095520538574,True,0.532067,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True,0.8284095520538574,True
13,1941619,True,True,terminal,7,0.7475167886897001,True,0.4842077668172798,0.7475167886897001,True,0.7475167886897001,True,0.4374915826990835,False,0.7475167886897001,True,0.5057464755976412,False,0.4336448577682477,False
14,1968112,True,True,terminal,8,0.916754768010103,True,0.5336688155958604,0.916754768010103,True,0.916754768010103,True,0.916754768010103,True,0.916754768010103,True,0.8648959539231266,True,0.916754768010103,True
15,1585801,True,True,terminal,10,0.9461408266197031,True,0.6285214853566116,0.9461408266197031,True,0.9461408266197031,True,0.9461408266197031,True,0.9461408266197031,True,0.9461408266197031,False,0.9461408266197031,True
16,1567669,True,True,terminal,5,0.6886192658390157,False,0.41052734984234557,0.6886192658390157,False,0.6886192658390157,False,0.3380309905503164,False,0.6886192658390157,False,0.34231747208508584,False,0.3380309905503164,False
17,1638639,True,True,terminal,8,0.7939943269860141,True,0.5470887730610586,0.7939943269860141,True,0.7939943269860141,True,0.7939943269860141,True,0.7939943269860141,True,0.404152795808158,False,0.7939943269860141,True
18,1752599,True,True,terminal,6,0.8070796802553728,False,0.4214398159533356,0.8070796802553728,False,0.8070796802553728,False,0.8070796802553728,False,0.8070796802553728,False,0.09301637138494415,False,0.8070796802553728,False
19,2000000,False,True,terminal,6,0.6883159107837347,True,0.475448,0.6883159107837347,False,0.6883159107837347,True,0.19962870014409448,False,0.21705278676439554,False,0.18881633317452792,True,0.1667455290291898,True
