run_id,err_diff,expl_mode,horizon,n_all,n_in_norew,n_in_regime,n_in_rew,n_out_norew,n_out_regime,n_out_rew,n_rewarded,n_unrewarded,nll_all,nll_in_norew,nll_in_regime,nll_in_rew,nll_out_norew,nll_out_regime,nll_out_rew,nll_rewarded,nll_unrewarded,rew_nll_all,rew_nll_in,rew_nll_out,reward_aware
ax1wm_finger_fs25q1s0_seed1,0.028738,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.4052446506089054,0.2722347696156551,0.3791124259569119,0.3792303057249353,0.4078505043360588,0.4078505043360588,,0.3792303057249353,0.40783560696498,,,,0
ax1wm_finger_fs25q1s0_seed1,0.143437,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.6878918387869996,,0.5574599054717853,0.5574599054717853,0.7008967822847042,0.7008967822847042,,0.5574599054717853,0.7008967822847042,,,,0
ax1wm_finger_fs25q1s0_seed1,0.350521,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,1.2227207879115445,,0.903967326363253,0.903967326363253,1.2544882092965284,1.2544882092965284,,0.903967326363253,1.2544882092965284,,,,0
ax1wm_finger_fs25q1s0_seed1,0.779018,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,2.050450784758402,,1.3421078187195687,1.3421078187195687,2.1211262600694516,2.1211262600694516,,1.3421078187195687,2.1211262600694516,,,,0
ax1wm_finger_fs25q1s0_seed2,-0.008932,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.22945373287336335,1.0329160638308774,0.2375755800373464,0.2366983662684565,0.22864383834714203,0.22864383834714203,,0.2366983662684565,0.2287321875480373,,,,0
ax1wm_finger_fs25q1s0_seed2,0.083134,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.4997953143548157,,0.4241984776795277,0.4241984776795277,0.5073328288620291,0.5073328288620291,,0.4241984776795277,0.5073328288620291,,,,0
ax1wm_finger_fs25q1s0_seed2,0.249844,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,0.9926293184068565,,0.7654286254915202,0.7654286254915202,1.0152724612161725,1.0152724612161725,,0.7654286254915202,1.0152724612161725,,,,0
ax1wm_finger_fs25q1s0_seed2,0.726248,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.9022688480457721,,1.2419091528705077,1.2419091528705077,1.9681567548513763,1.9681567548513763,,1.2419091528705077,1.9681567548513763,,,,0
ax1wm_finger_fs25q1s0_seed3,-0.043073,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.1882195454508365,0.840947439573938,0.22738655676014985,0.22670983519822288,0.18431388859379397,0.18431388859379397,,0.22670983519822288,0.18438601970521618,,,,0
ax1wm_finger_fs25q1s0_seed3,0.022267,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.4376603010655309,,0.41741179406178636,0.41741179406178636,0.43967921378731195,0.43967921378731195,,0.41741179406178636,0.43967921378731195,,,,0
ax1wm_finger_fs25q1s0_seed3,0.146687,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,0.8710373352814258,,0.7376446929605455,0.7376446929605455,0.8843314349209423,0.8843314349209423,,0.7376446929605455,0.8843314349209423,,,,0
ax1wm_finger_fs25q1s0_seed3,0.623574,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.8584091697992666,,1.2914083862207382,1.2914083862207382,1.914982117936586,1.914982117936586,,1.2914083862207382,1.914982117936586,,,,0
ax1wm_finger_fs25q1s0_seed4,0.016582,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.3609987750244537,0.33273031065861386,0.34591999955069147,0.34593454700167536,0.3625024006741061,0.3625024006741061,,0.34593454700167536,0.36249913021383345,,,,0
ax1wm_finger_fs25q1s0_seed4,0.105645,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.6435937540909886,,0.5475273963419525,0.5475273963419525,0.6531722179134731,0.6531722179134731,,0.5475273963419525,0.6531722179134731,,,,0
ax1wm_finger_fs25q1s0_seed4,0.272131,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,1.1821887937177438,,0.934720825332554,0.934720825332554,1.2068518019021655,1.2068518019021655,,0.934720825332554,1.2068518019021655,,,,0
ax1wm_finger_fs25q1s0_seed4,0.733811,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,2.0292800551519474,,1.3620427648059334,1.3620427648059334,2.0958541794129286,2.0958541794129286,,1.3620427648059334,2.0958541794129286,,,,0
ax1wm_finger_fs25q1s0_seed5,-0.00072,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.3792178548008332,0.29416715702973306,0.37987235161322297,0.37996687940136653,0.3791525896739376,0.3791525896739376,,0.37996687940136653,0.3791432540350532,,,,0
ax1wm_finger_fs25q1s0_seed5,0.104774,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.6537339316780818,,0.5584591749512203,0.5584591749512203,0.6632334675394113,0.6632334675394113,,0.5584591749512203,0.6632334675394113,,,,0
ax1wm_finger_fs25q1s0_seed5,0.314856,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,1.2061521573584826,,0.919831689920421,0.919831689920421,1.234687260620012,1.234687260620012,,0.919831689920421,1.234687260620012,,,,0
ax1wm_finger_fs25q1s0_seed5,0.729583,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,2.035490902685985,,1.3720982453217667,1.3720982453217667,2.1016814256741188,2.1016814256741188,,1.3720982453217667,2.1016814256741188,,,,0
ax1wm_finger_fs25q1s0_seed6,-0.040994,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.1849674738734339,1.1346802357196186,0.22224404412681642,0.2212376806802067,0.18125032805734423,0.18125032805734423,,0.2212376806802067,0.18135506221051106,,,,0
ax1wm_finger_fs25q1s0_seed6,0.013923,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.41362950320653546,,0.4009687611642147,0.4009687611642147,0.41489186458318905,0.41489186458318905,,0.4009687611642147,0.41489186458318905,,,,0
ax1wm_finger_fs25q1s0_seed6,0.12445,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,0.8094831487856678,,0.6963123701990035,0.6963123701990035,0.8207619088479631,0.8207619088479631,,0.6963123701990035,0.8207619088479631,,,,0
ax1wm_finger_fs25q1s0_seed6,0.647858,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.8294132231084994,,1.2403313989299387,1.2403313989299387,1.8881893243998584,1.8881893243998584,,1.2403313989299387,1.8881893243998584,,,,0
ax1wm_finger_fs25q1s0_seed7,-0.026883,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.30140325517167255,0.288506929607441,0.3258484119305061,0.3258895973889507,0.2989656325161518,0.2989656325161518,,0.3258895973889507,0.2989644836289777,,,,0
ax1wm_finger_fs25q1s0_seed7,0.074136,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.6028149143362548,,0.5354008419974869,0.5354008419974869,0.6095365520474515,0.6095365520474515,,0.5354008419974869,0.6095365520474515,,,,0
ax1wm_finger_fs25q1s0_seed7,0.243338,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,1.1607381722145345,,0.9394536353364465,0.9394536353364465,1.1827917025349328,1.1827917025349328,,0.9394536353364465,1.1827917025349328,,,,0
ax1wm_finger_fs25q1s0_seed7,0.713125,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,2.0409995075672893,,1.3925715986214424,1.3925715986214424,2.1056969110383434,2.1056969110383434,,1.3925715986214424,2.1056969110383434,,,,0
ax1wm_finger_fs25q1s0_seed8,0.019946,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.40344880029144037,0.26946506334934384,0.38531097858332547,0.38543874981336296,0.4052574679777917,0.4052574679777917,,0.38543874981336296,0.4052425511995463,,,,0
ax1wm_finger_fs25q1s0_seed8,0.107273,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.681712665073554,,0.5841654612701676,0.5841654612701676,0.6914387792357685,0.6914387792357685,,0.5841654612701676,0.6914387792357685,,,,0
ax1wm_finger_fs25q1s0_seed8,0.27847,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,1.2092678930490208,,0.9560351153449911,0.9560351153449911,1.2345054302940714,1.2345054302940714,,0.9560351153449911,1.2345054302940714,,,,0
ax1wm_finger_fs25q1s0_seed8,0.703518,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.980574996250194,,1.3408828098557632,1.3408828098557632,2.044400786148293,2.044400786148293,,1.3408828098557632,2.044400786148293,,,,0
ax1wm_finger_fs25q1s1_seed1,0.071041,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.30317756750739394,0.21613782360994568,0.23857857856487932,0.2386033293975502,0.3096192508446506,0.3096192508446506,,0.2386033293975502,0.3096089819218493,,,,0
ax1wm_finger_fs25q1s1_seed1,0.140094,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.4895058868825872,,0.36211376900933795,0.36211376900933795,0.502207740277574,0.502207740277574,,0.36211376900933795,0.502207740277574,,,,0
ax1wm_finger_fs25q1s1_seed1,0.256489,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,0.8456232181913702,,0.6123798674314805,0.6123798674314805,0.8688685808388669,0.8688685808388669,,0.6123798674314805,0.8688685808388669,,,,0
ax1wm_finger_fs25q1s1_seed1,0.512653,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.3939861515613465,,0.9278427515686235,0.9278427515686235,1.4404959751032211,1.4404959751032211,,0.9278427515686235,1.4404959751032211,,,,0
ax1wm_finger_fs25q1s1_seed2,0.02322,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.16348666367718845,0.46287690110815066,0.1423721593189225,0.14201866144194908,0.16559216026661816,0.16559216026661816,,0.14201866144194908,0.16562481695730014,,,,0
ax1wm_finger_fs25q1s1_seed2,0.090956,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.3964436718057466,,0.31373454763310316,0.31373454763310316,0.404690329347887,0.404690329347887,,0.31373454763310316,0.404690329347887,,,,0
ax1wm_finger_fs25q1s1_seed2,0.181583,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,0.7489488596260985,,0.5838229517920899,0.5838229517920899,0.7654055414461518,0.7654055414461518,,0.5838229517920899,0.7654055414461518,,,,0
ax1wm_finger_fs25q1s1_seed2,0.501997,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.4659822518331338,,1.009527960811583,1.009527960811583,1.511525336923849,1.511525336923849,,1.009527960811583,1.511525336923849,,,,0
ax1wm_finger_fs25q1s1_seed3,0.053626,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.23924761451263926,0.16692303165715808,0.19048417536592838,0.1905101619214895,0.24411020816249068,0.24411020816249068,,0.1905101619214895,0.24410172916104378,,,,0
ax1wm_finger_fs25q1s1_seed3,0.138235,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.4761676472629639,,0.350466344526623,0.350466344526623,0.4887009149844759,0.4887009149844759,,0.350466344526623,0.4887009149844759,,,,0
ax1wm_finger_fs25q1s1_seed3,0.223577,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,0.8740270998936894,,0.6707127018645941,0.6707127018645941,0.8942897007277391,0.8942897007277391,,0.6707127018645941,0.8942897007277391,,,,0
ax1wm_finger_fs25q1s1_seed3,0.522335,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.5124037610406378,,1.037456548384081,1.037456548384081,1.5597919918998684,1.5597919918998684,,1.037456548384081,1.5597919918998684,,,,0
ax1wm_finger_fs25q1s1_seed4,0.060218,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.2907899966585107,0.2579592453936736,0.23603200775493197,0.23600782330165393,0.2962503549470244,0.2962503549470244,,0.23600782330165393,0.2962461486735473,,,,0
ax1wm_finger_fs25q1s1_seed4,0.151261,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.49652999139042203,,0.35898313562047207,0.35898313562047207,0.5102443406460768,0.5102443406460768,,0.35898313562047207,0.5102443406460768,,,,0
