run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1fq1s0_reacher_seed10_ckpt500000,ax1fq1s0,reacher,10,500000,43.0833,48,134.1458,96,168.5893,112,276.8,1
adapt_ax1fq1s0_reacher_seed11_ckpt500000,ax1fq1s0,reacher,11,500000,21.9167,48,49.7292,96,74.3214,112,204.9,1
adapt_ax1fq1s0_reacher_seed12_ckpt500000,ax1fq1s0,reacher,12,500000,17.0625,48,16.7083,96,17.5714,112,31.0,1
adapt_ax1fq1s0_reacher_seed13_ckpt500000,ax1fq1s0,reacher,13,500000,17.3125,48,133.4792,96,167.9732,112,481.3,1
adapt_ax1fq1s0_reacher_seed14_ckpt500000,ax1fq1s0,reacher,14,500000,33.5625,48,45.0729,96,63.5,112,124.8,1
adapt_ax1fq1s0_reacher_seed15_ckpt500000,ax1fq1s0,reacher,15,500000,46.8333,48,162.7396,96,189.5893,112,416.3,1
adapt_ax1fq1s0_reacher_seed16_ckpt500000,ax1fq1s0,reacher,16,500000,18.4167,48,16.6354,96,19.4732,112,6.5,1
adapt_ax1fq1s0_reacher_seed1_ckpt500000,ax1fq1s0,reacher,1,500000,13.3125,48,100.2708,96,140.8393,112,369.8,1
adapt_ax1fq1s0_reacher_seed2_ckpt500000,ax1fq1s0,reacher,2,500000,10.1667,48,18.2708,96,23.1071,112,47.4,1
adapt_ax1fq1s0_reacher_seed3_ckpt500000,ax1fq1s0,reacher,3,500000,23.8542,48,128.9375,96,140.7857,112,298.2,1
adapt_ax1fq1s0_reacher_seed4_ckpt500000,ax1fq1s0,reacher,4,500000,47.6875,48,164.875,96,179.7232,112,213.1,1
adapt_ax1fq1s0_reacher_seed5_ckpt500000,ax1fq1s0,reacher,5,500000,30.1042,48,46.4896,96,46.5089,112,28.5,1
adapt_ax1fq1s0_reacher_seed6_ckpt500000,ax1fq1s0,reacher,6,500000,15.5417,48,16.3333,96,15.2232,112,13.3,1
adapt_ax1fq1s0_reacher_seed7_ckpt500000,ax1fq1s0,reacher,7,500000,12.8542,48,56.7188,96,82.0625,112,246.1,1
adapt_ax1fq1s0_reacher_seed8_ckpt500000,ax1fq1s0,reacher,8,500000,36.1667,48,102.7604,96,147.1429,112,416.6,1
adapt_ax1fq1s0_reacher_seed9_ckpt500000,ax1fq1s0,reacher,9,500000,17.6042,48,68.5729,96,94.4464,112,281.8,1
adapt_ax1fq1s1_reacher_seed10_ckpt500000,ax1fq1s1,reacher,10,500000,24.125,48,33.5833,96,34.3839,112,16.6,1
adapt_ax1fq1s1_reacher_seed11_ckpt500000,ax1fq1s1,reacher,11,500000,27.7083,48,116.0208,96,152.0625,112,250.3,1
adapt_ax1fq1s1_reacher_seed12_ckpt500000,ax1fq1s1,reacher,12,500000,51.75,48,56.9167,96,57.4018,112,38.4,1
adapt_ax1fq1s1_reacher_seed13_ckpt500000,ax1fq1s1,reacher,13,500000,32.5833,48,66.5938,96,94.2232,112,273.2,1
adapt_ax1fq1s1_reacher_seed14_ckpt500000,ax1fq1s1,reacher,14,500000,29.3125,48,54.8854,96,66.9821,112,187.3,1
adapt_ax1fq1s1_reacher_seed15_ckpt500000,ax1fq1s1,reacher,15,500000,20.2917,48,27.3021,96,27.1964,112,7.5,1
adapt_ax1fq1s1_reacher_seed16_ckpt500000,ax1fq1s1,reacher,16,500000,42.6458,48,144.7188,96,166.3304,112,244.9,1
adapt_ax1fq1s1_reacher_seed1_ckpt500000,ax1fq1s1,reacher,1,500000,37.5625,48,78.4167,96,98.4732,112,186.7,1
adapt_ax1fq1s1_reacher_seed2_ckpt500000,ax1fq1s1,reacher,2,500000,34.6667,48,95.9062,96,95.6696,112,97.5,1
adapt_ax1fq1s1_reacher_seed3_ckpt500000,ax1fq1s1,reacher,3,500000,44.5,48,134.5625,96,118.8304,112,20.6,1
adapt_ax1fq1s1_reacher_seed4_ckpt500000,ax1fq1s1,reacher,4,500000,17.2917,48,18.0,96,19.125,112,40.3,1
adapt_ax1fq1s1_reacher_seed5_ckpt500000,ax1fq1s1,reacher,5,500000,69.4375,48,132.0104,96,151.9821,112,377.7,1
adapt_ax1fq1s1_reacher_seed6_ckpt500000,ax1fq1s1,reacher,6,500000,16.8333,48,49.5208,96,77.7054,112,235.1,1
adapt_ax1fq1s1_reacher_seed7_ckpt500000,ax1fq1s1,reacher,7,500000,13.8542,48,45.6771,96,79.2232,112,256.8,1
adapt_ax1fq1s1_reacher_seed8_ckpt500000,ax1fq1s1,reacher,8,500000,42.5625,48,155.9896,96,169.8304,112,189.1,1
adapt_ax1fq1s1_reacher_seed9_ckpt500000,ax1fq1s1,reacher,9,500000,18.25,48,18.4688,96,17.9554,112,16.3,1
adapt_ax1q1s0_reacher_seed10_ckpt500000,ax1q1s0,reacher,10,500000,10.0,48,14.25,96,16.5179,112,27.1,1
adapt_ax1q1s0_reacher_seed11_ckpt500000,ax1q1s0,reacher,11,500000,13.875,48,42.8438,96,49.7054,112,98.5,1
adapt_ax1q1s0_reacher_seed12_ckpt500000,ax1q1s0,reacher,12,500000,15.7292,48,29.3646,96,49.0536,112,178.7,1
adapt_ax1q1s0_reacher_seed13_ckpt500000,ax1q1s0,reacher,13,500000,20.1042,48,49.8438,96,52.0893,112,52.3,1
adapt_ax1q1s0_reacher_seed14_ckpt500000,ax1q1s0,reacher,14,500000,13.5,48,23.6146,96,33.9911,112,60.9,1
adapt_ax1q1s0_reacher_seed15_ckpt500000,ax1q1s0,reacher,15,500000,10.125,48,16.6667,96,14.6429,112,2.9,1
adapt_ax1q1s0_reacher_seed16_ckpt500000,ax1q1s0,reacher,16,500000,9.1875,48,36.2292,96,35.2857,112,31.5,1
adapt_ax1q1s0_reacher_seed1_ckpt500000,ax1q1s0,reacher,1,500000,15.5208,48,44.1979,96,45.7857,112,62.6,1
adapt_ax1q1s0_reacher_seed2_ckpt500000,ax1q1s0,reacher,2,500000,43.8333,48,118.9583,96,154.5179,112,372.7,1
adapt_ax1q1s0_reacher_seed3_ckpt500000,ax1q1s0,reacher,3,500000,30.3125,48,66.7604,96,115.3393,112,515.7,1
adapt_ax1q1s0_reacher_seed4_ckpt500000,ax1q1s0,reacher,4,500000,14.6667,48,70.2917,96,83.5804,112,177.8,1
adapt_ax1q1s0_reacher_seed5_ckpt500000,ax1q1s0,reacher,5,500000,7.75,48,22.1875,96,41.1786,112,181.6,1
adapt_ax1q1s0_reacher_seed6_ckpt500000,ax1q1s0,reacher,6,500000,26.25,48,23.0312,96,20.0893,112,0.2,1
adapt_ax1q1s0_reacher_seed7_ckpt500000,ax1q1s0,reacher,7,500000,45.8542,48,142.1979,96,171.8482,112,415.9,1
adapt_ax1q1s0_reacher_seed8_ckpt500000,ax1q1s0,reacher,8,500000,13.7917,48,15.6458,96,17.3571,112,26.5,1
adapt_ax1q1s0_reacher_seed9_ckpt500000,ax1q1s0,reacher,9,500000,18.875,48,54.7604,96,69.1875,112,151.2,1
adapt_ax1q1s1_reacher_seed10_ckpt500000,ax1q1s1,reacher,10,500000,381.0417,48,621.3854,96,667.8036,112,949.9,1
adapt_ax1q1s1_reacher_seed11_ckpt500000,ax1q1s1,reacher,11,500000,396.9167,48,664.5104,96,706.2232,112,954.0,1
adapt_ax1q1s1_reacher_seed12_ckpt500000,ax1q1s1,reacher,12,500000,492.8958,48,709.9375,96,743.4911,112,945.4,1
adapt_ax1q1s1_reacher_seed13_ckpt500000,ax1q1s1,reacher,13,500000,54.0417,48,274.8125,96,336.2232,112,751.7,1
adapt_ax1q1s1_reacher_seed14_ckpt500000,ax1q1s1,reacher,14,500000,73.1042,48,201.1458,96,262.2589,112,543.5,1
adapt_ax1q1s1_reacher_seed15_ckpt500000,ax1q1s1,reacher,15,500000,61.4792,48,86.0,96,88.0982,112,153.2,1
adapt_ax1q1s1_reacher_seed16_ckpt500000,ax1q1s1,reacher,16,500000,10.0,48,23.8125,96,28.1786,112,43.2,1
