run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1fq1s0_walker_seed10_ckpt500000,ax1fq1s0,walker,10,500000,199.0985,48,324.0428,96,348.1634,112,483.244,1
adapt_ax1fq1s0_walker_seed11_ckpt500000,ax1fq1s0,walker,11,500000,266.3279,48,385.8916,96,403.4548,112,509.4431,1
adapt_ax1fq1s0_walker_seed12_ckpt500000,ax1fq1s0,walker,12,500000,274.7183,48,387.0028,96,399.8076,112,477.6211,1
adapt_ax1fq1s0_walker_seed13_ckpt500000,ax1fq1s0,walker,13,500000,203.7387,48,316.6625,96,341.8757,112,507.9356,1
adapt_ax1fq1s0_walker_seed14_ckpt500000,ax1fq1s0,walker,14,500000,205.4919,48,323.287,96,340.1826,112,442.8539,1
adapt_ax1fq1s0_walker_seed15_ckpt500000,ax1fq1s0,walker,15,500000,162.2767,48,217.4656,96,225.7632,112,265.1058,1
adapt_ax1fq1s0_walker_seed16_ckpt500000,ax1fq1s0,walker,16,500000,212.6521,48,291.02,96,321.3248,112,505.9378,1
adapt_ax1fq1s0_walker_seed1_ckpt500000,ax1fq1s0,walker,1,500000,179.8807,48,280.1091,96,291.9475,112,356.2855,1
adapt_ax1fq1s0_walker_seed2_ckpt500000,ax1fq1s0,walker,2,500000,189.4717,48,205.8045,96,228.2572,112,369.6001,1
adapt_ax1fq1s0_walker_seed3_ckpt500000,ax1fq1s0,walker,3,500000,234.2345,48,324.4152,96,345.7668,112,478.5043,1
adapt_ax1fq1s0_walker_seed4_ckpt500000,ax1fq1s0,walker,4,500000,186.8228,48,241.8842,96,255.2572,112,307.476,1
adapt_ax1fq1s0_walker_seed5_ckpt500000,ax1fq1s0,walker,5,500000,241.5316,48,333.8126,96,348.0668,112,441.554,1
adapt_ax1fq1s0_walker_seed6_ckpt500000,ax1fq1s0,walker,6,500000,233.2995,48,386.4235,96,409.8533,112,555.5478,1
adapt_ax1fq1s0_walker_seed7_ckpt500000,ax1fq1s0,walker,7,500000,209.195,48,326.572,96,344.3388,112,463.5219,1
adapt_ax1fq1s0_walker_seed8_ckpt500000,ax1fq1s0,walker,8,500000,150.3622,48,212.4289,96,231.6253,112,357.093,1
adapt_ax1fq1s0_walker_seed9_ckpt500000,ax1fq1s0,walker,9,500000,222.6358,48,354.4696,96,400.9405,112,662.3403,1
adapt_ax1fq1s1_walker_seed10_ckpt500000,ax1fq1s1,walker,10,500000,262.4422,48,385.6769,96,407.8736,112,534.8047,1
adapt_ax1fq1s1_walker_seed11_ckpt500000,ax1fq1s1,walker,11,500000,190.7619,48,327.9025,96,369.1921,112,611.7921,1
adapt_ax1fq1s1_walker_seed12_ckpt500000,ax1fq1s1,walker,12,500000,173.5317,48,350.6159,96,381.1121,112,570.9284,1
adapt_ax1fq1s1_walker_seed13_ckpt500000,ax1fq1s1,walker,13,500000,244.5364,48,465.2452,96,509.5723,112,784.1147,1
adapt_ax1fq1s1_walker_seed14_ckpt500000,ax1fq1s1,walker,14,500000,163.226,48,310.173,96,344.2206,112,560.9143,1
adapt_ax1fq1s1_walker_seed15_ckpt500000,ax1fq1s1,walker,15,500000,246.3226,48,364.0902,96,382.1733,112,491.5596,1
adapt_ax1fq1s1_walker_seed16_ckpt500000,ax1fq1s1,walker,16,500000,174.6052,48,349.737,96,385.9029,112,620.292,1
adapt_ax1fq1s1_walker_seed1_ckpt500000,ax1fq1s1,walker,1,500000,209.5269,48,311.4162,96,350.096,112,573.6274,1
adapt_ax1fq1s1_walker_seed2_ckpt500000,ax1fq1s1,walker,2,500000,199.1495,48,349.8854,96,371.5938,112,517.1737,1
adapt_ax1fq1s1_walker_seed3_ckpt500000,ax1fq1s1,walker,3,500000,215.1511,48,365.3266,96,389.2757,112,532.3781,1
adapt_ax1fq1s1_walker_seed4_ckpt500000,ax1fq1s1,walker,4,500000,194.2683,48,347.7727,96,367.2479,112,477.5331,1
adapt_ax1fq1s1_walker_seed5_ckpt500000,ax1fq1s1,walker,5,500000,239.6193,48,372.9799,96,394.2249,112,522.4719,1
adapt_ax1fq1s1_walker_seed6_ckpt500000,ax1fq1s1,walker,6,500000,220.1691,48,385.2486,96,416.9192,112,606.9224,1
adapt_ax1fq1s1_walker_seed7_ckpt500000,ax1fq1s1,walker,7,500000,296.9669,48,430.6219,96,452.5516,112,592.9987,1
adapt_ax1fq1s1_walker_seed8_ckpt500000,ax1fq1s1,walker,8,500000,272.8089,48,404.2814,96,429.4761,112,574.2612,1
