mode,domain,seed,milestone,cov,occ_phys,occ_rew,fwd,geom,vsa,retdec
apt,reacher,1,100000,0.571384,0.008659999817609787,0.00864,0.98081,0.98069,-0.047799,0.00997
apt,reacher,1,200000,0.628807,0.007224999833852053,0.0072,0.99191,0.99101,-0.026841,0.04891
apt,reacher,1,300000,0.641122,0.005783333443105221,0.00576,0.98887,0.98878,-0.028295,-0.08564
apt,reacher,1,400000,0.6312,0.005224999971687794,0.005208,0.99844,0.99875,-0.002871,0.05663
apt,reacher,2,100000,0.559952,0.007890000008046627,0.00787,0.9682,0.96968,-0.228937,0.00519
apt,reacher,2,200000,0.623113,0.007799999788403511,0.00778,0.98961,0.98977,-0.023277,-0.20648
apt,reacher,2,300000,0.645338,0.0072466665878891945,0.007233,0.99812,0.99833,-0.003351,0.2404
apt,reacher,2,400000,0.624213,0.006827500183135271,0.006815,0.98318,0.98234,-0.109263,0.03083
apt,reacher,2,500000,0.657196,0.007567309774458408,0.007553,0.96758,0.97039,-0.259904,-0.25263
apt,reacher,3,100000,0.561107,0.008999999612569809,0.00898,0.99383,0.99497,-0.013897,-0.11761
apt,reacher,3,200000,0.592551,0.007300000172108412,0.00729,0.99743,0.99759,-0.008082,0.01948
apt,reacher,3,300000,0.613663,0.005946666467934847,0.00594,0.98265,0.98349,-0.125669,0.00773
apt,reacher,3,400000,0.628353,0.005255000200122595,0.005248,0.99651,0.99619,-0.006758,-0.19229
apt,reacher,4,100000,0.616835,0.01205000001937151,0.01205,0.96223,0.96155,-0.735564,-0.98468
apt,reacher,4,200000,0.701579,0.010870000347495079,0.010865,0.98067,0.98003,-0.529522,-0.08924
apt,reacher,4,300000,0.665251,0.008746666833758354,0.008743,0.9986,0.99883,-0.005568,-0.01993
apt,reacher,4,400000,0.634992,0.007362499833106995,0.00736,0.8959,0.89326,-0.234184,-0.06321
apt,reacher,5,100000,0.60608,0.010339999571442604,0.01033,0.99651,0.99754,-0.009705,-0.01612
apt,reacher,5,200000,0.601738,0.007075000088661909,0.007065,0.99877,0.99892,-0.002764,0.15748
apt,reacher,5,300000,0.586762,0.006000000052154064,0.00599,0.98868,0.98922,-0.142127,-0.071
apt,reacher,5,400000,0.618673,0.006567500066012144,0.006557,0.9935,0.99425,-0.014289,0.03174
p2e,reacher,1,100000,0.587566,0.00791999977082014,0.00792,0.99724,0.99701,-0.002406,1.0
p2e,reacher,1,200000,0.596622,0.008949999697506428,0.008945,0.98213,0.98358,-0.015875,0.05246
p2e,reacher,1,300000,0.609212,0.010573333129286766,0.010567,0.95995,0.99735,-0.023664,0.00476
p2e,reacher,1,400000,0.592773,0.01020250003784895,0.010197,0.96507,0.97167,-0.124086,-0.02318
p2e,reacher,1,500000,0.592824,0.010669206269085407,0.010665,0.97649,0.97908,-0.085736,-42.55084
p2e,reacher,2,100000,0.575866,0.008270000107586384,0.00826,0.99085,0.99825,-0.011887,0.17004
p2e,reacher,2,200000,0.56484,0.010475000366568565,0.010465,0.98696,0.9968,-0.008433,0.08216
p2e,reacher,2,300000,0.573426,0.01133000012487173,0.011313,0.99847,0.99872,-0.004578,0.00084
p2e,reacher,2,400000,0.57292,0.011702500283718109,0.011687,0.99243,0.99792,-0.005724,-3.72763
p2e,reacher,2,500000,0.5563,0.01115697156637907,0.011145,0.96495,0.9949,-0.014611,-6.32582
p2e,reacher,3,100000,0.517114,0.00901000015437603,0.009,0.95836,0.96349,-0.008372,-0.19422
p2e,reacher,3,200000,0.556129,0.00970499962568283,0.00969,0.99704,0.99793,-0.004476,0.10239
p2e,reacher,3,300000,0.547592,0.010536666959524155,0.010523,0.97025,0.99552,-0.008867,-7.47508
p2e,reacher,3,400000,0.527118,0.012269999831914902,0.012257,0.96073,0.99642,-0.017091,0.03506
p2e,reacher,3,500000,0.535951,0.01215288881212473,0.012143,0.95696,0.96775,-0.206403,-1.02092
p2e,reacher,4,100000,0.527219,0.0086899995803833,0.00869,0.9831,0.98492,-0.027337,-181.60466
p2e,reacher,4,200000,0.590303,0.008740000426769257,0.008725,0.98423,0.98448,-0.610809,-2.95567
p2e,reacher,4,300000,0.57326,0.007873333059251308,0.007863,0.99194,0.99249,-0.057899,-0.04889
p2e,reacher,4,400000,0.577494,0.008024999871850014,0.008018,0.97598,0.97732,-0.847906,0.31729
p2e,reacher,4,500000,0.573795,0.008790450170636177,0.00878,0.96311,0.99098,-0.020544,0.04162
p2e,reacher,5,100000,0.547228,0.010520000010728836,0.01051,0.98066,0.99537,-0.020903,0.00678
p2e,reacher,5,200000,0.564395,0.010285000316798687,0.010275,0.95053,0.95566,-0.329901,-0.04866
p2e,reacher,5,300000,0.578125,0.008990000002086163,0.008977,0.97906,0.98671,-0.023332,0.07196
p2e,reacher,5,400000,0.587579,0.009109999984502792,0.0091,0.9645,0.97312,-0.328174,0.08301
p2e,reacher,5,500000,0.576206,0.009116086177527905,0.009102,0.97276,0.97835,-0.263054,0.26742
random,reacher,1,200000,0.372279,0.00558000011369586,0.00558,0.99431,0.99413,-0.007144,-13.25303
random,reacher,1,400000,0.373194,0.008329999633133411,0.00833,0.99028,0.99017,-0.006766,-0.02501
random,reacher,2,200000,0.37349,0.012299999594688416,0.0123,0.99617,0.99664,-0.003458,-0.0473
random,reacher,2,400000,0.370738,0.010715000331401825,0.010712,0.99807,0.99785,-0.001824,-1.29188
random,reacher,3,200000,0.368438,0.008940000087022781,0.00894,0.9965,0.99705,-0.00399,-0.01641
random,reacher,3,400000,0.373108,0.008597499690949917,0.00859,0.99667,0.99696,-0.002472,-0.48403
random,reacher,4,200000,0.375891,0.008009999990463257,0.008,0.99488,0.99507,-0.006656,-1.44736
random,reacher,4,400000,0.372931,0.007167499978095293,0.007155,0.9943,0.99508,-0.007523,-0.00585
random,reacher,5,200000,0.376619,0.008475000038743019,0.00847,0.99622,0.99698,-0.003548,-1.5385
random,reacher,5,400000,0.371376,0.009577499702572823,0.009572,0.28728,0.27473,-0.005516,-0.41751
