run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_apt_reacher_seed1_ckpt100000,apt,reacher,1,100000,26.6667,48,224.3542,96,269.6607,112,474.4,1
adapt_apt_reacher_seed1_ckpt200000,apt,reacher,1,200000,18.8958,48,19.7708,96,33.3839,112,102.0,1
adapt_apt_reacher_seed1_ckpt300000,apt,reacher,1,300000,38.9792,48,59.2188,96,57.2321,112,13.1,1
adapt_apt_reacher_seed1_ckpt400000,apt,reacher,1,400000,29.0,48,46.0417,96,54.1875,112,117.1,1
adapt_apt_reacher_seed2_ckpt100000,apt,reacher,2,100000,20.9375,48,27.3021,96,56.3214,112,288.3,1
adapt_apt_reacher_seed2_ckpt200000,apt,reacher,2,200000,27.4792,48,115.3438,96,141.2679,112,277.4,1
adapt_apt_reacher_seed2_ckpt300000,apt,reacher,2,300000,20.4375,48,43.2708,96,55.5804,112,94.9,1
adapt_apt_reacher_seed2_ckpt400000,apt,reacher,2,400000,44.4167,48,101.5,96,124.4911,112,311.8,1
adapt_apt_reacher_seed2_ckpt500000,apt,reacher,2,500000,20.5625,48,36.4479,96,48.6696,112,139.4,1
adapt_apt_reacher_seed3_ckpt100000,apt,reacher,3,100000,36.0417,48,75.0104,96,105.6875,112,272.0,1
adapt_apt_reacher_seed3_ckpt200000,apt,reacher,3,200000,51.5208,48,176.5833,96,183.9554,112,173.9,1
adapt_apt_reacher_seed3_ckpt300000,apt,reacher,3,300000,11.6042,48,77.8646,96,81.0982,112,68.9,1
adapt_apt_reacher_seed3_ckpt400000,apt,reacher,3,400000,103.5833,48,236.3958,96,231.0268,112,250.6,1
adapt_apt_reacher_seed4_ckpt100000,apt,reacher,4,100000,48.8333,48,102.2292,96,118.9375,112,204.1,1
adapt_apt_reacher_seed4_ckpt200000,apt,reacher,4,200000,65.9375,48,201.2292,96,234.4196,112,525.4,1
adapt_apt_reacher_seed4_ckpt300000,apt,reacher,4,300000,26.0208,48,34.3438,96,37.5625,112,68.7,1
adapt_apt_reacher_seed4_ckpt400000,apt,reacher,4,400000,98.2917,48,206.9479,96,226.9018,112,514.0,1
adapt_apt_reacher_seed5_ckpt100000,apt,reacher,5,100000,18.0208,48,35.7604,96,56.3393,112,239.7,1
adapt_apt_reacher_seed5_ckpt200000,apt,reacher,5,200000,27.9583,48,118.125,96,186.0804,112,645.8,1
adapt_apt_reacher_seed5_ckpt300000,apt,reacher,5,300000,34.9792,48,60.2188,96,93.3482,112,294.9,1
adapt_apt_reacher_seed5_ckpt400000,apt,reacher,5,400000,42.7708,48,169.9375,96,220.8839,112,508.9,1
adapt_p2e_reacher_seed1_ckpt100000,p2e,reacher,1,100000,13.7917,48,46.5729,96,63.1964,112,79.1,1
adapt_p2e_reacher_seed1_ckpt200000,p2e,reacher,1,200000,27.6667,48,161.2188,96,195.375,112,435.7,1
adapt_p2e_reacher_seed1_ckpt300000,p2e,reacher,1,300000,38.75,48,176.8646,96,216.7143,112,486.0,1
adapt_p2e_reacher_seed1_ckpt400000,p2e,reacher,1,400000,16.9583,48,28.7396,96,34.6161,112,52.1,1
adapt_p2e_reacher_seed1_ckpt500000,p2e,reacher,1,500000,20.5,48,37.6979,96,46.75,112,136.1,1
adapt_p2e_reacher_seed2_ckpt100000,p2e,reacher,2,100000,50.8125,48,143.2292,96,156.9286,112,219.4,1
adapt_p2e_reacher_seed2_ckpt200000,p2e,reacher,2,200000,29.75,48,131.6042,96,156.3125,112,258.1,1
adapt_p2e_reacher_seed2_ckpt300000,p2e,reacher,2,300000,24.5833,48,94.125,96,91.3125,112,67.8,1
adapt_p2e_reacher_seed2_ckpt400000,p2e,reacher,2,400000,8.3542,48,57.8958,96,87.7679,112,294.3,1
adapt_p2e_reacher_seed2_ckpt500000,p2e,reacher,2,500000,29.7708,48,70.9167,96,78.7679,112,116.2,1
adapt_p2e_reacher_seed3_ckpt100000,p2e,reacher,3,100000,30.125,48,48.3854,96,68.6339,112,173.9,1
adapt_p2e_reacher_seed3_ckpt200000,p2e,reacher,3,200000,31.9583,48,127.5625,96,151.3571,112,168.0,1
adapt_p2e_reacher_seed3_ckpt300000,p2e,reacher,3,300000,37.7917,48,45.4375,96,43.375,112,35.8,1
adapt_p2e_reacher_seed3_ckpt400000,p2e,reacher,3,400000,46.2917,48,27.8854,96,30.9107,112,78.5,1
adapt_p2e_reacher_seed3_ckpt500000,p2e,reacher,3,500000,14.375,48,11.3854,96,15.7411,112,10.2,1
adapt_p2e_reacher_seed4_ckpt100000,p2e,reacher,4,100000,20.25,48,62.0729,96,82.5179,112,202.0,1
adapt_p2e_reacher_seed4_ckpt200000,p2e,reacher,4,200000,55.6042,48,64.8438,96,78.3036,112,150.8,1
adapt_p2e_reacher_seed4_ckpt300000,p2e,reacher,4,300000,11.0417,48,15.2917,96,14.8393,112,16.8,1
adapt_p2e_reacher_seed4_ckpt400000,p2e,reacher,4,400000,67.625,48,135.1667,96,176.4732,112,353.4,1
adapt_p2e_reacher_seed4_ckpt500000,p2e,reacher,4,500000,26.2708,48,27.5104,96,28.0089,112,47.9,1
adapt_p2e_reacher_seed5_ckpt100000,p2e,reacher,5,100000,45.1667,48,137.6979,96,179.5179,112,464.7,1
adapt_p2e_reacher_seed5_ckpt200000,p2e,reacher,5,200000,28.0,48,107.2188,96,125.9732,112,232.5,1
adapt_p2e_reacher_seed5_ckpt300000,p2e,reacher,5,300000,150.4375,48,288.4479,96,329.1339,112,579.6,1
adapt_p2e_reacher_seed5_ckpt400000,p2e,reacher,5,400000,13.375,48,18.3229,96,19.2857,112,13.0,1
adapt_p2e_reacher_seed5_ckpt500000,p2e,reacher,5,500000,167.8958,48,298.3125,96,298.3661,112,152.9,1
adapt_random_reacher_seed1_ckpt200000,random,reacher,1,200000,24.125,48,25.7812,96,24.1786,112,12.5,1
adapt_random_reacher_seed1_ckpt400000,random,reacher,1,400000,14.3958,48,32.3646,96,43.7589,112,138.8,1
adapt_random_reacher_seed2_ckpt200000,random,reacher,2,200000,28.8333,48,112.375,96,136.5714,112,304.4,1
adapt_random_reacher_seed2_ckpt400000,random,reacher,2,400000,27.9375,48,50.6771,96,70.875,112,155.7,1
adapt_random_reacher_seed3_ckpt200000,random,reacher,3,200000,17.8333,48,57.3646,96,54.5625,112,59.7,1
adapt_random_reacher_seed3_ckpt400000,random,reacher,3,400000,27.125,48,53.2083,96,85.3214,112,279.5,1
adapt_random_reacher_seed4_ckpt200000,random,reacher,4,200000,26.6458,48,67.6771,96,67.4911,112,105.6,1
adapt_random_reacher_seed4_ckpt400000,random,reacher,4,400000,14.9792,48,14.1042,96,15.9643,112,21.8,1
adapt_random_reacher_seed5_ckpt200000,random,reacher,5,200000,40.3542,48,77.3854,96,86.5625,112,140.5,1
adapt_random_reacher_seed5_ckpt400000,random,reacher,5,400000,12.9167,48,12.1667,96,12.125,112,10.4,1
