run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass,_merge
adapt_apt_reacher_seed1_ckpt500000,apt,reacher,1,500000,27.3542,48,48.7188,96,48.1875,112,66.4,1,left_only
adapt_apt_reacher_seed3_ckpt500000,apt,reacher,3,500000,13.2708,48,46.6771,96,70.4196,112,188.5,1,left_only
adapt_apt_reacher_seed4_ckpt500000,apt,reacher,4,500000,18.5833,48,112.4688,96,115.4554,112,109.9,1,left_only
adapt_apt_reacher_seed5_ckpt500000,apt,reacher,5,500000,14.3958,48,76.9375,96,108.6875,112,292.0,1,left_only
adapt_random_reacher_seed1_ckpt100000,random,reacher,1,100000,28.2917,48,28.3646,96,30.625,112,70.7,1,left_only
adapt_random_reacher_seed1_ckpt300000,random,reacher,1,300000,26.7917,48,17.875,96,18.1875,112,7.7,1,left_only
adapt_random_reacher_seed1_ckpt500000,random,reacher,1,500000,13.4167,48,18.1771,96,18.7321,112,26.9,1,left_only
adapt_random_reacher_seed2_ckpt100000,random,reacher,2,100000,9.7708,48,31.9792,96,34.7679,112,56.2,1,left_only
adapt_random_reacher_seed2_ckpt300000,random,reacher,2,300000,11.375,48,14.9792,96,29.0625,112,171.4,1,left_only
adapt_random_reacher_seed2_ckpt500000,random,reacher,2,500000,23.625,48,21.2604,96,23.0446,112,43.7,1,left_only
adapt_random_reacher_seed3_ckpt100000,random,reacher,3,100000,23.1667,48,24.9583,96,21.9732,112,5.1,1,left_only
adapt_random_reacher_seed3_ckpt300000,random,reacher,3,300000,13.6458,48,50.5833,96,50.9821,112,3.0,1,left_only
adapt_random_reacher_seed3_ckpt500000,random,reacher,3,500000,12.0208,48,32.9688,96,40.5893,112,52.1,1,left_only
adapt_random_reacher_seed4_ckpt100000,random,reacher,4,100000,20.9375,48,25.6562,96,33.875,112,92.3,1,left_only
adapt_random_reacher_seed4_ckpt300000,random,reacher,4,300000,14.9583,48,46.4896,96,57.2054,112,85.7,1,left_only
adapt_random_reacher_seed4_ckpt500000,random,reacher,4,500000,16.4375,48,58.7292,96,74.4286,112,110.0,1,left_only
adapt_random_reacher_seed5_ckpt100000,random,reacher,5,100000,8.1875,48,9.2083,96,10.0804,112,17.4,1,left_only
adapt_random_reacher_seed5_ckpt300000,random,reacher,5,300000,65.8958,48,71.8542,96,91.2857,112,215.7,1,left_only
adapt_random_reacher_seed5_ckpt500000,random,reacher,5,500000,24.75,48,104.1458,96,134.4911,112,202.3,1,left_only
