run_id,deter_std,expl_mode,n_states,pr_deter,pr_head_input,pr_stoch,recon_grad,top1_share_deter,top1_share_head_input,top1_share_stoch,trace_deter,trace_head_input,trace_stoch,witness_match
ax1wm_finger_fpxpxq1ms0_seed1,0.17008568431247892,apt,120120,15.139679251274336,45.509806997721626,37.16551446754042,True,0.158838,0.070204,0.07457,16.132434526539157,39.93987929400426,23.807473278111868,True
ax1wm_finger_fpxpxq1ms0_seed2,0.15326854636294862,apt,120120,12.838421846660461,46.07330583953906,43.2790681786127,True,0.174763,0.072398,0.064427,13.277603505845786,36.987862317231254,23.710287192786097,True
ax1wm_finger_fpxpxq1ms0_seed3,0.17809300905933662,apt,120120,14.130525783172194,43.53671472832304,39.37346574802069,True,0.167321,0.07661,0.065867,17.79448823242864,41.491319364228744,23.69685949186057,True
ax1wm_finger_fpxpxq1ms0_seed4,0.16971248226096414,apt,120120,15.340124883691901,47.161509309516426,39.39094414752014,True,0.151563,0.066804,0.070462,15.719507212963952,39.37228095844284,23.652801479684143,True
ax1wm_finger_fpxpxq1ms0_seed5,0.15258244248279926,apt,120120,12.443915830583439,47.22256120674578,41.99673171629982,True,0.195147,0.071554,0.070907,12.72175010468138,36.28539409446465,23.563671923864106,True
ax1wm_finger_fpxpxq1ms0_seed6,0.16815460421990935,apt,120120,14.329942788844198,44.92705595271449,39.78735941079188,True,0.155676,0.071009,0.06658,15.50457478858725,39.18012965796835,23.67558334076807,True
ax1wm_finger_fpxpxq1ms0_seed7,0.16393028314258926,apt,120120,13.700049003155707,44.78592299398108,38.53687177378426,True,0.183773,0.080406,0.07071,14.811058250992627,38.479752665907505,23.66872308023055,True
ax1wm_finger_fpxpxq1ms0_seed8,0.1666940252761297,apt,120120,16.012973875022784,49.19153735728988,40.9796571850731,True,0.152794,0.067325,0.063133,15.141989703973305,38.65362080216193,23.51165978015924,True
ax1wm_finger_fpxpxq1ms1_seed1,0.17291934008350554,apt,120120,15.757874840852105,46.684285788965525,37.14601103079438,True,0.152223,0.06751,0.075357,16.48440647495329,40.13385784704646,23.64947926023885,True
ax1wm_finger_fpxpxq1ms1_seed2,0.1599211610779357,apt,120120,13.813079927120059,45.84801139917015,37.428045560945804,True,0.156834,0.065076,0.080745,14.140812673941257,37.82822476016032,23.68744080026294,True
ax1wm_finger_fpxpxq1ms1_seed3,0.16767243601854498,apt,120120,11.700303257599447,40.70306334589876,42.37313616133577,True,0.190265,0.082556,0.068793,15.999034877545713,39.760807331765584,23.76180149984063,True
ax1wm_finger_fpxpxq1ms1_seed4,0.1569450816341395,apt,120120,10.638392625485691,38.64931992629026,39.27845065603506,True,0.200511,0.080475,0.076862,13.587541236903071,35.72288697026663,22.135372185459165,True
ax1wm_finger_fpxpxq1ms1_seed5,0.15202215705202973,apt,120120,13.030717839538902,47.55241985516429,43.80945550696942,True,0.17377,0.071193,0.066513,12.753085929215931,36.36335699428641,23.610299374126555,True
ax1wm_finger_fpxpxq1ms1_seed6,0.1678277649084202,apt,120120,14.737934029787532,44.86971955137166,37.743109882049566,True,0.153889,0.068953,0.075293,15.620141845448833,39.399875567422896,23.779762011136448,True
ax1wm_finger_fpxpxq1ms1_seed7,0.14426252891159919,apt,120120,12.960651326608343,47.460293222599844,41.39227674669924,True,0.178128,0.064778,0.0717,11.410986352296066,34.998353475118606,23.587395390182476,True
ax1wm_finger_fpxpxq1ms1_seed8,0.1692719487516428,apt,120120,14.008308095926445,43.33642275787935,37.87142666161925,True,0.180021,0.081689,0.069666,15.850111346480247,39.24877811618204,23.398694631573193,True
ax1wm_finger_pxpxq1ms0_seed1,0.2502691702987817,task,120120,10.035033259044758,24.350124506385487,40.440340189532385,True,0.252493,0.152734,0.065857,34.72907513842954,58.60614909854885,23.877102493802916,
ax1wm_finger_pxpxq1ms0_seed2,0.22924728497685304,task,120120,11.711121165888459,30.219620316653234,40.027263788131485,True,0.202434,0.115851,0.068632,28.917620779457245,52.518329667579856,23.60073717576984,
ax1wm_finger_pxpxq1ms0_seed3,0.23247295322330322,task,120120,11.136100790470035,28.74548336725972,40.68729296929542,True,0.218813,0.126224,0.066213,30.055373362894983,53.72457571148449,23.66923026149931,
ax1wm_finger_pxpxq1ms0_seed4,0.22361529419417978,task,120120,13.286345984182411,34.85506652922956,41.31591183699765,True,0.181449,0.101288,0.068422,27.18944917006187,50.99748424779131,23.80806288595467,
ax1wm_finger_pxpxq1ms0_seed5,0.2220287709607658,task,120120,11.18732204365431,30.9336995779807,40.32393399935254,True,0.234045,0.12781,0.071316,27.198746086972697,50.90743057070505,23.708712796274035,
ax1wm_finger_pxpxq1ms0_seed6,0.2635952480941995,task,120120,9.117264868543671,20.7626144965167,43.184180913276805,True,0.262636,0.168002,0.063768,38.435592791225666,62.08939764597757,23.653832736219854,
ax1wm_finger_pxpxq1ms0_seed7,0.179359738955281,task,120120,11.555340090124213,39.33008453965503,43.21965261356335,True,0.215282,0.098899,0.069028,17.52203068063277,41.17890536592722,23.65690333765989,
ax1wm_finger_pxpxq1ms0_seed8,0.21483432919041712,task,120120,11.732315622168501,33.141497041240854,46.774472043012,True,0.216234,0.118586,0.054707,25.076455377782953,48.78284810137299,23.70642101407752,
ax1wm_finger_pxpxq1ms1_seed1,0.17852173490820936,task,120120,16.077133573429837,45.341598690384004,36.80766514591938,True,0.151932,0.072918,0.076414,17.575932861695883,41.18588235230678,23.609977897108813,
ax1wm_finger_pxpxq1ms1_seed2,0.17687772598500395,task,120120,14.800647511421271,43.386461036455316,34.450616521286406,True,0.144088,0.064963,0.08597,17.25047362712947,41.00264054415671,23.752195231760844,
ax1wm_finger_pxpxq1ms1_seed3,0.19115750191871222,task,120120,13.306217870767151,39.87018499945964,40.967734971238464,True,0.175135,0.086269,0.069978,20.747444714872405,44.61764226641639,23.870225942141474,
ax1wm_finger_pxpxq1ms1_seed4,0.1824042636137909,task,120120,14.629359393733457,42.7621892685049,37.91044158421392,True,0.161735,0.077837,0.071546,18.297043850743442,41.894202998165305,23.59718738884947,
ax1wm_finger_pxpxq1ms1_seed5,0.17475386495207662,task,120120,14.846700034585798,45.216996684079625,38.18392492532818,True,0.166366,0.073285,0.077221,16.83082545831239,40.50849239971655,23.677695530897708,
ax1wm_finger_pxpxq1ms1_seed6,0.166533035888961,task,120120,14.174151175775874,45.657259056090865,41.04726096995951,True,0.16086,0.074816,0.071389,15.407567079895053,39.119503732886415,23.711965139229623,
ax1wm_finger_pxpxq1ms1_seed7,0.16360231971398148,task,120120,14.665850190772051,45.52650025316519,38.3841025420162,True,0.163468,0.070841,0.069856,14.649804960391412,38.44771698126924,23.797940286425188,
ax1wm_finger_pxpxq1ms1_seed8,0.17478081821519942,task,120120,15.200973559443183,45.640997692088696,38.743532828852025,True,0.163482,0.074238,0.073628,16.70168877799897,40.16133676544367,23.45967619520015,
ax1wm_finger_rdepxq1ms0_seed1,0.04119329833403221,task,120120,2.3391184782066254,50.52706803229407,49.09250843392356,False,0.639969,0.045357,0.034766,0.9844892208020797,14.427356788959475,13.442887963738704,True
ax1wm_finger_rdepxq1ms0_seed2,0.03593103874773264,task,120120,1.5694507505733812,41.26963341549522,41.86727833870082,False,0.792978,0.062344,0.044411,0.7600295233739515,10.367704808464275,9.607691230332435,True
ax1wm_finger_rdepxq1ms0_seed3,0.1811024919527809,task,120120,5.9080434703683355,15.690153614939659,56.358340735370696,False,0.338931,0.20683,0.065823,24.213029239072515,43.42046755063594,19.207464553366975,True
ax1wm_finger_rdepxq1ms0_seed4,0.13453597230876865,task,120120,7.3517667421370625,8.661619953151698,16.365627524266568,False,0.312668,0.292342,0.213606,11.602646757748596,13.26399650935886,1.6613521795848398,True
ax1wm_finger_rdepxq1ms0_seed5,0.033129642780677294,task,120120,1.530175802246873,40.126474971084704,39.13488808038013,False,0.801851,0.047181,0.044498,0.6483359583019992,11.729096461841827,11.080777417845765,True
ax1wm_finger_rdepxq1ms0_seed6,0.05142689473729311,task,120120,1.877975762154204,35.953300125635515,41.39165180076602,False,0.713088,0.095795,0.042807,1.5751462354109846,12.37866508710144,10.80353462444468,True
ax1wm_finger_rdepxq1ms0_seed7,0.029741890755027808,task,120120,1.662886484314544,39.956057605050425,39.04480215408203,False,0.768012,0.050063,0.046119,0.5345157914603998,9.223960448823885,8.689459087598696,True
ax1wm_finger_rdepxq1ms0_seed8,0.04004830345947481,task,120120,1.8807939319684828,48.30495635150283,47.70791292985105,False,0.716642,0.04912,0.03587,0.9485306425595174,14.600969706878304,13.652458749818784,True
ax1wm_finger_rdepxq1ms1_seed1,0.48609869377254955,task,120120,7.22134654225789,9.678474019306865,51.472387309794655,False,0.284573,0.245434,0.070391,129.2922780393363,152.00789027188347,22.715640236529175,True
ax1wm_finger_rdepxq1ms1_seed2,0.4344435016145323,task,120120,5.781186703911602,8.425747953598421,58.631058091397314,False,0.389687,0.321339,0.058312,102.4874705782523,124.6394791004979,22.152036616112472,True
ax1wm_finger_rdepxq1ms1_seed3,0.472159895287531,task,120120,6.663243981365904,9.17616374540161,50.16518331435234,False,0.338662,0.287241,0.064219,120.29885545347787,143.44361634753534,23.144790030736097,True
ax1wm_finger_rdepxq1ms1_seed4,0.46308568892848284,task,120120,5.697123370664594,7.941171419761359,52.07203670443924,False,0.392566,0.33146,0.068443,115.97638824635364,138.86468295523593,22.888322841023246,True
ax1wm_finger_rdepxq1ms1_seed5,0.4541876457987244,task,120120,6.538294641222463,9.16046643072953,45.82702924350578,False,0.317115,0.265627,0.077532,111.68503252032875,134.61853118982037,22.933527346036335,True
ax1wm_finger_rdepxq1ms1_seed6,0.46364446547790117,task,120120,7.966929000899047,11.196650346084606,60.45868596217152,False,0.299148,0.250696,0.054155,114.63285817032123,137.61684883274043,22.984019747820213,True
ax1wm_finger_rdepxq1ms1_seed7,0.48775933745243866,task,120120,7.707843850283136,10.470175388663785,58.895101417878756,False,0.312607,0.267355,0.0596,126.96586180542374,150.08792418564985,23.122091136937634,True
ax1wm_finger_rdepxq1ms1_seed8,0.48155807411188317,task,120120,5.693194311677188,7.8047550587476895,49.38693462250165,False,0.353016,0.300407,0.068895,126.56281469588114,149.56669226847754,23.003906029909096,True
