run_id,deter_std,err_diff,expl_mode,horizon,n_all,n_in_norew,n_in_regime,n_in_rew,n_out_norew,n_out_regime,n_out_rew,n_rewarded,n_unrewarded,nll_all,nll_in_norew,nll_in_regime,nll_in_rew,nll_out_norew,nll_out_regime,nll_out_rew,nll_rewarded,nll_unrewarded,rew_nll_all,rew_nll_in,rew_nll_out,reward_aware
ax1wm_finger_pepxq1ms0_seed1,0.2440608038779109,-1.682087,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,34.90729241645856,96.30097089494977,36.467256270695025,36.41919154698952,34.785168835701135,34.785168835701135,,36.41919154698952,34.78903407289137,3.4609700066320626,47.62744607351718,0.0033461699790846037,1
ax1wm_finger_pepxq1ms0_seed1,0.2440608038779109,-1.637012,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,36.15255307320555,,37.67069076911719,37.67069076911719,36.03367871450658,36.03367871450658,,37.67069076911719,36.03367871450658,3.4552251604999107,47.5343911710794,0.0037051794044479958,1
ax1wm_finger_pepxq1ms0_seed1,0.2440608038779109,-1.304531,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,39.29964076453543,,40.50936641137007,40.50936641137007,39.20483522680869,39.20483522680869,,40.50936641137007,39.20483522680869,3.454677888193483,47.496174966701574,0.0031698344922610833,1
ax1wm_finger_pepxq1ms0_seed1,0.2440608038779109,-0.367466,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,47.14770283833516,,47.48844820870974,47.48844820870974,47.12098260775247,47.12098260775247,,47.48844820870974,47.12098260775247,3.4584513402632253,47.53753976486971,0.0019013502061388876,1
ax1wm_finger_pepxq1ms0_seed2,0.2523416800454695,-2.637947,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,32.00925402710964,89.76128387451172,34.45567950517838,34.41125223520072,31.817732769340385,31.817732769340385,,34.41125223520072,31.821373550427005,3.835882781070846,52.80143605738027,0.0025576154706653596,1
ax1wm_finger_pepxq1ms0_seed2,0.2523416800454695,-2.524086,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,33.212830307463804,,35.55362590765061,35.55362590765061,33.02953957134221,33.02953957134221,,35.55362590765061,33.02953957134221,3.8456530776073534,52.92742554946369,0.002415246076378021,1
ax1wm_finger_pepxq1ms0_seed2,0.2523416800454695,-2.255129,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,36.601688836923884,,38.69292884539438,38.69292884539438,36.43779950049666,36.43779950049666,,38.69292884539438,36.43779950049666,3.850399666469559,52.94920776028554,0.0025529127397865407,1
ax1wm_finger_pepxq1ms0_seed2,0.2523416800454695,-1.009661,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,44.001610394298645,,44.93785394084788,44.93785394084788,43.92819298170739,43.92819298170739,,44.93785394084788,43.92819298170739,3.86262760723261,53.084197375637906,0.0028196444481709535,1
ax1wm_finger_pepxq1ms0_seed3,0.2351211257689172,2.054409,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,27.171637704693552,93.76786041259766,25.266383834722298,25.211356254271855,27.320792715061863,27.320792715061863,,25.211356254271855,27.324967799652303,3.426155396331321,47.1634933546505,0.0021271345470900583,1
ax1wm_finger_pepxq1ms0_seed3,0.2351211257689172,2.160201,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,28.384993489406508,,26.38165918878385,26.38165918878385,28.541860077257862,28.541860077257862,,26.38165918878385,28.541860077257862,3.431213853763044,47.22580957446236,0.0019765093515827785,1
ax1wm_finger_pepxq1ms0_seed3,0.2351211257689172,2.540151,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,31.725498866021553,,29.369950444062074,29.369950444062074,31.910101908347375,31.910101908347375,,29.369950444062074,31.910101908347375,3.431440807900914,47.18782574494204,0.0022768368889571015,1
ax1wm_finger_pepxq1ms0_seed3,0.2351211257689172,3.824577,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,39.560384364151204,,36.013910921572524,36.013910921572524,39.83848818119475,39.83848818119475,,36.013910921572524,39.83848818119475,3.4280923142922886,47.112309312360864,0.0025069579028873575,1
ax1wm_finger_pepxq1ms0_seed4,0.2295984508706761,3.61812,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,27.89288301551457,108.52689143589565,24.537446932212543,24.469977789278666,28.15556722347404,28.15556722347404,,24.469977789278666,28.160617214223972,2.639468051178571,36.289361820850004,0.005147064766623471,1
ax1wm_finger_pepxq1ms0_seed4,0.2295984508706761,3.816945,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,29.04331633197069,,25.503545553908044,25.503545553908044,29.320490123463223,29.320490123463223,,25.503545553908044,29.320490123463223,2.6413865012203654,36.322521352339756,0.004060969772974387,1
ax1wm_finger_pepxq1ms0_seed4,0.2295984508706761,4.190297,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,32.25480538981467,,28.369033715622287,28.369033715622287,32.55933119202369,32.55933119202369,,28.369033715622287,32.55933119202369,2.6423094241808815,36.3063744320769,0.0040750497237221905,1
ax1wm_finger_pepxq1ms0_seed4,0.2295984508706761,4.458234,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,40.4644612592801,,36.33040693856288,36.33040693856288,40.78864140755181,40.78864140755181,,36.33040693856288,40.78864140755181,2.6435063736989837,36.30729623267723,0.0036928779784468515,1
ax1wm_finger_pepxq1ms0_seed5,0.22981549950460878,4.480938,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,26.854755220602165,104.26857103620257,22.69914398490255,22.633618854152136,27.18008206901675,27.18008206901675,,22.633618854152136,27.184925788589936,2.012785123488604,27.723237071722394,1.2554250577500766e-05,1
ax1wm_finger_pepxq1ms0_seed5,0.22981549950460878,4.66521,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,28.016810946073136,,23.69037255834269,23.69037255834269,28.355582975894343,28.355582975894343,,23.69037255834269,28.355582975894343,2.012960564273596,27.71868558761202,0.00013156643585330674,1
ax1wm_finger_pepxq1ms0_seed5,0.22981549950460878,5.130058,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,31.21146080109928,,26.454224879226185,26.454224879226185,31.58428278007134,31.58428278007134,,26.454224879226185,31.58428278007134,2.013050389912234,27.699036380126405,5.370738701338778e-05,1
ax1wm_finger_pepxq1ms0_seed5,0.22981549950460878,5.741949,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,38.895699132110565,,33.57127572428957,33.57127572428957,39.31322445613904,39.31322445613904,,33.57127572428957,39.31322445613904,2.0140165298205024,27.694640735780524,0.00021895558985217056,1
ax1wm_finger_pepxq1ms0_seed6,0.25386602677976455,2.3891,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,29.110450982716017,107.21283939906529,26.894805033208854,26.83028515249265,29.283905397258806,29.283905397258806,,26.83028515249265,29.288801924717045,2.632209505175516,36.146421571476935,0.008510518378375199,1
ax1wm_finger_pepxq1ms0_seed6,0.25386602677976455,2.568877,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,30.259187767358622,,27.876853995621957,27.876853995621957,30.44573105660357,30.44573105660357,,27.876853995621957,30.44573105660357,2.6340582408577204,36.17196577650597,0.007947802297264703,1
ax1wm_finger_pepxq1ms0_seed6,0.25386602677976455,3.033732,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,33.71339221394644,,30.900134161818062,30.900134161818062,33.93386570981222,33.93386570981222,,30.900134161818062,33.93386570981222,2.6376253221587964,36.18403289334828,0.008611696706751854,1
