run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1fv4q1v400s0_finger_seed1_ckpt500000,ax1fv4q1v400s0,finger,1,500000,97.25,48,59.375,96,50.9375,112,0.5,1
adapt_ax1fv4q1v400s0_finger_seed2_ckpt500000,ax1fv4q1v400s0,finger,2,500000,60.125,48,43.5,96,55.6429,112,105.6,1
adapt_ax1fv4q1v400s0_finger_seed3_ckpt500000,ax1fv4q1v400s0,finger,3,500000,158.8333,48,116.6979,96,107.8929,112,38.9,1
adapt_ax1fv4q1v400s0_finger_seed4_ckpt500000,ax1fv4q1v400s0,finger,4,500000,75.1458,48,64.875,96,64.8571,112,103.6,1
adapt_ax1fv4q1v400s0_finger_seed5_ckpt500000,ax1fv4q1v400s0,finger,5,500000,118.1458,48,90.4479,96,86.4554,112,100.0,1
adapt_ax1fv4q1v400s0_finger_seed6_ckpt500000,ax1fv4q1v400s0,finger,6,500000,115.0833,48,113.1146,96,136.9196,112,278.0,1
adapt_ax1v4q1v400s0_finger_seed1_ckpt500000,ax1v4q1v400s0,finger,1,500000,461.1667,48,664.5,96,705.0714,112,949.2,1
adapt_ax1v4q1v400s0_finger_seed2_ckpt500000,ax1v4q1v400s0,finger,2,500000,175.9375,48,464.4167,96,526.8839,112,937.4,1
adapt_ax1v4q1v400s0_finger_seed3_ckpt500000,ax1v4q1v400s0,finger,3,500000,539.2917,48,691.4375,96,709.5268,112,801.2,1
adapt_ax1v4q1v400s0_finger_seed4_ckpt500000,ax1v4q1v400s0,finger,4,500000,277.625,48,417.0,96,470.1786,112,780.1,1
adapt_ax1v4q1v400s0_finger_seed5_ckpt500000,ax1v4q1v400s0,finger,5,500000,194.375,48,279.2396,96,316.25,112,564.5,1
adapt_ax1v4q1v400s0_finger_seed6_ckpt500000,ax1v4q1v400s0,finger,6,500000,225.4167,48,220.6354,96,237.5446,112,363.6,1
