run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1fq1s0_cup_seed1_ckpt500000,ax1fq1s0,cup,1,500000,273.5417,48,608.7083,96,658.4554,112,951.4,1
adapt_ax1fq1s0_cup_seed2_ckpt500000,ax1fq1s0,cup,2,500000,205.0417,48,195.3854,96,185.0714,112,98.8,1
adapt_ax1fq1s0_cup_seed3_ckpt500000,ax1fq1s0,cup,3,500000,119.6042,48,181.5729,96,173.1518,112,0.0,1
adapt_ax1fq1s0_cup_seed4_ckpt500000,ax1fq1s0,cup,4,500000,72.25,48,138.9896,96,119.1339,112,0.0,1
adapt_ax1fq1s0_cup_seed5_ckpt500000,ax1fq1s0,cup,5,500000,389.25,48,636.1562,96,679.8929,112,945.9,1
adapt_ax1fq1s0_cup_seed6_ckpt500000,ax1fq1s0,cup,6,500000,438.9167,48,619.9375,96,665.9821,112,936.3,1
adapt_ax1fq1s0_cup_seed7_ckpt500000,ax1fq1s0,cup,7,500000,522.3333,48,687.0312,96,725.0268,112,944.7,1
adapt_ax1fq1s0_cup_seed8_ckpt500000,ax1fq1s0,cup,8,500000,508.875,48,718.875,96,752.0357,112,953.5,1
adapt_ax1fq1s0_finger_seed1_ckpt500000,ax1fq1s0,finger,1,500000,81.375,48,54.4271,96,62.5179,112,96.2,1
adapt_ax1fq1s0_finger_seed2_ckpt500000,ax1fq1s0,finger,2,500000,90.9375,48,104.1667,96,98.3036,112,1.0,1
adapt_ax1fq1s0_finger_seed3_ckpt500000,ax1fq1s0,finger,3,500000,39.9375,48,70.1146,96,63.875,112,14.0,1
adapt_ax1fq1s0_finger_seed4_ckpt500000,ax1fq1s0,finger,4,500000,67.3333,48,106.5104,96,101.1786,112,88.4,1
adapt_ax1fq1s0_finger_seed5_ckpt500000,ax1fq1s0,finger,5,500000,58.3958,48,83.3125,96,105.9464,112,286.4,1
adapt_ax1fq1s0_finger_seed6_ckpt500000,ax1fq1s0,finger,6,500000,69.8542,48,95.7292,96,86.0179,112,24.8,1
adapt_ax1fq1s0_finger_seed7_ckpt500000,ax1fq1s0,finger,7,500000,65.1875,48,57.5521,96,58.1964,112,98.5,1
adapt_ax1fq1s0_finger_seed8_ckpt500000,ax1fq1s0,finger,8,500000,47.5417,48,59.0938,96,51.8839,112,6.3,1
adapt_ax1fq1s1_cup_seed1_ckpt500000,ax1fq1s1,cup,1,500000,412.2708,48,669.1875,96,705.7054,112,934.7,1
adapt_ax1fq1s1_cup_seed2_ckpt500000,ax1fq1s1,cup,2,500000,261.1875,48,415.9896,96,492.875,112,955.5,1
adapt_ax1fq1s1_cup_seed3_ckpt500000,ax1fq1s1,cup,3,500000,691.2083,48,773.3438,96,798.4911,112,948.8,1
adapt_ax1fq1s1_cup_seed4_ckpt500000,ax1fq1s1,cup,4,500000,229.8333,48,580.2292,96,632.375,112,950.2,1
adapt_ax1fq1s1_cup_seed5_ckpt500000,ax1fq1s1,cup,5,500000,527.7917,48,730.5,96,763.1964,112,963.8,1
adapt_ax1fq1s1_cup_seed6_ckpt500000,ax1fq1s1,cup,6,500000,343.375,48,632.3646,96,674.4643,112,934.5,1
adapt_ax1fq1s1_cup_seed7_ckpt500000,ax1fq1s1,cup,7,500000,573.6667,48,754.125,96,772.1964,112,849.9,1
