run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1rgoq1s0_finger_seed10_ckpt500000,ax1rgoq1s0,finger,10,500000,97.8542,48,212.6042,96,303.5179,112,904.5,1
adapt_ax1rgoq1s0_finger_seed11_ckpt500000,ax1rgoq1s0,finger,11,500000,118.0833,48,75.9062,96,76.5714,112,17.2,1
adapt_ax1rgoq1s0_finger_seed12_ckpt500000,ax1rgoq1s0,finger,12,500000,131.8125,48,100.4896,96,100.6518,112,91.0,1
adapt_ax1rgoq1s0_finger_seed13_ckpt500000,ax1rgoq1s0,finger,13,500000,80.375,48,135.1875,96,141.5625,112,192.2,1
adapt_ax1rgoq1s0_finger_seed14_ckpt500000,ax1rgoq1s0,finger,14,500000,64.3542,48,73.5,96,71.9286,112,100.0,1
adapt_ax1rgoq1s0_finger_seed15_ckpt500000,ax1rgoq1s0,finger,15,500000,69.5625,48,81.4062,96,104.6339,112,290.4,1
adapt_ax1rgoq1s0_finger_seed16_ckpt500000,ax1rgoq1s0,finger,16,500000,11.5833,48,7.1562,96,6.9821,112,9.5,1
adapt_ax1rgoq1s0_finger_seed9_ckpt500000,ax1rgoq1s0,finger,9,500000,131.8333,48,129.3021,96,140.5089,112,92.9,1
adapt_ax1rgoq1s1_finger_seed10_ckpt500000,ax1rgoq1s1,finger,10,500000,115.6042,48,145.9688,96,133.7857,112,47.2,1
adapt_ax1rgoq1s1_finger_seed11_ckpt500000,ax1rgoq1s1,finger,11,500000,48.4375,48,98.5625,96,96.6964,112,91.6,1
adapt_ax1rgoq1s1_finger_seed12_ckpt500000,ax1rgoq1s1,finger,12,500000,42.6875,48,75.2812,96,75.0982,112,35.8,1
adapt_ax1rgoq1s1_finger_seed13_ckpt500000,ax1rgoq1s1,finger,13,500000,97.7083,48,230.2917,96,280.7857,112,733.8,1
adapt_ax1rgoq1s1_finger_seed14_ckpt500000,ax1rgoq1s1,finger,14,500000,209.0417,48,164.2708,96,159.5268,112,132.6,1
adapt_ax1rgoq1s1_finger_seed15_ckpt500000,ax1rgoq1s1,finger,15,500000,110.25,48,135.2812,96,142.0893,112,195.2,1
adapt_ax1rgoq1s1_finger_seed16_ckpt500000,ax1rgoq1s1,finger,16,500000,175.9583,48,105.125,96,94.8393,112,45.1,1
adapt_ax1rgoq1s1_finger_seed9_ckpt500000,ax1rgoq1s1,finger,9,500000,290.0208,48,248.1771,96,276.4464,112,277.5,1
adapt_ax1sgbq1s0_finger_seed10_ckpt500000,ax1sgbq1s0,finger,10,500000,115.875,48,97.8438,96,107.1607,112,141.5,1
adapt_ax1sgbq1s0_finger_seed11_ckpt500000,ax1sgbq1s0,finger,11,500000,85.5208,48,115.5,96,116.8571,112,100.0,1
adapt_ax1sgbq1s0_finger_seed12_ckpt500000,ax1sgbq1s0,finger,12,500000,70.1042,48,77.2188,96,80.8036,112,128.6,1
adapt_ax1sgbq1s0_finger_seed13_ckpt500000,ax1sgbq1s0,finger,13,500000,125.0,48,104.2396,96,98.2768,112,0.0,1
adapt_ax1sgbq1s0_finger_seed14_ckpt500000,ax1sgbq1s0,finger,14,500000,79.3542,48,72.2396,96,65.2411,112,35.8,1
adapt_ax1sgbq1s0_finger_seed15_ckpt500000,ax1sgbq1s0,finger,15,500000,106.6875,48,84.4688,96,81.4643,112,101.5,1
adapt_ax1sgbq1s0_finger_seed16_ckpt500000,ax1sgbq1s0,finger,16,500000,123.75,48,106.7396,96,91.5536,112,0.7,1
adapt_ax1sgbq1s0_finger_seed9_ckpt500000,ax1sgbq1s0,finger,9,500000,138.0,48,147.6771,96,142.6696,112,180.2,1
adapt_ax1sgbq1s1_finger_seed10_ckpt500000,ax1sgbq1s1,finger,10,500000,125.5,48,92.2604,96,96.4732,112,100.5,1
adapt_ax1sgbq1s1_finger_seed11_ckpt500000,ax1sgbq1s1,finger,11,500000,124.5208,48,103.9792,96,89.125,112,0.0,1
adapt_ax1sgbq1s1_finger_seed12_ckpt500000,ax1sgbq1s1,finger,12,500000,114.7292,48,112.0104,96,96.4911,112,5.4,1
adapt_ax1sgbq1s1_finger_seed13_ckpt500000,ax1sgbq1s1,finger,13,500000,104.1667,48,93.6771,96,89.2946,112,0.0,1
adapt_ax1sgbq1s1_finger_seed14_ckpt500000,ax1sgbq1s1,finger,14,500000,97.375,48,148.7292,96,135.6071,112,2.7,1
adapt_ax1sgbq1s1_finger_seed15_ckpt500000,ax1sgbq1s1,finger,15,500000,89.6458,48,84.625,96,82.5089,112,81.4,1
adapt_ax1sgbq1s1_finger_seed16_ckpt500000,ax1sgbq1s1,finger,16,500000,84.6458,48,67.4271,96,75.5089,112,98.4,1
adapt_ax1sgbq1s1_finger_seed9_ckpt500000,ax1sgbq1s1,finger,9,500000,74.5625,48,68.9062,96,59.6875,112,4.1,1
