run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1rgoq1s0_finger_seed1_ckpt500000,ax1rgoq1s0,finger,1,500000,66.9792,48,84.4583,96,99.1786,112,100.0,1
adapt_ax1rgoq1s0_finger_seed2_ckpt500000,ax1rgoq1s0,finger,2,500000,101.2292,48,50.6146,96,44.4464,112,11.9,1
adapt_ax1rgoq1s0_finger_seed3_ckpt500000,ax1rgoq1s0,finger,3,500000,74.5,48,100.0938,96,112.2411,112,99.4,1
adapt_ax1rgoq1s0_finger_seed4_ckpt500000,ax1rgoq1s0,finger,4,500000,100.2083,48,80.9479,96,88.8214,112,103.2,1
adapt_ax1rgoq1s0_finger_seed5_ckpt500000,ax1rgoq1s0,finger,5,500000,114.5833,48,88.4583,96,75.8393,112,0.0,1
adapt_ax1rgoq1s0_finger_seed6_ckpt500000,ax1rgoq1s0,finger,6,500000,45.3333,48,85.0417,96,72.8929,112,0.0,1
adapt_ax1rgoq1s0_finger_seed7_ckpt500000,ax1rgoq1s0,finger,7,500000,95.5625,48,171.0104,96,179.7054,112,371.0,1
adapt_ax1rgoq1s0_finger_seed8_ckpt500000,ax1rgoq1s0,finger,8,500000,125.4375,48,115.0625,96,123.2679,112,179.9,1
adapt_ax1rgoq1s1_finger_seed1_ckpt500000,ax1rgoq1s1,finger,1,500000,98.4167,48,136.9271,96,157.5357,112,348.6,1
adapt_ax1rgoq1s1_finger_seed2_ckpt500000,ax1rgoq1s1,finger,2,500000,156.8333,48,120.8333,96,114.6964,112,103.4,1
adapt_ax1rgoq1s1_finger_seed3_ckpt500000,ax1rgoq1s1,finger,3,500000,52.75,48,58.7812,96,86.5268,112,206.0,1
adapt_ax1rgoq1s1_finger_seed4_ckpt500000,ax1rgoq1s1,finger,4,500000,102.3333,48,163.3958,96,176.5268,112,277.7,1
adapt_ax1rgoq1s1_finger_seed5_ckpt500000,ax1rgoq1s1,finger,5,500000,213.3125,48,233.375,96,243.4018,112,297.1,1
adapt_ax1rgoq1s1_finger_seed6_ckpt500000,ax1rgoq1s1,finger,6,500000,122.1667,48,260.2812,96,282.9286,112,470.0,1
adapt_ax1rgoq1s1_finger_seed7_ckpt500000,ax1rgoq1s1,finger,7,500000,88.0625,48,82.3229,96,82.4643,112,124.3,1
adapt_ax1rgoq1s1_finger_seed8_ckpt500000,ax1rgoq1s1,finger,8,500000,219.8125,48,239.4792,96,266.6786,112,394.1,1
adapt_ax1rlq1s0_finger_seed1_ckpt500000,ax1rlq1s0,finger,1,500000,62.2708,48,80.1771,96,75.5893,112,13.5,1
adapt_ax1rlq1s0_finger_seed2_ckpt500000,ax1rlq1s0,finger,2,500000,74.8125,48,90.6146,96,78.9554,112,6.9,1
adapt_ax1rlq1s0_finger_seed3_ckpt500000,ax1rlq1s0,finger,3,500000,112.6458,48,74.3958,96,91.3929,112,275.6,1
adapt_ax1rlq1s0_finger_seed4_ckpt500000,ax1rlq1s0,finger,4,500000,48.75,48,55.8854,96,65.2411,112,98.4,1
adapt_ax1rlq1s0_finger_seed5_ckpt500000,ax1rlq1s0,finger,5,500000,109.9375,48,88.3646,96,77.5446,112,18.2,1
adapt_ax1rlq1s0_finger_seed6_ckpt500000,ax1rlq1s0,finger,6,500000,72.8958,48,53.4479,96,63.0982,112,55.0,1
