run_id,err_diff,expl_mode,horizon,n_all,n_in_norew,n_in_regime,n_in_rew,n_out_norew,n_out_regime,n_out_rew,n_rewarded,n_unrewarded,nll_all,nll_in_norew,nll_in_regime,nll_in_rew,nll_out_norew,nll_out_regime,nll_out_rew,nll_rewarded,nll_unrewarded,reward_aware
ax1wm_cup_fq1s0_seed1,0.005126,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.03550659236740729,0.031176066588005064,0.031176066588005064,,0.036198140019229844,0.03630253506757337,0.03664397190287535,0.03664397190287535,0.03522614261893572,0
ax1wm_cup_fq1s0_seed1,0.005305,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.045107167182707936,0.04062644031771047,0.04062644031771047,,0.04577934943378326,0.045931691662552065,0.04642917623873774,0.04642917623873774,0.04478078589456093,0
ax1wm_cup_fq1s0_seed1,0.014382,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.06382848324220756,0.05169101560095473,0.05169101560095473,,0.06921269029111773,0.06607259716616282,0.05587734196195801,0.05587734196195801,0.06580049380615888,0
ax1wm_cup_fq1s0_seed1,0.093324,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.17406789770660255,0.0953733761920687,0.0953733761920687,,0.21481894378852015,0.18869756647565952,0.10533724135909846,0.10533724135909846,0.1913784688169676,0
ax1wm_cup_fq1s0_seed10,0.004528,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.04463189179786403,0.04080689448970057,0.04080689448970057,,0.047271643156249425,0.04533491929167746,0.03900062587770912,0.03900062587770912,0.04602042312064195,0
ax1wm_cup_fq1s0_seed10,0.006814,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.05397999139520262,0.048225314946105075,0.048225314946105075,,0.05712091413198509,0.05503894271020676,0.04824011431728671,0.04824011431728671,0.055397068279775384,0
ax1wm_cup_fq1s0_seed10,0.020494,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.07585710179955424,0.05856124874612104,0.05856124874612104,,0.08382263667990164,0.07905495705331184,0.06357525355704403,0.06357525355704403,0.07890319714931723,0
ax1wm_cup_fq1s0_seed10,0.101746,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.1925671117786404,0.10677116267685191,0.10677116267685191,,0.23333040058180235,0.20851696817181026,0.1293306462493301,0.1293306462493301,0.20849391055353705,0
ax1wm_cup_fq1s0_seed11,-0.017987,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.060480050279476956,0.0756744094482045,0.0756744094482045,,0.06492921495914089,0.05768735491634727,0.03400196165348986,0.03400196165348986,0.06700889405026829,0
ax1wm_cup_fq1s0_seed11,-0.01894,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.07135635136739026,0.0873523498689227,0.0873523498689227,,0.07665676012407346,0.06841283511624492,0.04149170122073073,0.04149170122073073,0.07872941960808676,0
ax1wm_cup_fq1s0_seed11,-0.006015,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.09214088776820421,0.0972172048403143,0.0972172048403143,,0.10376413642312664,0.09120232017233972,0.05041661178449089,0.05041661178449089,0.10248917741782788,0
ax1wm_cup_fq1s0_seed11,0.068463,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.21432262045574785,0.15659238347856583,0.15659238347856583,,0.263066787430391,0.2250549335657444,0.10374890676293566,0.10374890676293566,0.24217182538897092,0
ax1wm_cup_fq1s0_seed12,0.002679,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.04686180446084463,0.04459842077137609,0.04459842077137609,,0.04856579980868871,0.047277810234064195,0.04306528204197367,0.04306528204197367,0.04779793327645666,0
