mode,domain,seed,milestone,cov,occ_phys,occ_rew,fwd,geom,vsa,retdec
apt,cup,1,100000,0.853215,0.11919999867677689,0.15195,0.98518,0.99579,-0.033919,0.46691
apt,cup,1,200000,0.873438,0.07976999878883362,0.098285,0.98483,0.99531,-0.036983,0.11021
apt,cup,1,300000,0.929649,0.06705666333436966,0.087343,0.98867,0.9952,-0.039425,0.26411
apt,cup,1,400000,0.978547,0.05860250070691109,0.072817,0.98003,0.99265,-0.057471,0.09538
apt,cup,1,500000,1.007454,0.05373190715909004,0.060616,0.98315,0.99256,-0.046844,0.1131
apt,cup,2,100000,0.895869,0.12227000296115875,0.08994,0.99042,0.9975,-0.03216,0.15985
apt,cup,2,200000,0.973078,0.08461999893188477,0.076975,0.97123,0.99173,-0.044514,0.4364
apt,cup,2,300000,1.001392,0.06782333552837372,0.072637,0.98474,0.99407,-0.041375,0.23246
apt,cup,2,400000,1.022868,0.05971749871969223,0.065552,0.983,0.99389,-0.051543,0.21066
apt,cup,2,500000,1.026604,0.05413902923464775,0.063583,0.98556,0.99589,-0.044039,0.23066
apt,cup,3,100000,0.826559,0.1416199952363968,0.13138,0.99363,0.99802,-0.020237,0.21418
apt,cup,3,200000,0.869128,0.09145499765872955,0.07019,0.98299,0.99501,-0.050849,-0.10527
apt,cup,3,300000,0.94785,0.07348333299160004,0.06693,0.98589,0.99407,-0.047673,0.23271
apt,cup,3,400000,0.980561,0.06427250057458878,0.056098,0.98437,0.99279,-0.039678,0.04084
apt,cup,3,500000,1.017686,0.058103106915950775,0.051445,0.98698,0.99493,-0.044461,0.13758
apt,cup,4,100000,0.856698,0.13198000192642212,0.0928,0.99089,0.99718,-0.029202,0.11097
apt,cup,4,200000,0.940633,0.08990500122308731,0.06893,0.99317,0.99832,-0.022168,0.30076
apt,cup,4,300000,0.976581,0.07508999854326248,0.049087,0.98897,0.99636,-0.037878,0.08951
apt,cup,4,400000,1.008133,0.0637499988079071,0.048285,0.98507,0.99357,-0.045875,0.17384
