run_id,reason
adapt_p2e_finger_seed1_ckpt500000,"driver row excluded: no retained snapshot within 5000 steps of milestone (measure skipped upstream, PREREG §1)"
adapt_random_cup_seed3_ckpt300000,"driver row excluded: no retained snapshot within 5000 steps of milestone (measure skipped upstream, PREREG §1)"
adapt_random_cup_seed3_ckpt500000,"driver row excluded: no retained snapshot within 5000 steps of milestone (measure skipped upstream, PREREG §1)"
adapt_random_cup_seed4_ckpt300000,"driver row excluded: no retained snapshot within 5000 steps of milestone (measure skipped upstream, PREREG §1)"
adapt_random_cup_seed4_ckpt500000,"driver row excluded: no retained snapshot within 5000 steps of milestone (measure skipped upstream, PREREG §1)"
adapt_random_cup_seed5_ckpt300000,"driver row excluded: no retained snapshot within 5000 steps of milestone (measure skipped upstream, PREREG §1)"
adapt_random_cup_seed5_ckpt500000,"driver row excluded: no retained snapshot within 5000 steps of milestone (measure skipped upstream, PREREG §1)"
adapt_random_finger_seed3_ckpt500000,"driver row excluded: no retained snapshot within 5000 steps of milestone (measure skipped upstream, PREREG §1)"
adapt_random_finger_seed5_ckpt500000,"driver row excluded: no retained snapshot within 5000 steps of milestone (measure skipped upstream, PREREG §1)"
adapt_random_walker_seed3_ckpt500000,"driver row excluded: no retained snapshot within 5000 steps of milestone (measure skipped upstream, PREREG §1)"
adapt_random_walker_seed5_ckpt500000,"driver row excluded: no retained snapshot within 5000 steps of milestone (measure skipped upstream, PREREG §1)"
