run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1fv2q1v200s1_finger_seed1_ckpt500000,ax1fv2q1v200s1,finger,1,500000,57.0833,48,52.1667,96,45.4821,112,8.6,1
adapt_ax1fv2q1v200s1_finger_seed2_ckpt500000,ax1fv2q1v200s1,finger,2,500000,58.5417,48,51.8125,96,53.2411,112,98.9,1
adapt_ax1fv2q1v200s1_finger_seed3_ckpt500000,ax1fv2q1v200s1,finger,3,500000,63.125,48,73.5104,96,63.4643,112,5.1,1
adapt_ax1fv2q1v200s1_finger_seed4_ckpt500000,ax1fv2q1v200s1,finger,4,500000,108.9583,48,70.8542,96,68.1786,112,52.6,1
adapt_ax1fv2q1v200s1_finger_seed5_ckpt500000,ax1fv2q1v200s1,finger,5,500000,150.25,48,96.3854,96,82.6786,112,0.7,1
adapt_ax1fv2q1v200s1_finger_seed6_ckpt500000,ax1fv2q1v200s1,finger,6,500000,65.3958,48,41.9375,96,53.0446,112,112.1,1
adapt_ax1fv4q1v400s1_finger_seed1_ckpt500000,ax1fv4q1v400s1,finger,1,500000,66.7708,48,71.4479,96,94.0179,112,267.1,1
adapt_ax1fv4q1v400s1_finger_seed2_ckpt500000,ax1fv4q1v400s1,finger,2,500000,152.7917,48,111.0312,96,114.0804,112,97.4,1
adapt_ax1fv4q1v400s1_finger_seed3_ckpt500000,ax1fv4q1v400s1,finger,3,500000,62.8125,48,90.7604,96,90.4018,112,89.6,1
adapt_ax1fv4q1v400s1_finger_seed4_ckpt500000,ax1fv4q1v400s1,finger,4,500000,56.8958,48,62.7917,96,61.0179,112,80.5,1
adapt_ax1fv4q1v400s1_finger_seed5_ckpt500000,ax1fv4q1v400s1,finger,5,500000,66.6458,48,85.0833,96,81.9107,112,100.0,1
adapt_ax1fv4q1v400s1_finger_seed6_ckpt500000,ax1fv4q1v400s1,finger,6,500000,88.125,48,96.5833,96,100.3214,112,97.1,1
adapt_ax1v2q1v200s1_finger_seed1_ckpt500000,ax1v2q1v200s1,finger,1,500000,333.2917,48,327.7812,96,350.4911,112,462.5,1
adapt_ax1v2q1v200s1_finger_seed2_ckpt500000,ax1v2q1v200s1,finger,2,500000,184.0208,48,180.2708,96,172.6161,112,201.2,1
adapt_ax1v2q1v200s1_finger_seed3_ckpt500000,ax1v2q1v200s1,finger,3,500000,104.625,48,135.4583,96,141.8304,112,191.5,1
adapt_ax1v2q1v200s1_finger_seed4_ckpt500000,ax1v2q1v200s1,finger,4,500000,190.6667,48,231.3646,96,231.3571,112,240.3,1
adapt_ax1v2q1v200s1_finger_seed5_ckpt500000,ax1v2q1v200s1,finger,5,500000,259.7708,48,270.4896,96,273.125,112,293.4,1
adapt_ax1v2q1v200s1_finger_seed6_ckpt500000,ax1v2q1v200s1,finger,6,500000,97.8958,48,80.3021,96,88.7946,112,186.3,1
adapt_ax1v4q1v400s1_finger_seed1_ckpt500000,ax1v4q1v400s1,finger,1,500000,225.1875,48,545.7812,96,592.2232,112,880.3,1
adapt_ax1v4q1v400s1_finger_seed2_ckpt500000,ax1v4q1v400s1,finger,2,500000,191.625,48,551.2708,96,596.8393,112,902.5,1
adapt_ax1v4q1v400s1_finger_seed3_ckpt500000,ax1v4q1v400s1,finger,3,500000,77.75,48,87.7604,96,100.7143,112,271.1,1
adapt_ax1v4q1v400s1_finger_seed4_ckpt500000,ax1v4q1v400s1,finger,4,500000,110.8125,48,449.375,96,506.0446,112,855.4,1
adapt_ax1v4q1v400s1_finger_seed5_ckpt500000,ax1v4q1v400s1,finger,5,500000,269.2083,48,214.0833,96,218.8036,112,197.0,1
adapt_ax1v4q1v400s1_finger_seed6_ckpt500000,ax1v4q1v400s1,finger,6,500000,562.0833,48,749.125,96,778.4286,112,952.6,1
