run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1sidq1s0_finger_seed1_ckpt500000,ax1sidq1s0,finger,1,500000,52.25,48,54.2188,96,56.5089,112,105.8,1
adapt_ax1sidq1s0_finger_seed2_ckpt500000,ax1sidq1s0,finger,2,500000,84.3958,48,57.8854,96,76.4018,112,300.0,1
adapt_ax1sidq1s0_finger_seed3_ckpt500000,ax1sidq1s0,finger,3,500000,92.6875,48,101.3646,96,92.4196,112,61.1,1
adapt_ax1sidq1s0_finger_seed4_ckpt500000,ax1sidq1s0,finger,4,500000,62.5,48,50.6875,96,43.4464,112,0.0,1
adapt_ax1sidq1s0_finger_seed5_ckpt500000,ax1sidq1s0,finger,5,500000,93.25,48,71.8854,96,78.25,112,72.3,1
adapt_ax1sidq1s0_finger_seed6_ckpt500000,ax1sidq1s0,finger,6,500000,54.6042,48,76.4896,96,67.8125,112,16.3,1
adapt_ax1sidq1s0_finger_seed7_ckpt500000,ax1sidq1s0,finger,7,500000,63.0,48,83.125,96,73.7143,112,4.4,1
adapt_ax1sidq1s0_finger_seed8_ckpt500000,ax1sidq1s0,finger,8,500000,66.8333,48,54.3958,96,55.5536,112,0.0,1
adapt_ax1sidq1s1_finger_seed1_ckpt500000,ax1sidq1s1,finger,1,500000,78.1042,48,75.9688,96,73.6786,112,78.3,1
adapt_ax1sidq1s1_finger_seed2_ckpt500000,ax1sidq1s1,finger,2,500000,99.9583,48,101.9896,96,87.5536,112,1.5,1
adapt_ax1sidq1s1_finger_seed3_ckpt500000,ax1sidq1s1,finger,3,500000,141.5417,48,112.2292,96,96.1964,112,0.0,1
adapt_ax1sidq1s1_finger_seed4_ckpt500000,ax1sidq1s1,finger,4,500000,66.0625,48,86.2812,96,73.9554,112,0.0,1
adapt_ax1sidq1s1_finger_seed5_ckpt500000,ax1sidq1s1,finger,5,500000,42.5417,48,52.125,96,53.8036,112,102.0,1
adapt_ax1sidq1s1_finger_seed6_ckpt500000,ax1sidq1s1,finger,6,500000,73.8333,48,68.1771,96,58.4375,112,0.0,1
adapt_ax1sidq1s1_finger_seed7_ckpt500000,ax1sidq1s1,finger,7,500000,48.125,48,50.375,96,51.4554,112,2.1,1
adapt_ax1sidq1s1_finger_seed8_ckpt500000,ax1sidq1s1,finger,8,500000,23.0208,48,63.4792,96,63.375,112,100.0,1
adapt_ax1srd0q1s0_finger_seed1_ckpt500000,ax1srd0q1s0,finger,1,500000,70.375,48,79.9271,96,75.3393,112,76.0,1
adapt_ax1srd0q1s0_finger_seed2_ckpt500000,ax1srd0q1s0,finger,2,500000,44.375,48,49.8958,96,57.4643,112,82.8,1
adapt_ax1srd0q1s0_finger_seed3_ckpt500000,ax1srd0q1s0,finger,3,500000,80.375,48,71.8646,96,72.0536,112,34.9,1
adapt_ax1srd0q1s0_finger_seed4_ckpt500000,ax1srd0q1s0,finger,4,500000,103.6875,48,93.4688,96,97.9732,112,100.0,1
adapt_ax1srd0q1s0_finger_seed5_ckpt500000,ax1srd0q1s0,finger,5,500000,150.7708,48,100.5312,96,94.5357,112,9.0,1
adapt_ax1srd0q1s0_finger_seed6_ckpt500000,ax1srd0q1s0,finger,6,500000,73.75,48,74.2083,96,64.0625,112,4.9,1
adapt_ax1srd0q1s0_finger_seed7_ckpt500000,ax1srd0q1s0,finger,7,500000,32.9375,48,38.625,96,39.9732,112,3.5,1
adapt_ax1srd0q1s0_finger_seed8_ckpt500000,ax1srd0q1s0,finger,8,500000,57.7708,48,92.8646,96,96.25,112,185.7,1
adapt_ax1srd0q1s1_finger_seed1_ckpt500000,ax1srd0q1s1,finger,1,500000,66.375,48,96.0312,96,98.7946,112,90.7,1
adapt_ax1srd0q1s1_finger_seed2_ckpt500000,ax1srd0q1s1,finger,2,500000,62.3958,48,96.6458,96,106.5714,112,65.9,1
adapt_ax1srd0q1s1_finger_seed3_ckpt500000,ax1srd0q1s1,finger,3,500000,96.4792,48,92.4271,96,87.9643,112,97.9,1
adapt_ax1srd0q1s1_finger_seed4_ckpt500000,ax1srd0q1s1,finger,4,500000,71.9167,48,88.0417,96,75.4643,112,0.0,1
adapt_ax1srd0q1s1_finger_seed5_ckpt500000,ax1srd0q1s1,finger,5,500000,30.9792,48,54.4271,96,56.0268,112,105.0,1
adapt_ax1srd0q1s1_finger_seed6_ckpt500000,ax1srd0q1s1,finger,6,500000,118.7292,48,98.625,96,87.8304,112,34.9,1
adapt_ax1srd0q1s1_finger_seed7_ckpt500000,ax1srd0q1s1,finger,7,500000,80.7917,48,116.3542,96,106.7946,112,71.8,1
adapt_ax1srd0q1s1_finger_seed8_ckpt500000,ax1srd0q1s1,finger,8,500000,116.875,48,94.0521,96,97.5625,112,101.3,1
adapt_ax1srd1q1s0_finger_seed1_ckpt500000,ax1srd1q1s0,finger,1,500000,151.6042,48,87.3333,96,83.7857,112,0.0,1
adapt_ax1srd1q1s0_finger_seed2_ckpt500000,ax1srd1q1s0,finger,2,500000,95.6042,48,87.8542,96,83.9821,112,63.2,1
adapt_ax1srd1q1s0_finger_seed3_ckpt500000,ax1srd1q1s0,finger,3,500000,132.0,48,76.6042,96,84.4107,112,10.0,1
adapt_ax1srd1q1s0_finger_seed4_ckpt500000,ax1srd1q1s0,finger,4,500000,50.1042,48,69.7292,96,60.4732,112,5.4,1
adapt_ax1srd1q1s0_finger_seed5_ckpt500000,ax1srd1q1s0,finger,5,500000,81.0,48,81.3021,96,76.0982,112,52.0,1
adapt_ax1srd1q1s0_finger_seed6_ckpt500000,ax1srd1q1s0,finger,6,500000,47.5,48,48.9792,96,57.3929,112,171.4,1
adapt_ax1srd1q1s0_finger_seed7_ckpt500000,ax1srd1q1s0,finger,7,500000,76.75,48,79.0625,96,73.9018,112,60.6,1
adapt_ax1srd1q1s0_finger_seed8_ckpt500000,ax1srd1q1s0,finger,8,500000,121.875,48,84.5,96,96.1429,112,158.9,1
adapt_ax1srd1q1s1_finger_seed1_ckpt500000,ax1srd1q1s1,finger,1,500000,111.875,48,98.8854,96,100.4554,112,2.9,1
adapt_ax1srd1q1s1_finger_seed2_ckpt500000,ax1srd1q1s1,finger,2,500000,98.1458,48,111.0833,96,104.1607,112,0.2,1
adapt_ax1srd1q1s1_finger_seed3_ckpt500000,ax1srd1q1s1,finger,3,500000,84.8958,48,120.8542,96,107.8125,112,24.0,1
adapt_ax1srd1q1s1_finger_seed4_ckpt500000,ax1srd1q1s1,finger,4,500000,41.375,48,72.9167,96,80.3304,112,100.0,1
adapt_ax1srd1q1s1_finger_seed5_ckpt500000,ax1srd1q1s1,finger,5,500000,106.75,48,74.0104,96,81.3393,112,200.3,1
adapt_ax1srd1q1s1_finger_seed6_ckpt500000,ax1srd1q1s1,finger,6,500000,142.2917,48,93.4479,96,107.1518,112,198.0,1
adapt_ax1srd1q1s1_finger_seed7_ckpt500000,ax1srd1q1s1,finger,7,500000,118.75,48,77.5521,96,71.3661,112,1.7,1
adapt_ax1srd1q1s1_finger_seed8_ckpt500000,ax1srd1q1s1,finger,8,500000,119.8333,48,95.0104,96,116.8482,112,296.6,1
