run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1fq1s0_synth_seed1_ckpt500000,ax1fq1s0,synth,1,500000,23.9167,48,27.0417,96,27.6071,112,15.1,1
adapt_ax1fq1s0_synth_seed2_ckpt500000,ax1fq1s0,synth,2,500000,15.3958,48,90.2083,96,107.5893,112,211.7,1
adapt_ax1fq1s0_synth_seed3_ckpt500000,ax1fq1s0,synth,3,500000,27.2708,48,27.9479,96,32.3393,112,50.8,1
adapt_ax1fq1s0_synth_seed4_ckpt500000,ax1fq1s0,synth,4,500000,4.25,48,12.9271,96,13.8571,112,20.9,1
adapt_ax1fq1s0_synth_seed5_ckpt500000,ax1fq1s0,synth,5,500000,0.7292,48,0.5625,96,0.8661,112,3.3,1
adapt_ax1fq1s0_synth_seed6_ckpt500000,ax1fq1s0,synth,6,500000,30.4583,48,33.4062,96,35.1786,112,46.4,1
adapt_ax1fq1s0_synth_seed7_ckpt500000,ax1fq1s0,synth,7,500000,25.2292,48,27.8438,96,44.6607,112,143.0,1
adapt_ax1fq1s0_synth_seed8_ckpt500000,ax1fq1s0,synth,8,500000,17.0417,48,27.2083,96,26.3125,112,23.3,1
adapt_ax1fq1s1_synth_seed1_ckpt500000,ax1fq1s1,synth,1,500000,16.1458,48,44.6354,96,54.9196,112,107.7,1
adapt_ax1fq1s1_synth_seed2_ckpt500000,ax1fq1s1,synth,2,500000,11.7917,48,14.1458,96,12.3571,112,2.6,1
adapt_ax1fq1s1_synth_seed3_ckpt500000,ax1fq1s1,synth,3,500000,17.1458,48,60.7292,96,67.6518,112,105.3,1
adapt_ax1fq1s1_synth_seed4_ckpt500000,ax1fq1s1,synth,4,500000,1.1042,48,0.9271,96,0.9286,112,1.2,1
adapt_ax1fq1s1_synth_seed5_ckpt500000,ax1fq1s1,synth,5,500000,9.2708,48,15.4583,96,15.9821,112,27.4,1
adapt_ax1fq1s1_synth_seed6_ckpt500000,ax1fq1s1,synth,6,500000,60.3542,48,92.1354,96,104.5089,112,179.2,1
adapt_ax1fq1s1_synth_seed7_ckpt500000,ax1fq1s1,synth,7,500000,64.3333,48,117.125,96,126.4732,112,178.3,1
adapt_ax1fq1s1_synth_seed8_ckpt500000,ax1fq1s1,synth,8,500000,3.9583,48,3.1354,96,14.0,112,82.6,1
adapt_ax1q1s0_synth_seed1_ckpt500000,ax1q1s0,synth,1,500000,1.75,48,5.3438,96,6.2232,112,6.3,1
adapt_ax1q1s0_synth_seed2_ckpt500000,ax1q1s0,synth,2,500000,4.5833,48,16.6042,96,39.4375,112,196.0,1
adapt_ax1q1s0_synth_seed3_ckpt500000,ax1q1s0,synth,3,500000,1.8333,48,31.8854,96,50.0714,112,174.3,1
adapt_ax1q1s0_synth_seed4_ckpt500000,ax1q1s0,synth,4,500000,0.6667,48,94.4167,96,124.1696,112,307.0,1
adapt_ax1q1s0_synth_seed5_ckpt500000,ax1q1s0,synth,5,500000,0.6458,48,0.5208,96,0.5804,112,1.1,1
adapt_ax1q1s0_synth_seed6_ckpt500000,ax1q1s0,synth,6,500000,16.875,48,204.6458,96,271.2946,112,670.7,1
adapt_ax1q1s0_synth_seed7_ckpt500000,ax1q1s0,synth,7,500000,11.0208,48,167.9062,96,245.2589,112,734.4,1
adapt_ax1q1s0_synth_seed8_ckpt500000,ax1q1s0,synth,8,500000,1.4167,48,5.375,96,8.2411,112,28.3,1
adapt_ax1q1s1_synth_seed1_ckpt500000,ax1q1s1,synth,1,500000,69.1458,48,267.0833,96,333.3571,112,748.1,1
adapt_ax1q1s1_synth_seed2_ckpt500000,ax1q1s1,synth,2,500000,29.6042,48,315.4271,96,344.125,112,532.9,1
adapt_ax1q1s1_synth_seed3_ckpt500000,ax1q1s1,synth,3,500000,6.6458,48,139.0729,96,206.3571,112,619.6,1
adapt_ax1q1s1_synth_seed4_ckpt500000,ax1q1s1,synth,4,500000,5.0208,48,51.7083,96,83.6964,112,269.3,1
adapt_ax1q1s1_synth_seed5_ckpt500000,ax1q1s1,synth,5,500000,3.3542,48,23.2083,96,50.7857,112,226.0,1
adapt_ax1q1s1_synth_seed6_ckpt500000,ax1q1s1,synth,6,500000,8.625,48,82.4583,96,117.6875,112,326.4,1
adapt_ax1q1s1_synth_seed7_ckpt500000,ax1q1s1,synth,7,500000,1.2917,48,0.7188,96,2.0268,112,10.6,1
adapt_ax1q1s1_synth_seed8_ckpt500000,ax1q1s1,synth,8,500000,16.9792,48,101.4062,96,158.6964,112,493.7,1
adapt_ax1shq1s0_synth_seed1_ckpt500000,ax1shq1s0,synth,1,500000,99.5417,48,219.9167,96,253.3214,112,437.7,1
adapt_ax1shq1s0_synth_seed2_ckpt500000,ax1shq1s0,synth,2,500000,80.4375,48,148.0208,96,198.0536,112,508.7,1
adapt_ax1shq1s0_synth_seed3_ckpt500000,ax1shq1s0,synth,3,500000,121.0625,48,319.8229,96,371.6964,112,674.0,1
adapt_ax1shq1s0_synth_seed4_ckpt500000,ax1shq1s0,synth,4,500000,18.7708,48,42.6667,96,50.3036,112,91.7,1
adapt_ax1shq1s0_synth_seed5_ckpt500000,ax1shq1s0,synth,5,500000,63.0833,48,270.6667,96,336.4464,112,707.8,1
adapt_ax1shq1s0_synth_seed6_ckpt500000,ax1shq1s0,synth,6,500000,56.7917,48,80.6354,96,82.0179,112,90.8,1
adapt_ax1shq1s0_synth_seed7_ckpt500000,ax1shq1s0,synth,7,500000,244.8125,48,533.9479,96,591.0357,112,937.4,1
adapt_ax1shq1s0_synth_seed8_ckpt500000,ax1shq1s0,synth,8,500000,46.6458,48,118.8854,96,142.5268,112,247.8,1
adapt_ax1shq1s1_synth_seed1_ckpt500000,ax1shq1s1,synth,1,500000,34.0417,48,64.8438,96,75.7589,112,132.5,1
