run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1rd1q1s0_synth_seed101_ckpt500000,ax1rd1q1s0,synth,101,500000,26.6875,48,327.3125,96,397.7054,112,831.0,1
adapt_ax1rd1q1s0_synth_seed102_ckpt500000,ax1rd1q1s0,synth,102,500000,1.2292,48,15.6042,96,25.6429,112,82.8,1
adapt_ax1rd1q1s0_synth_seed103_ckpt500000,ax1rd1q1s0,synth,103,500000,253.25,48,458.4688,96,494.1607,112,715.6,1
adapt_ax1rd1q1s1_synth_seed101_ckpt500000,ax1rd1q1s1,synth,101,500000,96.375,48,379.4062,96,450.8393,112,882.7,1
adapt_ax1rd1q1s1_synth_seed102_ckpt500000,ax1rd1q1s1,synth,102,500000,116.1875,48,365.7604,96,433.6429,112,837.6,1
adapt_ax1rd1q1s1_synth_seed103_ckpt500000,ax1rd1q1s1,synth,103,500000,123.3958,48,324.9271,96,385.5268,112,736.0,1
adapt_ax1rd2q1s0_synth_seed101_ckpt500000,ax1rd2q1s0,synth,101,500000,60.625,48,369.2708,96,414.5268,112,686.9,1
adapt_ax1rd2q1s0_synth_seed102_ckpt500000,ax1rd2q1s0,synth,102,500000,7.7917,48,101.8333,96,187.6786,112,720.0,1
adapt_ax1rd2q1s0_synth_seed103_ckpt500000,ax1rd2q1s0,synth,103,500000,47.2292,48,217.5,96,260.8304,112,507.0,1
adapt_ax1rd2q1s1_synth_seed101_ckpt500000,ax1rd2q1s1,synth,101,500000,226.8333,48,475.6667,96,519.9554,112,809.5,1
adapt_ax1rd2q1s1_synth_seed102_ckpt500000,ax1rd2q1s1,synth,102,500000,0.25,48,73.4271,96,123.1071,112,417.8,1
adapt_ax1rd2q1s1_synth_seed103_ckpt500000,ax1rd2q1s1,synth,103,500000,70.2708,48,250.5833,96,307.4286,112,631.3,1
adapt_ax1rd3q1s0_synth_seed101_ckpt500000,ax1rd3q1s0,synth,101,500000,13.7292,48,255.2396,96,321.8393,112,706.1,1
adapt_ax1rd3q1s0_synth_seed102_ckpt500000,ax1rd3q1s0,synth,102,500000,1.4792,48,7.1354,96,16.3929,112,71.5,1
adapt_ax1rd3q1s0_synth_seed103_ckpt500000,ax1rd3q1s0,synth,103,500000,18.6875,48,188.5938,96,204.8661,112,286.8,1
adapt_ax1rd3q1s1_synth_seed101_ckpt500000,ax1rd3q1s1,synth,101,500000,91.1458,48,385.9062,96,457.1696,112,884.8,1
adapt_ax1rd3q1s1_synth_seed102_ckpt500000,ax1rd3q1s1,synth,102,500000,16.4792,48,152.7708,96,234.4107,112,715.0,1
adapt_ax1rd3q1s1_synth_seed103_ckpt500000,ax1rd3q1s1,synth,103,500000,39.3333,48,229.3229,96,308.9375,112,802.8,1
adapt_ax1rd4q1s0_synth_seed101_ckpt500000,ax1rd4q1s0,synth,101,500000,180.4792,48,458.2396,96,509.0268,112,807.4,1
adapt_ax1rd4q1s0_synth_seed102_ckpt500000,ax1rd4q1s0,synth,102,500000,6.1875,48,184.6875,96,254.5893,112,661.0,1
adapt_ax1rd4q1s0_synth_seed103_ckpt500000,ax1rd4q1s0,synth,103,500000,45.5833,48,349.7292,96,419.6607,112,855.6,1
adapt_ax1rd4q1s1_synth_seed101_ckpt500000,ax1rd4q1s1,synth,101,500000,36.7708,48,136.0104,96,205.3214,112,617.7,1
adapt_ax1rd4q1s1_synth_seed102_ckpt500000,ax1rd4q1s1,synth,102,500000,15.2917,48,101.7396,96,173.5,112,595.7,1
adapt_ax1rd4q1s1_synth_seed103_ckpt500000,ax1rd4q1s1,synth,103,500000,6.875,48,111.4792,96,143.6607,112,349.6,1
