run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_tm2awareq1s0_finger_seed10_ckpt500000,tm2awareq1s0,finger,10,500000,171.0781,64,202.5625,112,203.2578,128,201.1,1
adapt_tm2awareq1s0_finger_seed11_ckpt500000,tm2awareq1s0,finger,11,500000,193.7188,64,233.0804,112,220.4375,128,111.1,1
adapt_tm2awareq1s0_finger_seed12_ckpt500000,tm2awareq1s0,finger,12,500000,100.5469,64,251.25,112,288.1172,128,480.5,1
adapt_tm2awareq1s0_finger_seed13_ckpt500000,tm2awareq1s0,finger,13,500000,232.4375,64,311.3482,112,303.5,128,397.7,1
adapt_tm2awareq1s0_finger_seed14_ckpt500000,tm2awareq1s0,finger,14,500000,165.6719,64,192.3214,112,205.3594,128,390.3,1
adapt_tm2awareq1s0_finger_seed15_ckpt500000,tm2awareq1s0,finger,15,500000,109.3594,64,200.8304,112,198.9219,128,199.1,1
adapt_tm2awareq1s0_finger_seed16_ckpt500000,tm2awareq1s0,finger,16,500000,186.7969,64,213.875,112,212.125,128,142.3,1
adapt_tm2awareq1s0_finger_seed9_ckpt500000,tm2awareq1s0,finger,9,500000,198.4688,64,243.9375,112,290.5,128,591.4,1
adapt_tm2awareq1s1_finger_seed10_ckpt500000,tm2awareq1s1,finger,10,500000,113.375,64,231.4375,112,264.6016,128,396.2,1
adapt_tm2awareq1s1_finger_seed11_ckpt500000,tm2awareq1s1,finger,11,500000,167.0938,64,250.875,112,260.5078,128,294.6,1
adapt_tm2awareq1s1_finger_seed12_ckpt500000,tm2awareq1s1,finger,12,500000,107.0312,64,245.4732,112,244.3281,128,294.4,1
adapt_tm2awareq1s1_finger_seed13_ckpt500000,tm2awareq1s1,finger,13,500000,154.5469,64,246.6696,112,254.4531,128,197.9,1
adapt_tm2awareq1s1_finger_seed14_ckpt500000,tm2awareq1s1,finger,14,500000,316.3281,64,353.8839,112,353.8281,128,369.2,1
adapt_tm2awareq1s1_finger_seed15_ckpt500000,tm2awareq1s1,finger,15,500000,316.1719,64,378.6607,112,387.75,128,424.6,1
adapt_tm2awareq1s1_finger_seed16_ckpt500000,tm2awareq1s1,finger,16,500000,227.5625,64,257.2946,112,286.3281,128,488.6,1
adapt_tm2awareq1s1_finger_seed9_ckpt500000,tm2awareq1s1,finger,9,500000,187.7031,64,169.6518,112,184.9688,128,351.4,1
adapt_tm2freeq1s0_finger_seed10_ckpt500000,tm2freeq1s0,finger,10,500000,64.8594,64,75.3661,112,73.7969,128,100.0,1
adapt_tm2freeq1s0_finger_seed11_ckpt500000,tm2freeq1s0,finger,11,500000,31.4062,64,44.9554,112,57.5391,128,133.5,1
adapt_tm2freeq1s0_finger_seed12_ckpt500000,tm2freeq1s0,finger,12,500000,25.5781,64,50.4911,112,44.3281,128,1.9,1
adapt_tm2freeq1s0_finger_seed13_ckpt500000,tm2freeq1s0,finger,13,500000,83.625,64,120.25,112,120.5781,128,196.6,1
adapt_tm2freeq1s0_finger_seed14_ckpt500000,tm2freeq1s0,finger,14,500000,108.3594,64,101.5446,112,98.375,128,0.0,1
adapt_tm2freeq1s0_finger_seed15_ckpt500000,tm2freeq1s0,finger,15,500000,114.3906,64,119.0,112,119.1641,128,92.5,1
adapt_tm2freeq1s0_finger_seed16_ckpt500000,tm2freeq1s0,finger,16,500000,81.8594,64,115.6964,112,101.2344,128,0.0,1
adapt_tm2freeq1s0_finger_seed9_ckpt500000,tm2freeq1s0,finger,9,500000,46.8438,64,81.8125,112,79.3984,128,100.0,1
adapt_tm2freeq1s1_finger_seed10_ckpt500000,tm2freeq1s1,finger,10,500000,64.0625,64,81.2946,112,109.6953,128,493.6,1
adapt_tm2freeq1s1_finger_seed11_ckpt500000,tm2freeq1s1,finger,11,500000,46.875,64,26.8214,112,46.9297,128,300.3,1
adapt_tm2freeq1s1_finger_seed12_ckpt500000,tm2freeq1s1,finger,12,500000,124.7812,64,115.7232,112,124.0156,128,100.2,1
adapt_tm2freeq1s1_finger_seed13_ckpt500000,tm2freeq1s1,finger,13,500000,110.2812,64,136.6518,112,126.6406,128,89.1,1
adapt_tm2freeq1s1_finger_seed14_ckpt500000,tm2freeq1s1,finger,14,500000,46.8438,64,48.9018,112,77.7109,128,199.6,1
adapt_tm2freeq1s1_finger_seed15_ckpt500000,tm2freeq1s1,finger,15,500000,84.3125,64,119.0268,112,126.9062,128,291.3,1
adapt_tm2freeq1s1_finger_seed16_ckpt500000,tm2freeq1s1,finger,16,500000,62.8906,64,97.8214,112,100.9219,128,100.9,1
adapt_tm2freeq1s1_finger_seed9_ckpt500000,tm2freeq1s1,finger,9,500000,69.4219,64,76.7679,112,82.7656,128,100.0,1
