run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_tm2awareq1s0_finger_seed1_ckpt500000,tm2awareq1s0,finger,1,500000,215.0469,64,234.7321,112,232.25,128,275.3,1
adapt_tm2awareq1s0_finger_seed2_ckpt500000,tm2awareq1s0,finger,2,500000,181.4531,64,273.1964,112,268.0234,128,172.5,1
adapt_tm2awareq1s0_finger_seed3_ckpt500000,tm2awareq1s0,finger,3,500000,156.5469,64,198.2143,112,212.3203,128,297.7,1
adapt_tm2awareq1s0_finger_seed4_ckpt500000,tm2awareq1s0,finger,4,500000,97.4062,64,195.5089,112,232.9141,128,394.1,1
adapt_tm2awareq1s0_finger_seed5_ckpt500000,tm2awareq1s0,finger,5,500000,201.4531,64,219.7143,112,235.8828,128,294.9,1
adapt_tm2awareq1s0_finger_seed6_ckpt500000,tm2awareq1s0,finger,6,500000,239.0312,64,257.3571,112,263.2188,128,385.6,1
adapt_tm2awareq1s0_finger_seed7_ckpt500000,tm2awareq1s0,finger,7,500000,167.5781,64,211.1161,112,192.5391,128,100.0,1
adapt_tm2awareq1s0_finger_seed8_ckpt500000,tm2awareq1s0,finger,8,500000,78.9062,64,106.0625,112,100.6094,128,99.9,1
adapt_tm2awareq1s1_finger_seed1_ckpt500000,tm2awareq1s1,finger,1,500000,276.6562,64,283.6429,112,308.1719,128,579.3,1
adapt_tm2awareq1s1_finger_seed2_ckpt500000,tm2awareq1s1,finger,2,500000,178.9219,64,247.4375,112,270.8594,128,595.7,1
adapt_tm2awareq1s1_finger_seed3_ckpt500000,tm2awareq1s1,finger,3,500000,178.5938,64,284.5893,112,279.8672,128,197.4,1
adapt_tm2awareq1s1_finger_seed4_ckpt500000,tm2awareq1s1,finger,4,500000,122.9375,64,213.8036,112,202.4141,128,97.9,1
adapt_tm2awareq1s1_finger_seed5_ckpt500000,tm2awareq1s1,finger,5,500000,167.0156,64,203.7411,112,224.6875,128,196.6,1
adapt_tm2awareq1s1_finger_seed6_ckpt500000,tm2awareq1s1,finger,6,500000,184.3281,64,266.0804,112,286.2422,128,494.0,1
adapt_tm2awareq1s1_finger_seed7_ckpt500000,tm2awareq1s1,finger,7,500000,154.9844,64,248.375,112,240.3203,128,294.3,1
adapt_tm2awareq1s1_finger_seed8_ckpt500000,tm2awareq1s1,finger,8,500000,174.6719,64,230.8304,112,235.9297,128,335.3,1
adapt_tm2freeq1s0_finger_seed1_ckpt500000,tm2freeq1s0,finger,1,500000,60.5,64,79.1696,112,75.7969,128,83.5,1
adapt_tm2freeq1s0_finger_seed2_ckpt500000,tm2freeq1s0,finger,2,500000,78.1875,64,55.7054,112,56.4922,128,99.2,1
adapt_tm2freeq1s0_finger_seed3_ckpt500000,tm2freeq1s0,finger,3,500000,63.2188,64,85.4732,112,90.3516,128,196.1,1
adapt_tm2freeq1s0_finger_seed4_ckpt500000,tm2freeq1s0,finger,4,500000,105.6562,64,122.5804,112,122.9844,128,200.8,1
adapt_tm2freeq1s0_finger_seed5_ckpt500000,tm2freeq1s0,finger,5,500000,107.5781,64,105.0804,112,130.7656,128,298.5,1
adapt_tm2freeq1s0_finger_seed6_ckpt500000,tm2freeq1s0,finger,6,500000,83.3594,64,121.4464,112,114.1797,128,100.0,1
adapt_tm2freeq1s0_finger_seed7_ckpt500000,tm2freeq1s0,finger,7,500000,61.8906,64,60.6875,112,84.1641,128,200.0,1
adapt_tm2freeq1s0_finger_seed8_ckpt500000,tm2freeq1s0,finger,8,500000,66.8906,64,73.5714,112,93.6328,128,280.5,1
adapt_tm2freeq1s1_finger_seed1_ckpt500000,tm2freeq1s1,finger,1,500000,49.4688,64,73.2679,112,87.5625,128,100.3,1
adapt_tm2freeq1s1_finger_seed2_ckpt500000,tm2freeq1s1,finger,2,500000,169.6094,64,179.7411,112,180.0078,128,191.9,1
adapt_tm2freeq1s1_finger_seed3_ckpt500000,tm2freeq1s1,finger,3,500000,102.7812,64,134.9821,112,140.1484,128,282.1,1
adapt_tm2freeq1s1_finger_seed4_ckpt500000,tm2freeq1s1,finger,4,500000,64.75,64,122.7857,112,127.8359,128,93.8,1
adapt_tm2freeq1s1_finger_seed5_ckpt500000,tm2freeq1s1,finger,5,500000,66.4531,64,62.5536,112,85.9844,128,100.0,1
adapt_tm2freeq1s1_finger_seed6_ckpt500000,tm2freeq1s1,finger,6,500000,74.2812,64,95.5714,112,108.8281,128,100.0,1
adapt_tm2freeq1s1_finger_seed7_ckpt500000,tm2freeq1s1,finger,7,500000,107.7188,64,139.6071,112,150.7734,128,270.6,1
adapt_tm2freeq1s1_finger_seed8_ckpt500000,tm2freeq1s1,finger,8,500000,92.9219,64,101.9821,112,135.6953,128,494.7,1
