run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_tm2bawareq1s0_finger_seed1_ckpt500000,tm2bawareq1s0,finger,1,500000,155.625,64,176.8036,112,193.4766,128,299.0,1
adapt_tm2bawareq1s0_finger_seed2_ckpt500000,tm2bawareq1s0,finger,2,500000,139.5312,64,264.5982,112,239.3359,128,100.0,1
adapt_tm2bawareq1s0_finger_seed3_ckpt500000,tm2bawareq1s0,finger,3,500000,125.0312,64,182.5089,112,190.2812,128,193.8,1
adapt_tm2bawareq1s0_finger_seed4_ckpt500000,tm2bawareq1s0,finger,4,500000,154.6719,64,183.875,112,230.7422,128,694.1,1
adapt_tm2bawareq1s0_finger_seed5_ckpt500000,tm2bawareq1s0,finger,5,500000,228.1094,64,312.3214,112,311.6328,128,390.9,1
adapt_tm2bawareq1s0_finger_seed6_ckpt500000,tm2bawareq1s0,finger,6,500000,109.0,64,123.5446,112,133.6406,128,198.8,1
adapt_tm2bawareq1s0_finger_seed7_ckpt500000,tm2bawareq1s0,finger,7,500000,93.0938,64,218.6071,112,260.0781,128,584.3,1
adapt_tm2bawareq1s0_finger_seed8_ckpt500000,tm2bawareq1s0,finger,8,500000,92.9062,64,106.0446,112,116.0781,128,199.5,1
adapt_tm2bawareq1s1_finger_seed1_ckpt500000,tm2bawareq1s1,finger,1,500000,102.9844,64,133.2411,112,173.0703,128,500.0,1
adapt_tm2bawareq1s1_finger_seed2_ckpt500000,tm2bawareq1s1,finger,2,500000,231.6562,64,269.8929,112,267.6562,128,199.4,1
adapt_tm2bawareq1s1_finger_seed3_ckpt500000,tm2bawareq1s1,finger,3,500000,151.3594,64,199.2232,112,212.1875,128,290.2,1
adapt_tm2bawareq1s1_finger_seed4_ckpt500000,tm2bawareq1s1,finger,4,500000,140.1562,64,282.6786,112,292.8906,128,387.9,1
adapt_tm2bawareq1s1_finger_seed5_ckpt500000,tm2bawareq1s1,finger,5,500000,124.1562,64,166.3661,112,188.8906,128,98.4,1
adapt_tm2bawareq1s1_finger_seed6_ckpt500000,tm2bawareq1s1,finger,6,500000,217.5469,64,222.2679,112,263.4453,128,585.2,1
adapt_tm2bawareq1s1_finger_seed7_ckpt500000,tm2bawareq1s1,finger,7,500000,286.5938,64,348.6161,112,320.4062,128,99.1,1
adapt_tm2bawareq1s1_finger_seed8_ckpt500000,tm2bawareq1s1,finger,8,500000,242.375,64,305.7321,112,328.9375,128,494.4,1
adapt_tm2bfreeq1s0_finger_seed1_ckpt500000,tm2bfreeq1s0,finger,1,500000,186.8125,64,127.6071,112,119.4062,128,0.0,1
adapt_tm2bfreeq1s0_finger_seed2_ckpt500000,tm2bfreeq1s0,finger,2,500000,16.7656,64,44.4107,112,47.2656,128,100.0,1
adapt_tm2bfreeq1s0_finger_seed3_ckpt500000,tm2bfreeq1s0,finger,3,500000,62.8594,64,79.5982,112,92.875,128,200.3,1
adapt_tm2bfreeq1s0_finger_seed4_ckpt500000,tm2bfreeq1s0,finger,4,500000,115.7812,64,95.0357,112,90.4609,128,0.7,1
adapt_tm2bfreeq1s0_finger_seed5_ckpt500000,tm2bfreeq1s0,finger,5,500000,171.7969,64,126.2857,112,133.9375,128,299.8,1
adapt_tm2bfreeq1s0_finger_seed6_ckpt500000,tm2bfreeq1s0,finger,6,500000,47.25,64,64.6161,112,86.7578,128,286.8,1
adapt_tm2bfreeq1s0_finger_seed7_ckpt500000,tm2bfreeq1s0,finger,7,500000,76.6875,64,88.4643,112,85.2188,128,100.0,1
adapt_tm2bfreeq1s0_finger_seed8_ckpt500000,tm2bfreeq1s0,finger,8,500000,88.25,64,77.0268,112,67.3984,128,0.0,1
adapt_tm2bfreeq1s1_finger_seed1_ckpt500000,tm2bfreeq1s1,finger,1,500000,48.375,64,116.9286,112,117.7188,128,97.2,1
adapt_tm2bfreeq1s1_finger_seed2_ckpt500000,tm2bfreeq1s1,finger,2,500000,89.8594,64,156.4018,112,188.0547,128,558.6,1
adapt_tm2bfreeq1s1_finger_seed3_ckpt500000,tm2bfreeq1s1,finger,3,500000,134.1094,64,144.4821,112,134.5,128,0.8,1
adapt_tm2bfreeq1s1_finger_seed4_ckpt500000,tm2bfreeq1s1,finger,4,500000,108.7188,64,139.7589,112,137.1406,128,93.0,1
adapt_tm2bfreeq1s1_finger_seed5_ckpt500000,tm2bfreeq1s1,finger,5,500000,47.8125,64,86.5536,112,91.1641,128,0.0,1
adapt_tm2bfreeq1s1_finger_seed6_ckpt500000,tm2bfreeq1s1,finger,6,500000,110.4219,64,151.1607,112,147.3984,128,193.2,1
adapt_tm2bfreeq1s1_finger_seed7_ckpt500000,tm2bfreeq1s1,finger,7,500000,62.6875,64,80.2589,112,77.6641,128,93.9,1
adapt_tm2bfreeq1s1_finger_seed8_ckpt500000,tm2bfreeq1s1,finger,8,500000,47.5625,64,64.0268,112,70.4766,128,98.5,1
adapt_tm2brecq1s0_finger_seed1_ckpt500000,tm2brecq1s0,finger,1,500000,78.6875,64,101.5804,112,89.0,128,1.5,1
adapt_tm2brecq1s0_finger_seed2_ckpt500000,tm2brecq1s0,finger,2,500000,93.7656,64,128.6607,112,149.6641,128,270.6,1
adapt_tm2brecq1s0_finger_seed3_ckpt500000,tm2brecq1s0,finger,3,500000,102.3438,64,111.7411,112,98.5859,128,6.3,1
adapt_tm2brecq1s0_finger_seed4_ckpt500000,tm2brecq1s0,finger,4,500000,49.5938,64,29.3125,112,41.3359,128,199.3,1
adapt_tm2brecq1s0_finger_seed5_ckpt500000,tm2brecq1s0,finger,5,500000,62.75,64,71.1339,112,70.1328,128,100.2,1
adapt_tm2brecq1s0_finger_seed6_ckpt500000,tm2brecq1s0,finger,6,500000,38.5938,64,57.3661,112,71.3906,128,270.5,1
adapt_tm2brecq1s0_finger_seed7_ckpt500000,tm2brecq1s0,finger,7,500000,104.7969,64,96.0536,112,96.0547,128,153.7,1
adapt_tm2brecq1s0_finger_seed8_ckpt500000,tm2brecq1s0,finger,8,500000,72.4844,64,96.6964,112,115.2109,128,298.1,1
adapt_tm2brecq1s1_finger_seed1_ckpt500000,tm2brecq1s1,finger,1,500000,62.3281,64,64.4643,112,64.2422,128,84.7,1
adapt_tm2brecq1s1_finger_seed2_ckpt500000,tm2brecq1s1,finger,2,500000,54.8594,64,72.2679,112,71.0469,128,100.0,1
adapt_tm2brecq1s1_finger_seed3_ckpt500000,tm2brecq1s1,finger,3,500000,46.5781,64,84.6607,112,89.7031,128,200.0,1
adapt_tm2brecq1s1_finger_seed4_ckpt500000,tm2brecq1s1,finger,4,500000,136.9062,64,110.125,112,112.4609,128,100.0,1
adapt_tm2brecq1s1_finger_seed5_ckpt500000,tm2brecq1s1,finger,5,500000,77.1875,64,120.7946,112,124.7422,128,243.8,1
adapt_tm2brecq1s1_finger_seed6_ckpt500000,tm2brecq1s1,finger,6,500000,64.2344,64,104.5268,112,98.7656,128,92.2,1
adapt_tm2brecq1s1_finger_seed7_ckpt500000,tm2brecq1s1,finger,7,500000,58.0938,64,60.2232,112,61.25,128,109.5,1
adapt_tm2brecq1s1_finger_seed8_ckpt500000,tm2brecq1s1,finger,8,500000,61.9844,64,76.3036,112,81.6562,128,101.3,1
