run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1fq1s0_finger_seed10_ckpt500000,ax1fq1s0,finger,10,500000,89.6667,48,111.6562,96,104.6786,112,0.5,1
adapt_ax1fq1s0_finger_seed11_ckpt500000,ax1fq1s0,finger,11,500000,66.0417,48,66.6146,96,78.0982,112,154.5,1
adapt_ax1fq1s0_finger_seed12_ckpt500000,ax1fq1s0,finger,12,500000,52.875,48,94.9375,96,83.1786,112,19.6,1
adapt_ax1fq1s0_finger_seed13_ckpt500000,ax1fq1s0,finger,13,500000,89.2292,48,98.3958,96,88.9464,112,1.4,1
adapt_ax1fq1s0_finger_seed14_ckpt500000,ax1fq1s0,finger,14,500000,74.5208,48,84.9792,96,79.0089,112,16.5,1
adapt_ax1fq1s0_finger_seed15_ckpt500000,ax1fq1s0,finger,15,500000,60.75,48,82.5312,96,70.7589,112,0.2,1
adapt_ax1fq1s0_finger_seed16_ckpt500000,ax1fq1s0,finger,16,500000,108.2292,48,84.8438,96,83.625,112,70.2,1
adapt_ax1fq1s0_finger_seed9_ckpt500000,ax1fq1s0,finger,9,500000,48.5,48,75.6042,96,64.8036,112,0.0,1
adapt_ax1fq1s1_finger_seed10_ckpt500000,ax1fq1s1,finger,10,500000,92.875,48,73.0208,96,62.6429,112,0.4,1
adapt_ax1fq1s1_finger_seed11_ckpt500000,ax1fq1s1,finger,11,500000,103.0625,48,79.875,96,69.9732,112,16.4,1
adapt_ax1fq1s1_finger_seed12_ckpt500000,ax1fq1s1,finger,12,500000,129.5208,48,100.8438,96,120.9018,112,195.2,1
adapt_ax1fq1s1_finger_seed13_ckpt500000,ax1fq1s1,finger,13,500000,83.1458,48,94.1042,96,80.9018,112,1.0,1
adapt_ax1fq1s1_finger_seed14_ckpt500000,ax1fq1s1,finger,14,500000,62.5625,48,52.4167,96,56.8929,112,100.8,1
adapt_ax1fq1s1_finger_seed15_ckpt500000,ax1fq1s1,finger,15,500000,83.5833,48,68.2917,96,67.8125,112,3.9,1
adapt_ax1fq1s1_finger_seed16_ckpt500000,ax1fq1s1,finger,16,500000,138.1875,48,69.1354,96,77.1161,112,100.0,1
adapt_ax1fq1s1_finger_seed9_ckpt500000,ax1fq1s1,finger,9,500000,105.6458,48,86.2292,96,85.8125,112,69.5,1
