run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1fq1s0_cup_seed10_ckpt500000,ax1fq1s0,cup,10,500000,271.4583,48,601.8229,96,653.2411,112,960.9,1
adapt_ax1fq1s0_cup_seed11_ckpt500000,ax1fq1s0,cup,11,500000,164.5208,48,538.0625,96,594.4018,112,929.4,1
adapt_ax1fq1s0_cup_seed12_ckpt500000,ax1fq1s0,cup,12,500000,74.5417,48,483.2917,96,543.2946,112,962.6,1
adapt_ax1fq1s0_cup_seed13_ckpt500000,ax1fq1s0,cup,13,500000,726.3125,48,842.1458,96,858.3214,112,955.2,1
adapt_ax1fq1s0_cup_seed14_ckpt500000,ax1fq1s0,cup,14,500000,309.7292,48,615.6458,96,655.5625,112,855.3,1
adapt_ax1fq1s0_cup_seed15_ckpt500000,ax1fq1s0,cup,15,500000,370.2083,48,663.7708,96,706.2321,112,966.6,1
adapt_ax1fq1s0_cup_seed16_ckpt500000,ax1fq1s0,cup,16,500000,155.5833,48,554.625,96,611.8482,112,955.5,1
adapt_ax1fq1s0_cup_seed1_ckpt500000,ax1fq1s0,cup,1,500000,273.5417,48,608.7083,96,658.4554,112,951.4,1
adapt_ax1fq1s0_cup_seed2_ckpt500000,ax1fq1s0,cup,2,500000,205.0417,48,195.3854,96,185.0714,112,98.8,1
adapt_ax1fq1s0_cup_seed3_ckpt500000,ax1fq1s0,cup,3,500000,119.6042,48,181.5729,96,173.1518,112,0.0,1
adapt_ax1fq1s0_cup_seed4_ckpt500000,ax1fq1s0,cup,4,500000,72.25,48,138.9896,96,119.1339,112,0.0,1
adapt_ax1fq1s0_cup_seed5_ckpt500000,ax1fq1s0,cup,5,500000,389.25,48,636.1562,96,679.8929,112,945.9,1
adapt_ax1fq1s0_cup_seed6_ckpt500000,ax1fq1s0,cup,6,500000,438.9167,48,619.9375,96,665.9821,112,936.3,1
adapt_ax1fq1s0_cup_seed7_ckpt500000,ax1fq1s0,cup,7,500000,522.3333,48,687.0312,96,725.0268,112,944.7,1
adapt_ax1fq1s0_cup_seed8_ckpt500000,ax1fq1s0,cup,8,500000,508.875,48,718.875,96,752.0357,112,953.5,1
adapt_ax1fq1s0_cup_seed9_ckpt500000,ax1fq1s0,cup,9,500000,19.0625,48,393.3646,96,472.8929,112,946.6,1
adapt_ax1fq1s1_cup_seed10_ckpt500000,ax1fq1s1,cup,10,500000,568.5208,48,764.7188,96,788.0446,112,904.7,1
adapt_ax1fq1s1_cup_seed11_ckpt500000,ax1fq1s1,cup,11,500000,114.1458,48,478.875,96,547.3661,112,965.2,1
adapt_ax1fq1s1_cup_seed12_ckpt500000,ax1fq1s1,cup,12,500000,28.3542,48,34.4688,96,72.4107,112,338.8,1
adapt_ax1fq1s1_cup_seed13_ckpt500000,ax1fq1s1,cup,13,500000,466.0833,48,698.9688,96,733.0089,112,959.0,1
adapt_ax1fq1s1_cup_seed14_ckpt500000,ax1fq1s1,cup,14,500000,482.8125,48,720.9167,96,754.1607,112,954.9,1
adapt_ax1fq1s1_cup_seed15_ckpt500000,ax1fq1s1,cup,15,500000,503.7917,48,710.2292,96,727.5804,112,781.2,1
adapt_ax1fq1s1_cup_seed16_ckpt500000,ax1fq1s1,cup,16,500000,478.1458,48,711.9167,96,744.0982,112,925.1,1
adapt_ax1fq1s1_cup_seed1_ckpt500000,ax1fq1s1,cup,1,500000,412.2708,48,669.1875,96,705.7054,112,934.7,1
adapt_ax1fq1s1_cup_seed2_ckpt500000,ax1fq1s1,cup,2,500000,261.1875,48,415.9896,96,492.875,112,955.5,1
adapt_ax1fq1s1_cup_seed3_ckpt500000,ax1fq1s1,cup,3,500000,691.2083,48,773.3438,96,798.4911,112,948.8,1
adapt_ax1fq1s1_cup_seed4_ckpt500000,ax1fq1s1,cup,4,500000,229.8333,48,580.2292,96,632.375,112,950.2,1
adapt_ax1fq1s1_cup_seed5_ckpt500000,ax1fq1s1,cup,5,500000,527.7917,48,730.5,96,763.1964,112,963.8,1
adapt_ax1fq1s1_cup_seed6_ckpt500000,ax1fq1s1,cup,6,500000,343.375,48,632.3646,96,674.4643,112,934.5,1
adapt_ax1fq1s1_cup_seed7_ckpt500000,ax1fq1s1,cup,7,500000,573.6667,48,754.125,96,772.1964,112,849.9,1
adapt_ax1fq1s1_cup_seed8_ckpt500000,ax1fq1s1,cup,8,500000,180.0833,48,439.2188,96,504.3571,112,870.4,1
adapt_ax1fq1s1_cup_seed9_ckpt500000,ax1fq1s1,cup,9,500000,741.125,48,854.3125,96,868.5446,112,951.1,1
adapt_ax1fw0s0_finger_seed1_ckpt500000,ax1fw0s0,finger,1,500000,86.5625,48,105.8438,96,109.9732,112,114.1,1
adapt_ax1fw0s0_finger_seed2_ckpt500000,ax1fw0s0,finger,2,500000,105.4167,48,81.125,96,78.7143,112,97.5,1
adapt_ax1fw0s1_finger_seed1_ckpt500000,ax1fw0s1,finger,1,500000,99.8958,48,105.25,96,98.4732,112,89.8,1
adapt_ax1fw0s1_finger_seed2_ckpt500000,ax1fw0s1,finger,2,500000,119.2292,48,130.5312,96,123.2857,112,94.2,1
adapt_ax1fw10s0_cup_seed1_ckpt500000,ax1fw10s0,cup,1,500000,58.5833,48,101.4062,96,95.7768,112,99.2,1
adapt_ax1fw10s0_cup_seed2_ckpt500000,ax1fw10s0,cup,2,500000,20.5208,48,71.5521,96,87.625,112,197.6,1
adapt_ax1fw10s0_finger_seed1_ckpt500000,ax1fw10s0,finger,1,500000,83.4167,48,83.9896,96,89.875,112,200.3,1
adapt_ax1fw10s0_finger_seed2_ckpt500000,ax1fw10s0,finger,2,500000,124.4375,48,123.9479,96,114.0625,112,83.6,1
adapt_ax1fw10s1_cup_seed1_ckpt500000,ax1fw10s1,cup,1,500000,60.5833,48,122.4688,96,122.5804,112,197.2,1
adapt_ax1fw10s1_cup_seed2_ckpt500000,ax1fw10s1,cup,2,500000,164.75,48,154.1354,96,132.2411,112,1.4,1
adapt_ax1fw10s1_finger_seed1_ckpt500000,ax1fw10s1,finger,1,500000,68.3125,48,53.9479,96,63.2589,112,138.1,1
adapt_ax1fw10s1_finger_seed2_ckpt500000,ax1fw10s1,finger,2,500000,140.1667,48,112.9896,96,124.3482,112,77.2,1
adapt_ax1fw11s0_cup_seed1_ckpt500000,ax1fw11s0,cup,1,500000,202.4167,48,162.8333,96,166.0804,112,296.9,1
adapt_ax1fw11s0_cup_seed2_ckpt500000,ax1fw11s0,cup,2,500000,263.6875,48,193.6667,96,183.5893,112,99.8,1
adapt_ax1fw11s0_finger_seed1_ckpt500000,ax1fw11s0,finger,1,500000,117.2708,48,85.3646,96,83.5179,112,103.2,1
adapt_ax1fw11s0_finger_seed2_ckpt500000,ax1fw11s0,finger,2,500000,139.875,48,106.8333,96,101.5,112,6.2,1
adapt_ax1fw11s1_cup_seed1_ckpt500000,ax1fw11s1,cup,1,500000,234.125,48,240.9062,96,241.0625,112,290.4,1
adapt_ax1fw11s1_cup_seed2_ckpt500000,ax1fw11s1,cup,2,500000,102.0833,48,76.2188,96,67.0893,112,18.1,1
adapt_ax1fw11s1_finger_seed1_ckpt500000,ax1fw11s1,finger,1,500000,123.8125,48,103.875,96,98.0179,112,100.0,1
adapt_ax1fw11s1_finger_seed2_ckpt500000,ax1fw11s1,finger,2,500000,153.8125,48,118.8125,96,101.8661,112,0.3,1
adapt_ax1fw12s0_cup_seed1_ckpt500000,ax1fw12s0,cup,1,500000,122.4792,48,132.9896,96,131.5714,112,98.3,1
adapt_ax1fw12s0_cup_seed2_ckpt500000,ax1fw12s0,cup,2,500000,141.8333,48,112.2083,96,122.6607,112,197.1,1
adapt_ax1fw12s0_finger_seed1_ckpt500000,ax1fw12s0,finger,1,500000,78.625,48,80.6771,96,78.0804,112,0.0,1
adapt_ax1fw12s0_finger_seed2_ckpt500000,ax1fw12s0,finger,2,500000,83.3542,48,90.9583,96,93.4911,112,101.1,1
adapt_ax1fw12s1_cup_seed1_ckpt500000,ax1fw12s1,cup,1,500000,21.3333,48,61.9375,96,61.9196,112,98.9,1
adapt_ax1fw12s1_cup_seed2_ckpt500000,ax1fw12s1,cup,2,500000,264.7292,48,325.0104,96,305.2679,112,136.6,1
adapt_ax1fw12s1_finger_seed1_ckpt500000,ax1fw12s1,finger,1,500000,119.9792,48,116.9062,96,109.5179,112,104.3,1
adapt_ax1fw12s1_finger_seed2_ckpt500000,ax1fw12s1,finger,2,500000,60.4167,48,81.3333,96,77.6429,112,88.8,1
adapt_ax1fw13s0_cup_seed1_ckpt500000,ax1fw13s0,cup,1,500000,181.8958,48,235.0208,96,236.625,112,295.4,1
adapt_ax1fw13s0_cup_seed2_ckpt500000,ax1fw13s0,cup,2,500000,18.7292,48,60.9167,96,69.9732,112,99.6,1
adapt_ax1fw13s0_finger_seed1_ckpt500000,ax1fw13s0,finger,1,500000,63.0625,48,62.9688,96,57.9732,112,7.9,1
adapt_ax1fw13s0_finger_seed2_ckpt500000,ax1fw13s0,finger,2,500000,68.7292,48,89.0625,96,80.3482,112,36.9,1
adapt_ax1fw13s1_cup_seed1_ckpt500000,ax1fw13s1,cup,1,500000,204.9375,48,143.9688,96,141.2321,112,199.7,1
adapt_ax1fw13s1_cup_seed2_ckpt500000,ax1fw13s1,cup,2,500000,217.8333,48,140.0625,96,187.3304,112,567.3,1
adapt_ax1fw13s1_finger_seed1_ckpt500000,ax1fw13s1,finger,1,500000,154.0,48,79.7604,96,84.0089,112,30.2,1
adapt_ax1fw13s1_finger_seed2_ckpt500000,ax1fw13s1,finger,2,500000,60.0417,48,86.2292,96,78.3482,112,13.2,1
adapt_ax1fw14s0_cup_seed1_ckpt500000,ax1fw14s0,cup,1,500000,166.3125,48,165.8333,96,193.5446,112,353.1,1
adapt_ax1fw14s0_cup_seed2_ckpt500000,ax1fw14s0,cup,2,500000,48.1042,48,54.7292,96,55.8304,112,99.9,1
adapt_ax1fw14s0_finger_seed1_ckpt500000,ax1fw14s0,finger,1,500000,70.0417,48,48.0729,96,43.1518,112,15.3,1
adapt_ax1fw14s0_finger_seed2_ckpt500000,ax1fw14s0,finger,2,500000,62.1458,48,87.1562,96,83.6339,112,100.0,1
adapt_ax1fw14s1_cup_seed1_ckpt500000,ax1fw14s1,cup,1,500000,117.375,48,134.6146,96,141.5714,112,98.2,1
adapt_ax1fw14s1_cup_seed2_ckpt500000,ax1fw14s1,cup,2,500000,18.8542,48,61.2396,96,64.7589,112,137.4,1
adapt_ax1fw14s1_finger_seed1_ckpt500000,ax1fw14s1,finger,1,500000,27.0,48,86.5417,96,83.2321,112,101.4,1
adapt_ax1fw14s1_finger_seed2_ckpt500000,ax1fw14s1,finger,2,500000,114.9167,48,111.1562,96,104.5357,112,7.2,1
adapt_ax1fw1s0_finger_seed1_ckpt500000,ax1fw1s0,finger,1,500000,43.8958,48,63.3021,96,54.2589,112,0.0,1
adapt_ax1fw1s0_finger_seed2_ckpt500000,ax1fw1s0,finger,2,500000,60.7083,48,56.7917,96,59.7857,112,124.4,1
adapt_ax1fw1s1_finger_seed1_ckpt500000,ax1fw1s1,finger,1,500000,71.9583,48,78.7812,96,75.75,112,26.5,1
adapt_ax1fw1s1_finger_seed2_ckpt500000,ax1fw1s1,finger,2,500000,53.8333,48,60.375,96,51.8393,112,1.0,1
adapt_ax1fw3s0_finger_seed1_ckpt500000,ax1fw3s0,finger,1,500000,104.3542,48,113.9062,96,115.6875,112,102.9,1
adapt_ax1fw3s0_finger_seed2_ckpt500000,ax1fw3s0,finger,2,500000,38.9583,48,45.5,96,42.2143,112,36.0,1
adapt_ax1fw3s1_finger_seed1_ckpt500000,ax1fw3s1,finger,1,500000,92.2708,48,74.9479,96,73.1696,112,14.8,1
adapt_ax1fw3s1_finger_seed2_ckpt500000,ax1fw3s1,finger,2,500000,90.7292,48,72.7083,96,87.8571,112,221.9,1
adapt_ax1fw4s0_finger_seed1_ckpt500000,ax1fw4s0,finger,1,500000,68.5417,48,64.9583,96,70.5536,112,163.0,1
adapt_ax1fw4s0_finger_seed2_ckpt500000,ax1fw4s0,finger,2,500000,47.2083,48,52.0,96,47.3571,112,19.7,1
adapt_ax1fw4s1_finger_seed1_ckpt500000,ax1fw4s1,finger,1,500000,110.5833,48,97.6875,96,95.3839,112,118.2,1
adapt_ax1fw4s1_finger_seed2_ckpt500000,ax1fw4s1,finger,2,500000,107.4375,48,87.2188,96,82.6518,112,88.4,1
adapt_ax1fw5s0_cup_seed1_ckpt500000,ax1fw5s0,cup,1,500000,61.5417,48,102.6979,96,114.3571,112,294.9,1
adapt_ax1fw5s0_cup_seed2_ckpt500000,ax1fw5s0,cup,2,500000,168.25,48,197.4167,96,169.2143,112,0.0,1
adapt_ax1fw5s0_finger_seed1_ckpt500000,ax1fw5s0,finger,1,500000,57.2917,48,90.75,96,103.9018,112,192.5,1
adapt_ax1fw5s0_finger_seed2_ckpt500000,ax1fw5s0,finger,2,500000,88.8333,48,126.4896,96,126.2768,112,0.0,1
adapt_ax1fw5s1_cup_seed1_ckpt500000,ax1fw5s1,cup,1,500000,327.4375,48,428.4062,96,434.3125,112,570.4,1
adapt_ax1fw5s1_cup_seed2_ckpt500000,ax1fw5s1,cup,2,500000,125.9375,48,191.5312,96,189.6518,112,190.9,1
adapt_ax1fw5s1_finger_seed1_ckpt500000,ax1fw5s1,finger,1,500000,76.9167,48,84.0,96,83.4107,112,127.8,1
adapt_ax1fw5s1_finger_seed2_ckpt500000,ax1fw5s1,finger,2,500000,85.5417,48,91.9792,96,112.5536,112,208.2,1
adapt_ax1fw6s0_finger_seed1_ckpt500000,ax1fw6s0,finger,1,500000,122.3958,48,91.625,96,96.4821,112,101.0,1
adapt_ax1fw6s0_finger_seed2_ckpt500000,ax1fw6s0,finger,2,500000,111.375,48,113.0417,96,108.4375,112,119.8,1
adapt_ax1fw6s1_finger_seed1_ckpt500000,ax1fw6s1,finger,1,500000,61.75,48,59.4375,96,51.9821,112,4.1,1
adapt_ax1fw6s1_finger_seed2_ckpt500000,ax1fw6s1,finger,2,500000,50.4792,48,57.0104,96,51.5714,112,29.6,1
adapt_ax1fw7s0_cup_seed1_ckpt500000,ax1fw7s0,cup,1,500000,217.1458,48,159.3958,96,163.25,112,298.2,1
adapt_ax1fw7s0_cup_seed2_ckpt500000,ax1fw7s0,cup,2,500000,177.7292,48,140.1875,96,120.1607,112,0.0,1
adapt_ax1fw7s0_finger_seed1_ckpt500000,ax1fw7s0,finger,1,500000,79.7292,48,121.5625,96,113.1518,112,100.0,1
adapt_ax1fw7s0_finger_seed2_ckpt500000,ax1fw7s0,finger,2,500000,110.0,48,112.7812,96,105.5982,112,78.7,1
adapt_ax1fw7s1_cup_seed1_ckpt500000,ax1fw7s1,cup,1,500000,744.1875,48,830.7083,96,846.0893,112,970.5,1
adapt_ax1fw7s1_cup_seed2_ckpt500000,ax1fw7s1,cup,2,500000,637.7083,48,774.3542,96,795.375,112,919.4,1
adapt_ax1fw7s1_finger_seed1_ckpt500000,ax1fw7s1,finger,1,500000,100.6875,48,60.8854,96,70.1429,112,100.0,1
adapt_ax1fw7s1_finger_seed2_ckpt500000,ax1fw7s1,finger,2,500000,50.9583,48,72.6146,96,79.7411,112,98.8,1
adapt_ax1fw8s0_cup_seed1_ckpt500000,ax1fw8s0,cup,1,500000,138.7917,48,120.8542,96,121.2589,112,98.8,1
adapt_ax1fw8s0_cup_seed2_ckpt500000,ax1fw8s0,cup,2,500000,61.4375,48,133.7188,96,132.2768,112,197.8,1
adapt_ax1fw8s0_finger_seed1_ckpt500000,ax1fw8s0,finger,1,500000,134.4375,48,137.3958,96,134.3036,112,185.2,1
adapt_ax1fw8s0_finger_seed2_ckpt500000,ax1fw8s0,finger,2,500000,114.4583,48,115.3125,96,99.0446,112,2.3,1
adapt_ax1fw8s1_cup_seed1_ckpt500000,ax1fw8s1,cup,1,500000,652.25,48,782.9688,96,801.7679,112,922.2,1
adapt_ax1fw8s1_cup_seed2_ckpt500000,ax1fw8s1,cup,2,500000,654.7083,48,794.9792,96,817.7143,112,956.0,1
adapt_ax1fw8s1_finger_seed1_ckpt500000,ax1fw8s1,finger,1,500000,92.1042,48,70.0625,96,67.75,112,0.0,1
adapt_ax1fw8s1_finger_seed2_ckpt500000,ax1fw8s1,finger,2,500000,46.5208,48,35.3438,96,31.4286,112,8.8,1
adapt_ax1fw9s0_cup_seed1_ckpt500000,ax1fw9s0,cup,1,500000,428.3958,48,511.8125,96,554.6071,112,797.6,1
adapt_ax1fw9s0_cup_seed2_ckpt500000,ax1fw9s0,cup,2,500000,83.6042,48,103.6562,96,106.5714,112,0.0,1
adapt_ax1fw9s0_finger_seed1_ckpt500000,ax1fw9s0,finger,1,500000,86.3125,48,79.4062,96,81.5089,112,127.1,1
adapt_ax1fw9s0_finger_seed2_ckpt500000,ax1fw9s0,finger,2,500000,90.9167,48,72.1771,96,68.7054,112,70.9,1
adapt_ax1fw9s1_cup_seed1_ckpt500000,ax1fw9s1,cup,1,500000,599.9375,48,708.0625,96,714.2857,112,868.4,1
adapt_ax1fw9s1_cup_seed2_ckpt500000,ax1fw9s1,cup,2,500000,343.75,48,627.7708,96,661.3125,112,912.6,1
adapt_ax1fw9s1_finger_seed1_ckpt500000,ax1fw9s1,finger,1,500000,70.6667,48,69.2083,96,76.5714,112,2.4,1
adapt_ax1fw9s1_finger_seed2_ckpt500000,ax1fw9s1,finger,2,500000,152.9167,48,99.3854,96,94.1161,112,100.0,1
adapt_ax1q2s0_finger_seed10_ckpt500000,ax1q2s0,finger,10,500000,120.3333,48,112.25,96,105.1429,112,0.0,1
adapt_ax1q2s0_finger_seed11_ckpt500000,ax1q2s0,finger,11,500000,81.75,48,103.4062,96,88.6339,112,0.0,1
adapt_ax1q2s0_finger_seed12_ckpt500000,ax1q2s0,finger,12,500000,163.8333,48,136.2604,96,135.2232,112,199.6,1
adapt_ax1q2s0_finger_seed13_ckpt500000,ax1q2s0,finger,13,500000,202.8125,48,260.9583,96,288.3036,112,519.7,1
adapt_ax1q2s0_finger_seed14_ckpt500000,ax1q2s0,finger,14,500000,110.0417,48,120.9062,96,112.6071,112,96.4,1
