seed,iters,converged,delta_profit,delta_price,fingerprint,punish_depth,recovered,coverage,coverage_late,punish_occupancy,undercut_rate,punish_occ_dist,ref_min_idx,punish_occ_dist_exo,exo_ref_idx,punish_label_jaccard,explore_mode,explore_mix
30,1605002,True,0.8284095520538574,0.6285714285714292,True,0.3099428571428573,True,1.0,0.43555555555555553,0.5857494258574133,0.25620404211334313,0.4996778820213308,8,0.9963389453720307,13,0.8375905286896571,uniform,1.0
31,1658537,True,0.7735147738999214,0.615285714285715,False,0.2711999999999999,False,1.0,0.6088888888888889,0.952585923618225,0.39534782763363135,0.4811427179496146,5,0.9967181919969226,13,0.5004224467840095,uniform,1.0
32,1876416,True,0.9461408266197041,0.7999999999999979,True,0.1937142857142855,True,1.0,0.4266666666666667,0.5165549643575839,0.22529758859442683,0.44320129438248235,10,0.9950544015825915,13,0.8392071676812984,uniform,1.0
33,1618352,True,0.9686135820970799,0.8428571428571413,True,0.4261714285714284,True,1.0,0.6933333333333334,0.5818171819233393,0.24964408237515695,0.5656365240689294,11,0.997026604842457,13,0.8775108258591178,uniform,1.0
34,1448396,True,0.9262724151746672,0.7571428571428556,True,0.38742857142857123,True,1.0,0.7733333333333333,0.672958914550993,0.3003757259754929,0.5571300942559908,10,0.97451180478267,13,0.8179903552398231,uniform,1.0
35,2000000,False,0.6883159107837347,0.5000000000000004,True,0.23245714285714292,True,1.0,0.5333333333333333,0.753578,0.3191895,0.4917355,6,0.996607,13,0.6192186018934238,uniform,1.0
36,1901710,True,0.7744661959707597,0.5857142857142859,False,0.3021942857142854,False,1.0,0.4577777777777778,0.9794369278175957,0.4406144995819552,0.4673525406081895,6,0.9973013761299041,13,0.46835017445962346,uniform,1.0
37,2000000,False,0.7765220207353097,0.7275714285714283,False,0.30219428571428564,False,1.0,0.9511111111111111,0.965484,0.4530775,0.075863,1,0.9782285,13,0.07851310070691049,uniform,1.0
38,1951159,True,0.9963996779886849,0.9714285714285696,True,0.4649142857142856,True,1.0,0.3288888888888889,0.5406309788182306,0.23274371796455337,0.5083224893512011,12,0.9609550016169877,13,0.8996320792718807,uniform,1.0
39,1390662,True,0.8284095520538574,0.6285714285714292,True,0.3099428571428573,True,1.0,0.5955555555555555,0.7381419784246639,0.33330960362762485,0.5998617924412978,8,0.996059430688406,13,0.7914758334641124,uniform,1.0
