run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_apt_cup_seed1_ckpt100000,apt,cup,1,100000,230.0208,48,574.0208,96,627.8839,112,957.0,1
adapt_apt_cup_seed1_ckpt200000,apt,cup,1,200000,362.8125,48,651.2188,96,695.0893,112,967.3,1
adapt_apt_cup_seed1_ckpt300000,apt,cup,1,300000,141.4167,48,458.2604,96,527.3214,112,919.9,1
adapt_apt_cup_seed1_ckpt400000,apt,cup,1,400000,352.7708,48,661.2708,96,705.3125,112,966.5,1
adapt_apt_cup_seed1_ckpt500000,apt,cup,1,500000,389.1667,48,676.8229,96,717.2768,112,962.8,1
adapt_apt_cup_seed2_ckpt100000,apt,cup,2,100000,110.8125,48,509.9479,96,567.8571,112,931.7,1
adapt_apt_cup_seed2_ckpt200000,apt,cup,2,200000,118.4792,48,513.2188,96,577.0446,112,957.6,1
adapt_apt_cup_seed2_ckpt300000,apt,cup,2,300000,134.75,48,168.0,96,221.1696,112,479.1,1
adapt_apt_cup_seed2_ckpt400000,apt,cup,2,400000,749.9792,48,862.2604,96,878.3571,112,975.6,1
adapt_apt_cup_seed2_ckpt500000,apt,cup,2,500000,563.7083,48,767.0,96,796.8482,112,982.6,1
adapt_apt_cup_seed3_ckpt100000,apt,cup,3,100000,79.9375,48,158.6458,96,169.8571,112,287.0,1
adapt_apt_cup_seed3_ckpt200000,apt,cup,3,200000,499.4167,48,730.7396,96,762.6429,112,942.0,1
adapt_apt_cup_seed3_ckpt300000,apt,cup,3,300000,667.8333,48,812.625,96,831.1071,112,966.6,1
adapt_apt_cup_seed3_ckpt400000,apt,cup,3,400000,639.0833,48,806.5104,96,831.0179,112,982.2,1
adapt_apt_cup_seed3_ckpt500000,apt,cup,3,500000,119.0625,48,240.5417,96,336.2589,112,884.7,1
adapt_apt_cup_seed4_ckpt100000,apt,cup,4,100000,99.9792,48,79.6979,96,85.4196,112,96.7,1
adapt_apt_cup_seed4_ckpt200000,apt,cup,4,200000,563.0625,48,731.8646,96,756.4375,112,861.8,1
adapt_apt_cup_seed4_ckpt300000,apt,cup,4,300000,348.5,48,654.9896,96,699.6429,112,969.0,1
adapt_apt_cup_seed4_ckpt400000,apt,cup,4,400000,712.6875,48,839.3229,96,857.1071,112,960.4,1
adapt_apt_cup_seed4_ckpt500000,apt,cup,4,500000,181.3333,48,281.2812,96,352.2679,112,765.5,1
adapt_apt_cup_seed5_ckpt100000,apt,cup,5,100000,189.7292,48,554.9792,96,612.6161,112,960.8,1
adapt_apt_cup_seed5_ckpt200000,apt,cup,5,200000,81.8125,48,399.6562,96,478.9821,112,966.3,1
adapt_apt_cup_seed5_ckpt300000,apt,cup,5,300000,675.6042,48,796.9375,96,818.1429,112,949.5,1
adapt_apt_cup_seed5_ckpt400000,apt,cup,5,400000,157.0833,48,259.6354,96,300.2054,112,675.7,1
adapt_apt_cup_seed5_ckpt500000,apt,cup,5,500000,103.4792,48,252.2917,96,250.3571,112,286.1,1
adapt_apt_finger_seed1_ckpt100000,apt,finger,1,100000,70.625,48,87.5625,96,86.5714,112,43.3,1
adapt_apt_finger_seed1_ckpt200000,apt,finger,1,200000,44.7083,48,56.4375,96,63.25,112,72.1,1
adapt_apt_finger_seed1_ckpt300000,apt,finger,1,300000,126.4583,48,104.6458,96,89.6964,112,0.0,1
adapt_apt_finger_seed1_ckpt400000,apt,finger,1,400000,95.4375,48,83.4375,96,83.9196,112,6.1,1
adapt_apt_finger_seed1_ckpt500000,apt,finger,1,500000,126.7708,48,110.8958,96,117.4286,112,205.3,1
adapt_apt_finger_seed2_ckpt100000,apt,finger,2,100000,84.4167,48,74.9479,96,73.1696,112,0.0,1
adapt_apt_finger_seed2_ckpt200000,apt,finger,2,200000,43.0625,48,112.5521,96,97.9018,112,0.0,1
adapt_apt_finger_seed2_ckpt300000,apt,finger,2,300000,121.2292,48,131.4896,96,129.5089,112,188.2,1
adapt_apt_finger_seed2_ckpt400000,apt,finger,2,400000,114.2917,48,126.6667,96,121.7143,112,54.4,1
