model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.99556,0.99775,1.0,64,28000,12000
rssm,posterior,state,0,1,0.99825,0.99783,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.99178,0.99053,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.91732,0.97571,10.0,128,28000,12000
rssm,prior,state,0,1,0.99204,0.99055,10.0,640,28000,12000
rssm,enc,state,1,1,0.87344,0.87751,10.0,64,27972,11988
rssm,posterior,state,1,1,0.89901,0.86508,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.89787,0.86186,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.80446,0.86823,10.0,128,27972,11988
rssm,prior,state,1,1,0.89819,0.86377,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.99229,0.99058,10.0,640,27972,11988
rssm,enc,state,5,1,0.71698,0.72664,10.0,64,27860,11940
rssm,posterior,state,5,1,0.79349,0.77175,10.0,640,27860,11940
rssm,post_deter,state,5,1,0.7921,0.76765,10.0,512,27860,11940
rssm,post_stoch,state,5,1,0.66485,0.75672,10.0,128,27860,11940
rssm,prior,state,5,1,0.79233,0.77336,10.0,640,27860,11940
rssm,imag5,state,5,1,0.99085,0.98862,10.0,640,27860,11940
rssm,enc,state,20,1,0.49979,0.53073,10.0,64,27440,11760
rssm,posterior,state,20,1,0.52401,0.40223,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.52004,0.38858,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.42249,0.46034,10.0,128,27440,11760
rssm,prior,state,20,1,0.52099,0.40868,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.99004,0.9874,10.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.04648,0.1676,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.17004,0.42823,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.16048,0.21573,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.03631,0.01727,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.16764,0.24593,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.71813,0.98746,0.001,64,28000,12000
rssm,posterior,regime,0,1,0.78757,0.97389,1.0,640,28000,12000
rssm,post_deter,regime,0,1,0.72602,0.89996,10.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.29788,0.64658,0.001,128,28000,12000
rssm,prior,regime,0,1,0.75177,0.89391,10.0,640,28000,12000
rssm,enc,in_regime,0,1,0.00996,0.44693,1000.0,64,28000,12000
rssm,posterior,in_regime,0,1,0.02531,0.24794,1000.0,640,28000,12000
rssm,post_deter,in_regime,0,1,0.02513,0.15107,1000.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.01323,-0.04992,1000.0,128,28000,12000
rssm,prior,in_regime,0,1,0.02508,0.17272,1000.0,640,28000,12000
