run_id,err_diff,expl_mode,horizon,n_all,n_in_norew,n_in_regime,n_in_rew,n_out_norew,n_out_regime,n_out_rew,n_rewarded,n_unrewarded,nll_all,nll_in_norew,nll_in_regime,nll_in_rew,nll_out_norew,nll_out_regime,nll_out_rew,nll_rewarded,nll_unrewarded,rew_nll_all,rew_nll_in,rew_nll_out,reward_aware
ax1wm_finger_rgoq1s0_seed1,-0.057407,task,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.20182009256259273,2.002135529920148,0.2540212388908876,0.2520931716581347,0.1966146975557466,0.1966146975557466,,0.2520931716581347,0.19681303378778958,0.23100375860701233,1.8069424591233438,0.0738542701422974,1
ax1wm_finger_rgoq1s0_seed1,-0.004915,task,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.44722471936148306,,0.4516945158893211,0.4516945158893211,0.4467790504994698,0.4467790504994698,,0.4516945158893211,0.4467790504994698,0.2570311082422733,1.9913575778770096,0.0841070614165225,1
ax1wm_finger_rgoq1s0_seed1,0.050105,task,5,59760,0,5416,5416,54344,54344,0,5416,54344,0.7949075006132145,,0.7493432224859412,0.7493432224859412,0.799448501097855,0.799448501097855,,0.7493432224859412,0.799448501097855,0.3692667255270353,2.8116589884880376,0.125854453773083,1
ax1wm_finger_rgoq1s0_seed1,0.522664,task,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.7318754350678358,,1.256629143242456,1.256629143242456,1.7792935067858389,1.7792935067858389,,1.256629143242456,1.7792935067858389,0.6782357160367813,4.490242578664076,0.29788973983293693,1
ax1wm_finger_rgoq1s0_seed10,-0.056572,task,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.21027088094689525,1.4625869021983817,0.26171309385786784,0.260388600686904,0.20514116527851067,0.20514116527851067,,0.260388600686904,0.20527929553155932,0.32611846837190006,2.7410078749274054,0.0853104757674162,1
ax1wm_finger_rgoq1s0_seed10,-0.011936,task,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.47127198202879256,,0.48212549218470413,0.48212549218470413,0.4701898138607544,0.4701898138607544,,0.48212549218470413,0.4701898138607544,0.3470116966048876,2.905089683830738,0.09195406738002279,1
ax1wm_finger_rgoq1s0_seed10,0.084754,task,5,59760,0,5416,5416,54344,54344,0,5416,54344,0.8300696062978492,,0.7529972242934045,0.7529972242934045,0.8377507490355217,0.8377507490355217,,0.7529972242934045,0.8377507490355217,0.45855867548719786,3.812807608104175,0.12426947669701778,1
ax1wm_finger_rgoq1s0_seed10,0.607148,task,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.839136610797807,,1.287071111722437,1.287071111722437,1.894219379203309,1.894219379203309,,1.287071111722437,1.894219379203309,0.8395405148147443,6.59358223638731,0.2654264865412484,1
ax1wm_finger_rgoq1s0_seed11,-0.039863,task,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.19159583148751166,1.5640689152739167,0.2278440638289251,0.22637028641924312,0.18798122949294363,0.18798122949294363,,0.22637028641924312,0.18813239254886976,0.21134772572742078,1.557486158618146,0.07711346518025541,1
ax1wm_finger_rgoq1s0_seed11,0.033075,task,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.4426009596754338,,0.4125243664806877,0.4125243664806877,0.4455997988796021,0.4455997988796021,,0.4125243664806877,0.4455997988796021,0.23157292202512422,1.7104480413172174,0.08411909781418238,1
ax1wm_finger_rgoq1s0_seed11,0.140627,task,5,59760,0,5416,5416,54344,54344,0,5416,54344,0.8047341124712871,,0.6768515957803453,0.6768515957803453,0.817479065187284,0.817479065187284,,0.6768515957803453,0.817479065187284,0.3205014465324371,2.3888160168486294,0.114370287382715,1
ax1wm_finger_rgoq1s0_seed11,0.621932,task,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.8021213971636525,,1.2366135522871702,1.2366135522871702,1.8585453861703867,1.8585453861703867,,1.2366135522871702,1.8585453861703867,0.5826638071767092,4.075726176301639,0.23414076810482728,1
ax1wm_finger_rgoq1s0_seed12,-0.069463,task,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.20518772302956603,1.264185947055618,0.26835249774436015,0.267254152028208,0.1988890566968168,0.1988890566968168,,0.267254152028208,0.19900607942369616,0.31407604645360837,1.6907327960967318,0.1767985597550247,1
ax1wm_finger_rgoq1s0_seed12,-0.008387,task,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.45399467383240233,,0.4616210650095739,0.4616210650095739,0.45323427119303633,0.45323427119303633,,0.4616210650095739,0.45323427119303633,0.3361542505890131,1.8590572621344643,0.18431054855808834,1
ax1wm_finger_rgoq1s0_seed12,0.076202,task,5,59760,0,5416,5416,54344,54344,0,5416,54344,0.8178412217961932,,0.7485450236899389,0.7485450236899389,0.8247473790342227,0.8247473790342227,,0.7485450236899389,0.8247473790342227,0.45668385951733653,2.6639653844332414,0.23670305687225077,1
ax1wm_finger_rgoq1s0_seed12,0.54051,task,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.7839037659573052,,1.292430584274303,1.292430584274303,1.8329408883449594,1.8329408883449594,,1.292430584274303,1.8329408883449594,0.8033098652113306,4.792783841814441,0.4052569684426346,1
ax1wm_finger_rgoq1s0_seed13,-0.06857,task,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.2100596454227607,1.2330106581406046,0.2724117696182759,0.27135228555005275,0.20384201499157503,0.20384201499157503,,0.27135228555005275,0.20395506903512853,0.21486682815032523,1.601064270542161,0.0766379624516777,1
ax1wm_finger_rgoq1s0_seed13,-0.017354,task,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.4555149363562291,,0.47129553176420724,0.47129553176420724,0.45394150455602017,0.45394150455602017,,0.47129553176420724,0.45394150455602017,0.23467785326937834,1.7750321863219143,0.08109413677733665,1
ax1wm_finger_rgoq1s0_seed13,0.071981,task,5,59760,0,5416,5416,54344,54344,0,5416,54344,0.8245276462262369,,0.7590705705657196,0.7590705705657196,0.8310511910844983,0.8310511910844983,,0.7590705705657196,0.8310511910844983,0.34012800081666694,2.6104950957231368,0.1138600009268274,1
ax1wm_finger_rgoq1s0_seed13,0.53414,task,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.8018715315750216,,1.3161903500460865,1.3161903500460865,1.8503307526020114,1.8503307526020114,,1.3161903500460865,1.8503307526020114,0.6821057344273852,5.127333641721961,0.23857963156951828,1
ax1wm_finger_rgoq1s0_seed14,-0.024451,task,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.2357185260909535,1.7198785588261671,0.2579527512091577,0.2563403330389919,0.23350137316324743,0.23350137316324743,,0.2563403330389919,0.2336646515066011,0.24536518863428047,2.2702851615383746,0.0434441762119035,1
ax1wm_finger_rgoq1s0_seed14,0.04394,task,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.492879737193525,,0.4529237026185663,0.4529237026185663,0.4968636233388288,0.4968636233388288,,0.4529237026185663,0.4968636233388288,0.26740584688087304,2.4562651192550273,0.04916181385823009,1
ax1wm_finger_rgoq1s0_seed14,0.126833,task,5,59760,0,5416,5416,54344,54344,0,5416,54344,0.8613997427338135,,0.746061564634105,0.746061564634105,0.8728945089009712,0.8728945089009712,,0.746061564634105,0.8728945089009712,0.36836461502525064,3.4064735360388565,0.06558237749747038,1
