run_id,phase,task,expl_mode,seed,steps,ckpt_policy,logdir,status,su,notes,axis,paired_seed_set
ax1wm_finger_w1s1_seed2,offline_fit,dmc_finger_turn_hard,static,2,500000,/workspace/dreamerv3_runs/axis1_finger/within/p2e2/side1,/workspace/dreamerv3_runs/ax1wm_finger_w1s1_seed2,DONE,,,axis1,ax1w_finger_p2e2
ax1wm_finger_w1s0_seed1,offline_fit,dmc_finger_turn_hard,static,1,500000,/workspace/dreamerv3_runs/axis1_finger/within/p2e2/side0,/workspace/dreamerv3_runs/ax1wm_finger_w1s0_seed1,DONE,,,axis1,ax1w_finger_p2e2
ax1wm_finger_w1s1_seed1,offline_fit,dmc_finger_turn_hard,static,1,500000,/workspace/dreamerv3_runs/axis1_finger/within/p2e2/side1,/workspace/dreamerv3_runs/ax1wm_finger_w1s1_seed1,DONE,,,axis1,ax1w_finger_p2e2
ax1wm_finger_w1s0_seed2,offline_fit,dmc_finger_turn_hard,static,2,500000,/workspace/dreamerv3_runs/axis1_finger/within/p2e2/side0,/workspace/dreamerv3_runs/ax1wm_finger_w1s0_seed2,DONE,,,axis1,ax1w_finger_p2e2
adapt_ax1w1s0_finger_seed2_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w1s0_seed2/ckpt/20260714T090611F457076-000000500000,/workspace/dreamerv3_runs/adapt_ax1w1s0_finger_seed2_ckpt500000,DONE,,,axis1,ax1w_finger_p2e2
adapt_ax1w1s1_finger_seed2_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w1s1_seed2/ckpt/20260714T090739F640711-000000500000,/workspace/dreamerv3_runs/adapt_ax1w1s1_finger_seed2_ckpt500000,DONE,,,axis1,ax1w_finger_p2e2
adapt_ax1w1s1_finger_seed1_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w1s1_seed1/ckpt/20260714T090811F807271-000000500000,/workspace/dreamerv3_runs/adapt_ax1w1s1_finger_seed1_ckpt500000,DONE,,,axis1,ax1w_finger_p2e2
adapt_ax1w1s0_finger_seed1_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w1s0_seed1/ckpt/20260714T090837F792099-000000500000,/workspace/dreamerv3_runs/adapt_ax1w1s0_finger_seed1_ckpt500000,DONE,,,axis1,ax1w_finger_p2e2
ax1wm_finger_w4s0_seed2,offline_fit,dmc_finger_turn_hard,static,2,500000,/workspace/dreamerv3_runs/axis1_finger/within/p2e5/side0,/workspace/dreamerv3_runs/ax1wm_finger_w4s0_seed2,DONE,,,axis1,ax1w_finger_p2e5
ax1wm_finger_w4s1_seed2,offline_fit,dmc_finger_turn_hard,static,2,500000,/workspace/dreamerv3_runs/axis1_finger/within/p2e5/side1,/workspace/dreamerv3_runs/ax1wm_finger_w4s1_seed2,DONE,,,axis1,ax1w_finger_p2e5
ax1wm_finger_w4s1_seed1,offline_fit,dmc_finger_turn_hard,static,1,500000,/workspace/dreamerv3_runs/axis1_finger/within/p2e5/side1,/workspace/dreamerv3_runs/ax1wm_finger_w4s1_seed1,DONE,,,axis1,ax1w_finger_p2e5
ax1wm_finger_w4s0_seed1,offline_fit,dmc_finger_turn_hard,static,1,500000,/workspace/dreamerv3_runs/axis1_finger/within/p2e5/side0,/workspace/dreamerv3_runs/ax1wm_finger_w4s0_seed1,DONE,,,axis1,ax1w_finger_p2e5
adapt_ax1w4s0_finger_seed2_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w4s0_seed2/ckpt/20260714T120432F419858-000000500000,/workspace/dreamerv3_runs/adapt_ax1w4s0_finger_seed2_ckpt500000,DONE,,,axis1,ax1w_finger_p2e5
adapt_ax1w4s1_finger_seed2_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w4s1_seed2/ckpt/20260714T120717F483421-000000500000,/workspace/dreamerv3_runs/adapt_ax1w4s1_finger_seed2_ckpt500000,DONE,,,axis1,ax1w_finger_p2e5
adapt_ax1w4s1_finger_seed1_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w4s1_seed1/ckpt/20260714T120846F011924-000000500000,/workspace/dreamerv3_runs/adapt_ax1w4s1_finger_seed1_ckpt500000,DONE,,,axis1,ax1w_finger_p2e5
adapt_ax1w4s0_finger_seed1_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w4s0_seed1/ckpt/20260714T120942F567040-000000500000,/workspace/dreamerv3_runs/adapt_ax1w4s0_finger_seed1_ckpt500000,DONE,,,axis1,ax1w_finger_p2e5
ax1wm_finger_w6s0_seed2,offline_fit,dmc_finger_turn_hard,static,2,500000,/workspace/dreamerv3_runs/axis1_finger/within/apt2/side0,/workspace/dreamerv3_runs/ax1wm_finger_w6s0_seed2,DONE,,,axis1,ax1w_finger_apt2
ax1wm_finger_w6s1_seed2,offline_fit,dmc_finger_turn_hard,static,2,500000,/workspace/dreamerv3_runs/axis1_finger/within/apt2/side1,/workspace/dreamerv3_runs/ax1wm_finger_w6s1_seed2,DONE,,,axis1,ax1w_finger_apt2
ax1wm_finger_w6s1_seed1,offline_fit,dmc_finger_turn_hard,static,1,500000,/workspace/dreamerv3_runs/axis1_finger/within/apt2/side1,/workspace/dreamerv3_runs/ax1wm_finger_w6s1_seed1,DONE,,,axis1,ax1w_finger_apt2
ax1wm_finger_w6s0_seed1,offline_fit,dmc_finger_turn_hard,static,1,500000,/workspace/dreamerv3_runs/axis1_finger/within/apt2/side0,/workspace/dreamerv3_runs/ax1wm_finger_w6s0_seed1,DONE,,,axis1,ax1w_finger_apt2
adapt_ax1w6s0_finger_seed2_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w6s0_seed2/ckpt/20260714T150309F450590-000000500000,/workspace/dreamerv3_runs/adapt_ax1w6s0_finger_seed2_ckpt500000,DONE,,,axis1,ax1w_finger_apt2
adapt_ax1w6s1_finger_seed2_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w6s1_seed2/ckpt/20260714T150705F572088-000000500000,/workspace/dreamerv3_runs/adapt_ax1w6s1_finger_seed2_ckpt500000,DONE,,,axis1,ax1w_finger_apt2
adapt_ax1w6s1_finger_seed1_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w6s1_seed1/ckpt/20260714T150915F963941-000000500000,/workspace/dreamerv3_runs/adapt_ax1w6s1_finger_seed1_ckpt500000,DONE,,,axis1,ax1w_finger_apt2
adapt_ax1w6s0_finger_seed1_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w6s0_seed1/ckpt/20260714T151051F760051-000000500000,/workspace/dreamerv3_runs/adapt_ax1w6s0_finger_seed1_ckpt500000,DONE,,,axis1,ax1w_finger_apt2
ax1wm_finger_w8s0_seed2,offline_fit,dmc_finger_turn_hard,static,2,500000,/workspace/dreamerv3_runs/axis1_finger/within/apt4/side0,/workspace/dreamerv3_runs/ax1wm_finger_w8s0_seed2,DONE,,,axis1,ax1w_finger_apt4
ax1wm_finger_w8s1_seed2,offline_fit,dmc_finger_turn_hard,static,2,500000,/workspace/dreamerv3_runs/axis1_finger/within/apt4/side1,/workspace/dreamerv3_runs/ax1wm_finger_w8s1_seed2,DONE,,,axis1,ax1w_finger_apt4
ax1wm_finger_w8s1_seed1,offline_fit,dmc_finger_turn_hard,static,1,500000,/workspace/dreamerv3_runs/axis1_finger/within/apt4/side1,/workspace/dreamerv3_runs/ax1wm_finger_w8s1_seed1,DONE,,,axis1,ax1w_finger_apt4
ax1wm_finger_w8s0_seed1,offline_fit,dmc_finger_turn_hard,static,1,500000,/workspace/dreamerv3_runs/axis1_finger/within/apt4/side0,/workspace/dreamerv3_runs/ax1wm_finger_w8s0_seed1,DONE,,,axis1,ax1w_finger_apt4
adapt_ax1w8s0_finger_seed2_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w8s0_seed2/ckpt/20260714T180137F509069-000000500000,/workspace/dreamerv3_runs/adapt_ax1w8s0_finger_seed2_ckpt500000,DONE,,,axis1,ax1w_finger_apt4
adapt_ax1w8s1_finger_seed2_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w8s1_seed2/ckpt/20260714T180647F830307-000000500000,/workspace/dreamerv3_runs/adapt_ax1w8s1_finger_seed2_ckpt500000,DONE,,,axis1,ax1w_finger_apt4
adapt_ax1w8s1_finger_seed1_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w8s1_seed1/ckpt/20260714T180944F722494-000000500000,/workspace/dreamerv3_runs/adapt_ax1w8s1_finger_seed1_ckpt500000,DONE,,,axis1,ax1w_finger_apt4
adapt_ax1w8s0_finger_seed1_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_w8s0_seed1/ckpt/20260714T181154F387511-000000500000,/workspace/dreamerv3_runs/adapt_ax1w8s0_finger_seed1_ckpt500000,DONE,,,axis1,ax1w_finger_apt4
ax1wm_finger_w10s0_seed2,offline_fit,dmc_finger_turn_hard,static,2,500000,/workspace/dreamerv3_runs/axis1_finger/within/random1/side0,/workspace/dreamerv3_runs/ax1wm_finger_w10s0_seed2,DONE,,,axis1,ax1w_finger_random1
