model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.98475,0.99844,10.0,64,28000,12000
rssm,posterior,state,0,1,0.99407,0.99515,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.98958,0.99176,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.7504,0.93342,1.0,128,28000,12000
rssm,prior,state,0,1,0.99054,0.99123,10.0,640,28000,12000
rssm,enc,state,1,1,0.94718,0.9756,1.0,64,27972,11988
rssm,posterior,state,1,1,0.97269,0.9741,10.0,640,27972,11988
rssm,post_deter,state,1,1,0.96919,0.97216,10.0,512,27972,11988
rssm,post_stoch,state,1,1,0.72458,0.91224,1.0,128,27972,11988
rssm,prior,state,1,1,0.97037,0.97237,10.0,640,27972,11988
rssm,imag1,state,1,1,0.99055,0.99153,10.0,640,27972,11988
rssm,enc,state,5,1,0.78402,0.8849,10.0,64,27860,11940
rssm,posterior,state,5,1,0.87174,0.87843,10.0,640,27860,11940
rssm,post_deter,state,5,1,0.86863,0.87668,10.0,512,27860,11940
rssm,post_stoch,state,5,1,0.59605,0.81482,10.0,128,27860,11940
rssm,prior,state,5,1,0.87133,0.87948,10.0,640,27860,11940
rssm,imag5,state,5,1,0.98589,0.98661,10.0,640,27860,11940
rssm,enc,state,20,1,0.43311,0.5706,10.0,64,27440,11760
rssm,posterior,state,20,1,0.52485,0.50234,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.52128,0.50226,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.32179,0.47567,10.0,128,27440,11760
rssm,prior,state,20,1,0.52425,0.50944,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.94499,0.94836,10.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.09564,0.16597,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.23271,0.00895,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.22551,-0.06567,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.19481,0.12617,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.22995,0.01738,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.94556,0.99689,10.0,64,28000,12000
rssm,posterior,regime,0,1,0.99238,0.99538,10.0,640,28000,12000
rssm,post_deter,regime,0,1,0.98871,0.99136,10.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.77891,0.97234,10.0,128,28000,12000
rssm,prior,regime,0,1,0.98957,0.99241,10.0,640,28000,12000
rssm,enc,in_regime,0,1,0.24111,0.84182,10.0,64,28000,12000
rssm,posterior,in_regime,0,1,0.39561,0.82666,10.0,640,28000,12000
rssm,post_deter,in_regime,0,1,0.36732,0.79087,10.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.25068,0.51399,1.0,128,28000,12000
rssm,prior,in_regime,0,1,0.4089,0.78064,0.001,640,28000,12000
