model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.84028,0.91277,10.0,64,28000,12000
rssm,posterior,state,0,1,0.86153,0.88077,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.64954,0.6274,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.51587,0.56643,1000.0,128,28000,12000
rssm,prior,state,0,1,0.71447,0.6655,1000.0,640,28000,12000
rssm,enc,state,1,1,0.40039,0.45684,10.0,64,27972,11988
rssm,posterior,state,1,1,0.50593,0.46625,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.46698,0.39047,10.0,512,27972,11988
rssm,post_stoch,state,1,1,0.19128,0.18232,1000.0,128,27972,11988
rssm,prior,state,1,1,0.48513,0.41165,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.71453,0.66598,1000.0,640,27972,11988
rssm,enc,state,5,1,0.10484,0.09305,10.0,64,27860,11940
rssm,posterior,state,5,1,0.17856,-0.09463,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.17543,-0.07727,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.02394,-0.03087,1000.0,128,27860,11940
rssm,prior,state,5,1,0.1778,-0.09509,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.56836,0.47373,1000.0,640,27860,11940
rssm,enc,state,20,1,0.01239,-0.10164,10.0,64,27440,11760
rssm,posterior,state,20,1,0.00537,-0.38084,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.00788,-0.34265,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.00129,-0.09984,1000.0,128,27440,11760
rssm,prior,state,20,1,0.00648,-0.35726,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.42947,0.30284,1000.0,640,27440,11760
rssm,enc,gait_phase,0,1,0.47146,0.52325,10.0,64,28000,12000
rssm,posterior,gait_phase,0,1,0.64632,0.57675,1000.0,640,28000,12000
rssm,post_deter,gait_phase,0,1,0.63929,0.57521,1000.0,512,28000,12000
rssm,post_stoch,gait_phase,0,1,0.111,0.11233,1000.0,128,28000,12000
rssm,prior,gait_phase,0,1,0.64125,0.56402,1000.0,640,28000,12000
rssm,enc,return_to_go,0,1,0.16657,-0.57213,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.09531,-0.42008,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.09494,-0.45925,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.04613,-0.28672,10.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.09788,-0.35601,1000.0,640,28000,12000
rssm,enc,time_to_fall,0,1,0.36565,0.45784,10.0,64,27835,11962
rssm,posterior,time_to_fall,0,1,0.38277,0.41399,1000.0,640,27835,11962
rssm,post_deter,time_to_fall,0,1,0.37781,0.38466,1000.0,512,27835,11962
rssm,post_stoch,time_to_fall,0,1,0.09629,0.14913,1000.0,128,27835,11962
rssm,prior,time_to_fall,0,1,0.38321,0.38847,1000.0,640,27835,11962
rssm,enc,reward_stand,0,1,0.69836,0.90997,10.0,64,28000,12000
rssm,posterior,reward_stand,0,1,0.85863,0.9261,10.0,640,28000,12000
rssm,post_deter,reward_stand,0,1,0.85735,0.91769,10.0,512,28000,12000
rssm,post_stoch,reward_stand,0,1,0.1667,0.32944,1000.0,128,28000,12000
rssm,prior,reward_stand,0,1,0.85902,0.92499,10.0,640,28000,12000
rssm,enc,reward_walk,0,1,0.41427,0.51771,0.001,64,28000,12000
rssm,posterior,reward_walk,0,1,0.44316,0.50965,10.0,640,28000,12000
rssm,post_deter,reward_walk,0,1,0.44187,0.45073,10.0,512,28000,12000
rssm,post_stoch,reward_walk,0,1,0.07137,-0.05373,10.0,128,28000,12000
rssm,prior,reward_walk,0,1,0.44141,0.44163,10.0,640,28000,12000
rssm,enc,reward_run,0,1,0.68446,0.87081,1.0,64,28000,12000
rssm,posterior,reward_run,0,1,0.81133,0.87724,1.0,640,28000,12000
rssm,post_deter,reward_run,0,1,0.81044,0.86042,1.0,512,28000,12000
rssm,post_stoch,reward_run,0,1,0.15345,0.2807,10.0,128,28000,12000
rssm,prior,reward_run,0,1,0.81167,0.86645,0.001,640,28000,12000
