model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.7043,0.73877,10.0,64,28000,12000
rssm,posterior,state,0,1,0.69715,0.74937,1000.0,640,28000,12000
rssm,post_deter,state,0,1,0.41959,0.40905,1000.0,512,28000,12000
rssm,post_stoch,state,0,1,0.60903,0.6779,10.0,128,28000,12000
rssm,prior,state,0,1,0.42728,0.48668,1000.0,640,28000,12000
rssm,enc,state,1,1,0.43638,-0.51751,10.0,64,27972,11988
rssm,posterior,state,1,1,0.50894,0.50917,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.33842,0.31849,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.43036,0.45982,1000.0,128,27972,11988
rssm,prior,state,1,1,0.33956,0.3947,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.42905,0.48648,1000.0,640,27972,11988
rssm,enc,state,5,1,0.0624,-0.51625,10.0,64,27860,11940
rssm,posterior,state,5,1,0.28495,0.27779,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.25704,0.24923,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.20124,0.16523,1000.0,128,27860,11940
rssm,prior,state,5,1,0.26631,0.15141,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.30988,0.30993,1000.0,640,27860,11940
rssm,enc,state,20,1,0.09297,0.07885,10.0,64,27440,11760
rssm,posterior,state,20,1,0.09716,-0.23455,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.07236,-0.2755,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.13042,0.03478,10.0,128,27440,11760
rssm,prior,state,20,1,0.08992,-0.09964,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.30863,0.31544,1000.0,640,27440,11760
rssm,enc,gait_phase,0,1,0.09408,-0.1711,10.0,64,28000,12000
rssm,posterior,gait_phase,0,1,-0.214,-0.80199,1000.0,640,28000,12000
rssm,post_deter,gait_phase,0,1,-0.14352,-0.4528,1000.0,512,28000,12000
rssm,post_stoch,gait_phase,0,1,0.18007,-0.39414,1000.0,128,28000,12000
rssm,prior,gait_phase,0,1,-0.07581,-0.38622,1000.0,640,28000,12000
rssm,enc,return_to_go,0,1,0.54067,0.32804,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.69193,0.66984,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.6255,0.58327,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.66625,0.63585,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.65281,0.59672,1000.0,640,28000,12000
rssm,enc,time_to_fall,0,1,-39.87586,-125.3955,1.0,64,22106,11056
rssm,posterior,time_to_fall,0,1,-9.60885,-20.37318,1000.0,640,22106,11056
rssm,post_deter,time_to_fall,0,1,-9.14085,-17.03812,1000.0,512,22106,11056
rssm,post_stoch,time_to_fall,0,1,-3.49651,-15.06596,10.0,128,22106,11056
rssm,prior,time_to_fall,0,1,-7.89007,-13.10352,1000.0,640,22106,11056
rssm,enc,reward_stand,0,1,0.6538,-3.63077,10.0,64,28000,12000
rssm,posterior,reward_stand,0,1,0.50919,0.41511,10.0,640,28000,12000
rssm,post_deter,reward_stand,0,1,0.40661,0.14101,10.0,512,28000,12000
rssm,post_stoch,reward_stand,0,1,0.70185,0.51904,1000.0,128,28000,12000
rssm,prior,reward_stand,0,1,0.4143,0.40261,10.0,640,28000,12000
rssm,enc,reward_walk,0,1,0.07576,-0.07471,1000.0,64,28000,12000
rssm,posterior,reward_walk,0,1,-1.00749,-1.73065,1000.0,640,28000,12000
rssm,post_deter,reward_walk,0,1,-1.96115,-5.90695,1000.0,512,28000,12000
rssm,post_stoch,reward_walk,0,1,0.44203,0.06155,1000.0,128,28000,12000
rssm,prior,reward_walk,0,1,-1.79226,-2.41166,1000.0,640,28000,12000
rssm,enc,reward_run,0,1,0.58097,-2.92108,10.0,64,28000,12000
rssm,posterior,reward_run,0,1,0.16547,-0.02269,10.0,640,28000,12000
rssm,post_deter,reward_run,0,1,-0.0587,-0.31347,10.0,512,28000,12000
rssm,post_stoch,reward_run,0,1,0.68365,0.46738,1000.0,128,28000,12000
rssm,prior,reward_run,0,1,-0.04859,-0.08958,10.0,640,28000,12000
