-  92% jaxagent_train                              (min=0.0s, mean=0.1s, max=0.1s, n=848)
-  91% jaxagent_train/jit_train                    (min=0.0s, mean=0.1s, max=0.1s, n=848)
-   4% chunk_save                                  (min=0.2s, mean=0.3s, max=0.4s, n=16)
-   4% jaxagent_policy                             (min=0.1s, mean=0.1s, max=0.1s, n=53)
-   1% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=848)
-   0% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=848)
-   0% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=848)
-   0% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=11622)
-   0% checkpoint_save                             (min=0.3s, mean=0.3s, max=0.3s, n=1)
-   0% checkpoint_save/jaxagent_save               (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=11597)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=1946)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=13552)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=848)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=1971)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=848)
-   0% nvsmi_stats                                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=848)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=848)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=176)
-   0% checkpoint_save/checkpoint_write            (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=672)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% checkpoint_save/checkpoint_pickle           (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% checkpoint_save/replay_save                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/replay_save/complete_chunk  (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=7)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
