-  80% jaxagent_train                              (min=0.0s, mean=0.0s, max=0.2s, n=4288)
-  70% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.1s, n=4288)
-  26% chunk_save                                  (min=0.5s, mean=1.0s, max=1.5s, n=32)
-   5% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=4289)
-   3% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=4289)
-   3% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=4288)
-   2% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=64236)
-   1% jaxagent_policy                             (min=0.0s, mean=0.0s, max=0.1s, n=268)
-   1% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=64164)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=68560)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=4288)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=4289)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=4372)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=4288)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=4288)
-   0% checkpoint_save                             (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=4460)
-   0% checkpoint_save/checkpoint_write            (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% nvsmi_stats                                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=4256)
-   0% checkpoint_save/checkpoint_pickle           (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% checkpoint_save/jaxagent_save               (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% jaxagent_report                             (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=32)
-   0% checkpoint_save/replay_save                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/replay_save/complete_chunk  (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logfn/logger_add                            (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
