-  81% jaxagent_train                              (min=0.0s, mean=0.0s, max=0.0s, n=4368)
-  73% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.0s, n=4368)
-   5% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=4369)
-   3% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=4369)
-   3% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=4368)
-   2% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=64770)
-   1% jaxagent_policy                             (min=0.0s, mean=0.0s, max=0.0s, n=273)
-   1% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=64715)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=69840)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=4368)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=4369)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=5118)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=4368)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=5189)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=4368)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=4368)
-   0% nvsmi_stats                                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% jaxagent_report                             (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
