-  83% jaxagent_train                     (min=0.0s, mean=0.0s, max=0.0s, n=4384)
-  77% jaxagent_train/jit_train           (min=0.0s, mean=0.0s, max=0.0s, n=4384)
-   3% replay_sample                      (min=0.0s, mean=0.0s, max=0.0s, n=4384)
-   2% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=4384)
-   2% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=4384)
-   1% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=70144)
-   1% logger_write                       (min=1.4s, mean=1.4s, max=1.4s, n=1)
-   1% logger_write/TerminalOutput        (min=1.4s, mean=1.4s, max=1.4s, n=1)
-   1% jaxagent_policy                    (min=0.0s, mean=0.0s, max=0.0s, n=274)
-   0% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=70144)
-   0% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=70080)
-   0% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=4384)
-   0% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=4384)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=4384)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=4384)
-   0% nvsmi_stats                        (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=4384)
-   0% jsonl                              (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput           (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/JSONLOutput           (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=7)
