-  81% jaxagent_train                              (min=0.0s, mean=0.0s, max=0.1s, n=4976)
-  74% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.1s, n=4976)
-  14% chunk_save                                  (min=0.3s, mean=0.9s, max=1.5s, n=20)
-   4% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=4976)
-   2% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=4976)
-   2% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=4976)
-   2% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=74311)
-   1% jaxagent_policy                             (min=0.0s, mean=0.0s, max=0.0s, n=311)
-   0% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=74245)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=79552)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=4976)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=4976)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=5305)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=4976)
-   0% nvsmi_stats                                 (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=4976)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=5371)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=1040)
-   0% checkpoint_save                             (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=3936)
-   0% checkpoint_save/jaxagent_save               (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/checkpoint_write            (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% checkpoint_save/checkpoint_pickle           (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% replay_add/complete_chunk                   (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% checkpoint_save/replay_save                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/replay_save/complete_chunk  (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=7)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
