-  62% jaxagent_train                     (min=0.0s, mean=0.0s, max=0.0s, n=4769)
-  58% jaxagent_train/jit_train           (min=0.0s, mean=0.0s, max=0.0s, n=4769)
-  10% replay_sample                      (min=0.0s, mean=0.0s, max=5.4s, n=4771)
-   2% jaxagent_policy                    (min=0.0s, mean=0.0s, max=1.2s, n=426)
-   1% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=4771)
-   1% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=4768)
-   1% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=76288)
-   0% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=76336)
-   0% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=76240)
-   0% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6816)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=6816)
-   0% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=4771)
-   0% jaxagent_load                      (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% checkpoint_save                    (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% checkpoint_save/jaxagent_save      (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=4769)
-   0% nvsmi_stats                        (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=5792)
-   0% checkpoint_save/checkpoint_write   (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% checkpoint_save/checkpoint_pickle  (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6)
-   0% checkpoint_save/replay_save        (min=0.0s, mean=0.0s, max=0.0s, n=1)
