-  79% jaxagent_train                              (min=0.0s, mean=0.0s, max=0.0s, n=4880)
-  71% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.0s, n=4880)
-   5% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=4881)
-   3% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=4881)
-   3% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=4880)
-   2% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=72977)
-   2% logger_write                                (min=2.1s, mean=2.1s, max=2.1s, n=1)
-   2% logger_write/TerminalOutput                 (min=2.1s, mean=2.1s, max=2.1s, n=1)
-   1% jaxagent_policy                             (min=0.0s, mean=0.0s, max=0.0s, n=305)
-   1% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=72922)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=78032)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=4880)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=4881)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=4880)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=5103)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=5174)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=4880)
-   0% nvsmi_stats                                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=4880)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% jaxagent_report                             (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logfn/logger_add                            (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
