-  63% jaxagent_train                     (min=0.0s, mean=0.0s, max=0.0s, n=4241)
-  59% jaxagent_train/jit_train           (min=0.0s, mean=0.0s, max=0.0s, n=4241)
-  10% replay_sample                      (min=0.0s, mean=0.0s, max=5.7s, n=4243)
-   2% jaxagent_policy                    (min=0.0s, mean=0.0s, max=1.3s, n=393)
-   1% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=4243)
-   1% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=4240)
-   1% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=67840)
-   0% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=67888)
-   0% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6288)
-   0% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=67792)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=6288)
-   0% jaxagent_load                      (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=4243)
-   0% checkpoint_save                    (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% checkpoint_save/jaxagent_save      (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=4241)
-   0% nvsmi_stats                        (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=5264)
-   0% checkpoint_save/checkpoint_write   (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% checkpoint_save/checkpoint_pickle  (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6)
-   0% checkpoint_save/replay_save        (min=0.0s, mean=0.0s, max=0.0s, n=1)
