[Sat Jul 18 14:41:00 UTC 2026] scaling Option C queue start label=inst2 offset=4
[Sat Jul 18 14:41:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 14:46:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 14:51:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 14:56:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 15:01:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 15:06:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 15:11:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 15:16:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 15:21:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 15:26:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 15:31:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 15:36:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 15:41:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 15:46:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 15:51:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 15:56:00 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 16:01:01 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 16:06:01 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 16:11:01 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 16:16:01 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 16:21:01 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 16:26:01 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 16:31:01 UTC 2026] existing cloud axis1 workers still active; waiting
[Sat Jul 18 21:33:58 UTC 2026] scaling Option C queue done label=inst2
