-  81% jaxagent_train                              (min=0.0s, mean=0.0s, max=0.0s, n=11216)
-  57% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.0s, n=11216)
-  30% chunk_save                                  (min=0.1s, mean=0.4s, max=0.5s, n=96)
-  18% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=11217)
-  10% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=11217)
-   5% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=11216)
-   3% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=168284)
-   3% jaxagent_policy                             (min=0.0s, mean=0.0s, max=0.0s, n=701)
-   3% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=168110)
-   1% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=179296)
-   1% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=11216)
-   1% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=11217)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=11362)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=11216)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=11172)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=11216)
-   0% nvsmi_stats                                 (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% checkpoint_save                             (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=9168)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=2048)
-   0% checkpoint_save/replay_save                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/jaxagent_save               (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% checkpoint_save/checkpoint_write            (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% checkpoint_save/checkpoint_pickle           (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% jaxagent_report                             (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/complete_chunk                   (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/replay_save/complete_chunk  (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
