-  51% jaxagent_train                     (min=0.0s, mean=0.0s, max=0.0s, n=11249)
-  36% jaxagent_train/jit_train           (min=0.0s, mean=0.0s, max=0.0s, n=11249)
-  17% replay_sample                      (min=0.0s, mean=0.0s, max=6.0s, n=11251)
-   6% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=11251)
-   4% jaxagent_policy                    (min=0.0s, mean=0.0s, max=4.4s, n=831)
-   3% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=11248)
-   2% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=179968)
-   2% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=180016)
-   1% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=179824)
-   1% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=13296)
-   0% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=11251)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=13296)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=11249)
-   0% nvsmi_stats                        (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% jaxagent_load                      (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=12272)
-   0% checkpoint_save                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/jaxagent_save      (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/checkpoint_pickle  (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% checkpoint_save/checkpoint_write   (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6)
-   0% checkpoint_save/replay_save        (min=0.0s, mean=0.0s, max=0.0s, n=1)
