-  81% jaxagent_train                     (min=0.0s, mean=0.0s, max=0.2s, n=11328)
-  56% jaxagent_train/jit_train           (min=0.0s, mean=0.0s, max=0.0s, n=11328)
-  17% replay_sample                      (min=0.0s, mean=0.0s, max=0.0s, n=11328)
-   9% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=11328)
-   5% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=11328)
-   3% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=174926)
-   3% jaxagent_policy                    (min=0.0s, mean=0.0s, max=0.0s, n=708)
-   3% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=174840)
-   1% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=181072)
-   1% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=11328)
-   1% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=11328)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=11328)
-   0% replay_sample/get_compose          (min=0.0s, mean=0.0s, max=0.0s, n=6408)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=11328)
-   0% replay_update/set_compose          (min=0.0s, mean=0.0s, max=0.0s, n=6322)
-   0% nvsmi_stats                        (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=10304)
-   0% replay_add/get_compose             (min=0.0s, mean=0.0s, max=0.0s, n=1024)
-   0% jsonl                              (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/ScopeOutput           (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/JSONLOutput           (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/complete_chunk          (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_write/TerminalOutput        (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logfn/logger_add                   (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=7)
