-  81% jaxagent_train                              (min=0.0s, mean=0.0s, max=0.0s, n=10960)
-  57% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.0s, n=10960)
-  17% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=10961)
-   9% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=10961)
-   6% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=10960)
-   4% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=163559)
-   3% jaxagent_policy                             (min=0.0s, mean=0.0s, max=0.0s, n=685)
-   3% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=163389)
-   1% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=175216)
-   1% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=10961)
-   1% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=10960)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=11987)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=10960)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=11801)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=10960)
-   0% nvsmi_stats                                 (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=10128)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=832)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% jaxagent_report                             (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
