-  83% jaxagent_train                              (min=0.0s, mean=0.0s, max=0.0s, n=9632)
-  46% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.0s, n=9632)
-  26% chunk_save                                  (min=0.2s, mean=0.4s, max=0.6s, n=80)
-  15% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=9633)
-   8% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=9633)
-   4% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=9632)
-   3% jaxagent_policy                             (min=0.0s, mean=0.0s, max=0.0s, n=602)
-   3% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=144735)
-   2% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=144602)
-   1% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=153984)
-   1% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=9633)
-   1% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=9632)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=9526)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=9632)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=9377)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=9632)
-   0% nvsmi_stats                                 (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% checkpoint_save                             (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=8608)
-   0% checkpoint_save/jaxagent_save               (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=1024)
-   0% checkpoint_save/replay_save                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% checkpoint_save/checkpoint_write            (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% checkpoint_save/checkpoint_pickle           (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% jaxagent_report                             (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/replay_save/complete_chunk  (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
