-  52% jaxagent_train                     (min=0.0s, mean=0.0s, max=0.0s, n=10449)
-  37% jaxagent_train/jit_train           (min=0.0s, mean=0.0s, max=0.0s, n=10449)
-  16% replay_sample                      (min=0.0s, mean=0.0s, max=5.8s, n=10451)
-   5% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=10451)
-   4% jaxagent_policy                    (min=0.0s, mean=0.0s, max=4.2s, n=781)
-   3% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=10448)
-   2% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=167168)
-   2% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=167216)
-   1% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=167024)
-   1% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=12496)
-   1% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=10451)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=12496)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=10449)
-   0% nvsmi_stats                        (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% jaxagent_load                      (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=11472)
-   0% checkpoint_save                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/jaxagent_save      (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/checkpoint_write   (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% checkpoint_save/checkpoint_pickle  (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6)
-   0% checkpoint_save/replay_save        (min=0.0s, mean=0.0s, max=0.0s, n=1)
