-  81% jaxagent_train                              (min=0.0s, mean=0.0s, max=0.0s, n=9728)
-  60% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.0s, n=9728)
-  33% chunk_save                                  (min=0.3s, mean=0.5s, max=0.9s, n=80)
-  15% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=9729)
-   8% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=9729)
-   5% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=9728)
-   3% jaxagent_policy                             (min=0.0s, mean=0.0s, max=0.0s, n=608)
-   3% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=146767)
-   3% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=146630)
-   1% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=155520)
-   1% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=9729)
-   1% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=9728)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=9728)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=9034)
-   0% checkpoint_save                             (min=0.4s, mean=0.4s, max=0.4s, n=1)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=8881)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=9728)
-   0% nvsmi_stats                                 (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=8704)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=1024)
-   0% checkpoint_save/replay_save                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/jaxagent_save               (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% checkpoint_save/checkpoint_write            (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% checkpoint_save/checkpoint_pickle           (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% jaxagent_report                             (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logfn/logger_add                            (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% checkpoint_save/replay_save/complete_chunk  (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
