run_id,err_diff,expl_mode,horizon,n_all,n_in_norew,n_in_regime,n_in_rew,n_out_norew,n_out_regime,n_out_rew,n_rewarded,n_unrewarded,nll_all,nll_in_norew,nll_in_regime,nll_in_rew,nll_out_norew,nll_out_regime,nll_out_rew,nll_rewarded,nll_unrewarded,rew_nll_all,rew_nll_in,rew_nll_out,reward_aware
ax1wm_synth_fq1s0_seed1,0.348174,apt,0,24024,0,3955,3955,20069,20069,0,3955,20069,1.205914834997455,,0.9150597843748771,0.9150597843748771,1.2632336712729195,1.2632336712729195,,0.9150597843748771,1.2632336712729195,,,,0
ax1wm_synth_fq1s0_seed1,0.521584,apt,1,24000,0,3955,3955,20045,20045,0,3955,20045,2.976040635126903,,2.540409365865087,2.540409365865087,3.0619933250710525,3.0619933250710525,,2.540409365865087,3.0619933250710525,,,,0
ax1wm_synth_fq1s0_seed1,-0.213704,apt,5,23904,0,3955,3955,19949,19949,0,3955,19949,4.87820747624862,,5.0565537213425875,5.0565537213425875,4.8428493430416095,4.8428493430416095,,5.0565537213425875,4.8428493430416095,,,,0
ax1wm_synth_fq1s0_seed1,-1.073455,apt,20,23544,0,3949,3949,19595,19595,0,3949,19595,5.374426510561173,,6.267832689669992,6.267832689669992,5.194377467371546,5.194377467371546,,6.267832689669992,5.194377467371546,,,,0
ax1wm_synth_fq1s0_seed2,0.266197,apt,0,24024,0,3955,3955,20069,20069,0,3955,20069,1.201267293348059,,0.978893280573426,0.978893280573426,1.2450905640901824,1.2450905640901824,,0.978893280573426,1.2450905640901824,,,,0
ax1wm_synth_fq1s0_seed2,0.535045,apt,1,24000,0,3955,3955,20045,20045,0,3955,20045,2.996844321556552,,2.5499701540578803,2.5499701540578803,3.0850153034701084,3.0850153034701084,,2.5499701540578803,3.0850153034701084,,,,0
ax1wm_synth_fq1s0_seed2,0.172263,apt,5,23904,0,3955,3955,19949,19949,0,3955,19949,4.880214685356346,,4.736453366413042,4.736453366413042,4.908716164950348,4.908716164950348,,4.736453366413042,4.908716164950348,,,,0
ax1wm_synth_fq1s0_seed2,-0.406551,apt,20,23544,0,3949,3949,19595,19595,0,3949,19595,5.40902357522703,,5.747384580377074,5.747384580377074,5.340833342548412,5.340833342548412,,5.747384580377074,5.340833342548412,,,,0
ax1wm_synth_fq1s0_seed3,0.165168,apt,0,24024,0,3955,3955,20069,20069,0,3955,20069,1.1777667756956247,,1.0397899038145295,1.0397899038145295,1.2049578927562523,1.2049578927562523,,1.0397899038145295,1.2049578927562523,,,,0
ax1wm_synth_fq1s0_seed3,0.300838,apt,1,24000,0,3955,3955,20045,20045,0,3955,20045,2.9336673057114435,,2.6824051804293094,2.6824051804293094,2.98324284602029,2.98324284602029,,2.6824051804293094,2.98324284602029,,,,0
