-  63% jaxagent_train                     (min=0.0s, mean=0.0s, max=4.8s, n=2449)
-  57% jaxagent_train/jit_train           (min=0.0s, mean=0.0s, max=0.1s, n=2449)
-   8% replay_sample                      (min=0.0s, mean=0.0s, max=5.3s, n=2451)
-   1% jaxagent_policy                    (min=0.0s, mean=0.0s, max=1.2s, n=281)
-   1% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=2451)
-   1% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=2448)
-   0% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=39168)
-   0% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=39216)
-   0% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=4496)
-   0% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=39152)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=4496)
-   0% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=2451)
-   0% checkpoint_save                    (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% checkpoint_save/jaxagent_save      (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% nvsmi_stats                        (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=2449)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=3472)
-   0% checkpoint_save/checkpoint_write   (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% checkpoint_save/checkpoint_pickle  (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6)
-   0% checkpoint_save/replay_save        (min=0.0s, mean=0.0s, max=0.0s, n=1)
