-  67% jaxagent_train                           (min=0.0s, mean=0.0s, max=0.1s, n=2272)
-  65% jaxagent_train/jit_train                 (min=0.0s, mean=0.0s, max=0.1s, n=2272)
-   3% replay_sample                            (min=0.0s, mean=0.0s, max=1.5s, n=2274)
-   1% replay_sample/assemble_batch             (min=0.0s, mean=0.0s, max=0.5s, n=2274)
-   1% checkpoint_load                          (min=2.1s, mean=2.1s, max=2.1s, n=1)
-   1% checkpoint_load/replay_load              (min=2.0s, mean=2.0s, max=2.0s, n=1)
-   1% jaxagent_policy                          (min=0.0s, mean=0.0s, max=1.2s, n=142)
-   1% replay_update                            (min=0.0s, mean=0.0s, max=0.0s, n=2271)
-   1% replay_update/set_slice                  (min=0.0s, mean=0.0s, max=0.0s, n=33015)
-   0% checkpoint_load/replay_load/get_slice    (min=0.0s, mean=0.0s, max=0.0s, n=130048)
-   0% checkpoint_load/replay_load/get_compose  (min=0.0s, mean=0.0s, max=0.2s, n=13312)
-   0% replay_sample/get_slice                  (min=0.0s, mean=0.0s, max=0.0s, n=33014)
-   0% replay_sample/sample                     (min=0.0s, mean=0.0s, max=0.0s, n=36352)
-   0% replay_add                               (min=0.0s, mean=0.0s, max=0.0s, n=2272)
-   0% replay_update/set_compose                (min=0.0s, mean=0.0s, max=0.0s, n=3321)
-   0% replay_sample/annotate_batch             (min=0.0s, mean=0.0s, max=0.0s, n=2274)
-   0% logfn                                    (min=0.0s, mean=0.0s, max=0.0s, n=2272)
-   0% replay_sample/get_compose                (min=0.0s, mean=0.0s, max=0.0s, n=3370)
-   0% nvsmi_stats                              (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% stream_next                              (min=0.0s, mean=0.0s, max=0.0s, n=2272)
-   0% checkpoint_load/jaxagent_load            (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=1248)
-   0% psutil_stats                             (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                               (min=0.0s, mean=0.0s, max=0.0s, n=6)
