model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.92238,0.97709,1.0,64,28000,12000
rssm,posterior,state,0,1,0.94364,0.96074,1000.0,640,28000,12000
rssm,post_deter,state,0,1,0.83294,0.83501,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.58403,0.69149,1000.0,128,28000,12000
rssm,prior,state,0,1,0.86543,0.85285,10.0,640,28000,12000
rssm,enc,state,1,1,0.33835,0.40765,0.001,64,27972,11988
rssm,posterior,state,1,1,0.42995,0.29711,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.40977,0.29903,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.16053,0.18862,1000.0,128,27972,11988
rssm,prior,state,1,1,0.41739,0.29216,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.86544,0.85385,10.0,640,27972,11988
rssm,enc,state,5,1,0.11808,0.09737,10.0,64,27860,11940
rssm,posterior,state,5,1,0.14734,-0.10966,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.14164,-0.06726,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.0438,-0.01602,1000.0,128,27860,11940
rssm,prior,state,5,1,0.14373,-0.09506,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.75193,0.71172,1000.0,640,27860,11940
rssm,enc,state,20,1,0.01343,-0.06667,1000.0,64,27440,11760
rssm,posterior,state,20,1,0.00034,-0.3365,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.00339,-0.28464,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.00494,-0.17289,1000.0,128,27440,11760
rssm,prior,state,20,1,0.00179,-0.29515,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.57007,0.47999,1000.0,640,27440,11760
rssm,enc,gait_phase,0,1,0.46303,0.49053,10.0,64,28000,12000
rssm,posterior,gait_phase,0,1,0.55693,0.41457,1000.0,640,28000,12000
rssm,post_deter,gait_phase,0,1,0.54801,0.41026,1000.0,512,28000,12000
rssm,post_stoch,gait_phase,0,1,0.07621,0.06543,1000.0,128,28000,12000
rssm,prior,gait_phase,0,1,0.5504,0.40447,1000.0,640,28000,12000
rssm,enc,return_to_go,0,1,0.14537,-0.00695,10.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.14477,-0.218,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.14388,-0.23648,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.0402,-0.48908,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.1422,-0.22396,1000.0,640,28000,12000
rssm,enc,time_to_fall,0,1,0.43346,0.74668,1000.0,64,28000,12000
rssm,posterior,time_to_fall,0,1,0.63209,0.81644,1000.0,640,28000,12000
rssm,post_deter,time_to_fall,0,1,0.63456,0.79797,1000.0,512,28000,12000
rssm,post_stoch,time_to_fall,0,1,0.07377,0.0915,1000.0,128,28000,12000
rssm,prior,time_to_fall,0,1,0.63332,0.8264,1000.0,640,28000,12000
rssm,enc,reward_stand,0,1,0.62053,0.9342,10.0,64,28000,12000
rssm,posterior,reward_stand,0,1,0.93711,0.97373,10.0,640,28000,12000
rssm,post_deter,reward_stand,0,1,0.93672,0.9716,0.001,512,28000,12000
rssm,post_stoch,reward_stand,0,1,0.08737,0.30159,1000.0,128,28000,12000
rssm,prior,reward_stand,0,1,0.93685,0.97411,0.001,640,28000,12000
rssm,enc,reward_walk,0,1,0.47715,0.66731,1000.0,64,28000,12000
rssm,posterior,reward_walk,0,1,0.62721,0.69727,1000.0,640,28000,12000
rssm,post_deter,reward_walk,0,1,0.61854,0.63938,1000.0,512,28000,12000
rssm,post_stoch,reward_walk,0,1,0.09566,0.04352,1000.0,128,28000,12000
rssm,prior,reward_walk,0,1,0.6188,0.66559,1000.0,640,28000,12000
rssm,enc,reward_run,0,1,0.61002,0.92184,1000.0,64,28000,12000
rssm,posterior,reward_run,0,1,0.91281,0.9635,1000.0,640,28000,12000
rssm,post_deter,reward_run,0,1,0.91595,0.95507,10.0,512,28000,12000
rssm,post_stoch,reward_run,0,1,0.09337,0.24495,1000.0,128,28000,12000
rssm,prior,reward_run,0,1,0.9162,0.96233,10.0,640,28000,12000
