model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.89738,0.96677,1.0,64,28000,12000
rssm,posterior,state,0,1,0.95259,0.95241,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.89085,0.87981,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.25052,0.43026,10.0,128,28000,12000
rssm,prior,state,0,1,0.91302,0.89879,10.0,640,28000,12000
rssm,enc,state,1,1,0.35913,0.41773,0.001,64,27972,11988
rssm,posterior,state,1,1,0.43769,0.31018,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.4337,0.32233,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.07413,0.10167,10.0,128,27972,11988
rssm,prior,state,1,1,0.43688,0.29994,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.91305,0.89816,10.0,640,27972,11988
rssm,enc,state,5,1,0.13564,0.09884,10.0,64,27860,11940
rssm,posterior,state,5,1,0.14789,-0.12667,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.14714,-0.09297,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.0222,-0.03335,1000.0,128,27860,11940
rssm,prior,state,5,1,0.14717,-0.10717,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.82677,0.79468,1000.0,640,27860,11940
rssm,enc,state,20,1,0.01307,-0.06767,1000.0,64,27440,11760
rssm,posterior,state,20,1,-0.00278,-0.34287,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.00192,-0.32155,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.00313,-0.07984,1000.0,128,27440,11760
rssm,prior,state,20,1,0.00057,-0.30561,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.62192,0.53615,1000.0,640,27440,11760
rssm,enc,gait_phase,0,1,0.46471,0.47692,10.0,64,28000,12000
rssm,posterior,gait_phase,0,1,0.56069,0.42633,1000.0,640,28000,12000
rssm,post_deter,gait_phase,0,1,0.55702,0.41581,1000.0,512,28000,12000
rssm,post_stoch,gait_phase,0,1,0.07811,0.10298,1.0,128,28000,12000
rssm,prior,gait_phase,0,1,0.55711,0.42392,1000.0,640,28000,12000
rssm,enc,return_to_go,0,1,0.16278,-0.04496,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.13687,-0.21965,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.1372,-0.24937,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.04228,-0.10937,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.13926,-0.24964,1000.0,640,28000,12000
rssm,enc,time_to_fall,0,1,0.42675,0.66144,1000.0,64,28000,12000
rssm,posterior,time_to_fall,0,1,0.53049,0.66637,1000.0,640,28000,12000
rssm,post_deter,time_to_fall,0,1,0.5383,0.60449,1000.0,512,28000,12000
rssm,post_stoch,time_to_fall,0,1,0.11421,0.13738,1000.0,128,28000,12000
rssm,prior,time_to_fall,0,1,0.53874,0.64164,1000.0,640,28000,12000
rssm,enc,reward_stand,0,1,0.61346,0.89394,10.0,64,28000,12000
rssm,posterior,reward_stand,0,1,0.91368,0.95514,10.0,640,28000,12000
rssm,post_deter,reward_stand,0,1,0.9128,0.94786,10.0,512,28000,12000
rssm,post_stoch,reward_stand,0,1,0.15484,0.35238,1000.0,128,28000,12000
rssm,prior,reward_stand,0,1,0.91285,0.9476,10.0,640,28000,12000
rssm,enc,reward_walk,0,1,0.45182,0.59814,1000.0,64,28000,12000
rssm,posterior,reward_walk,0,1,0.6201,0.69975,1000.0,640,28000,12000
rssm,post_deter,reward_walk,0,1,0.62112,0.64106,1000.0,512,28000,12000
rssm,post_stoch,reward_walk,0,1,0.10927,0.01179,1000.0,128,28000,12000
rssm,prior,reward_walk,0,1,0.6211,0.65046,1000.0,640,28000,12000
rssm,enc,reward_run,0,1,0.62281,0.88967,10.0,64,28000,12000
rssm,posterior,reward_run,0,1,0.89276,0.93695,10.0,640,28000,12000
rssm,post_deter,reward_run,0,1,0.89236,0.92908,10.0,512,28000,12000
rssm,post_stoch,reward_run,0,1,0.1598,0.32921,1000.0,128,28000,12000
rssm,prior,reward_run,0,1,0.89214,0.93166,10.0,640,28000,12000
