model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.72954,0.76597,10.0,64,28000,12000
rssm,posterior,state,0,1,0.77149,0.68804,1000.0,640,28000,12000
rssm,post_deter,state,0,1,0.75005,0.68907,1000.0,512,28000,12000
rssm,post_stoch,state,0,1,0.38429,0.54488,0.1,128,28000,12000
rssm,prior,state,0,1,0.7599,0.68312,1000.0,640,28000,12000
vae,vae_enc,state,0,1,0.71624,0.76276,0.001,64,28000,12000
vae,vae_latent,state,0,1,0.71623,0.76299,0.001,128,28000,12000
vae,vae_latent,state,0,4,0.72812,0.72287,10.0,512,28000,12000
vae,vae_latent,state,0,16,0.73452,0.63204,10.0,2048,28000,12000
vae,vae_latent,state,0,all,0.77952,0.67968,1000.0,256,28000,12000
rssm,enc,state,1,1,0.41721,0.50111,10.0,64,27972,11988
rssm,posterior,state,1,1,0.51044,0.41919,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.50817,0.44044,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.2575,0.32483,10.0,128,27972,11988
rssm,prior,state,1,1,0.51086,0.43024,1000.0,640,27972,11988
vae,vae_enc,state,1,1,0.31298,0.37649,0.001,64,27972,11988
vae,vae_latent,state,1,1,0.31295,0.38776,1.0,128,27972,11988
vae,vae_latent,state,1,4,0.36697,0.34153,10.0,512,27972,11988
vae,vae_latent,state,1,16,0.38552,0.16023,1000.0,2048,27972,11988
vae,vae_latent,state,1,all,0.37656,0.27719,1000.0,256,27972,11988
rssm,imag1,state,1,1,0.75972,0.68394,1000.0,640,27972,11988
rssm,enc,state,5,1,0.24008,0.28995,10.0,64,27860,11940
rssm,posterior,state,5,1,0.28268,0.17507,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.28314,0.20468,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.17312,0.18285,10.0,128,27860,11940
rssm,prior,state,5,1,0.28344,0.18321,1000.0,640,27860,11940
vae,vae_enc,state,5,1,0.17242,0.21802,1.0,64,27860,11940
vae,vae_latent,state,5,1,0.17239,0.22052,0.001,128,27860,11940
vae,vae_latent,state,5,4,0.20971,0.12093,10.0,512,27860,11940
vae,vae_latent,state,5,16,0.22594,-0.11444,1000.0,2048,27860,11940
vae,vae_latent,state,5,all,0.23719,0.09939,1000.0,256,27860,11940
rssm,imag5,state,5,1,0.71201,0.63401,1000.0,640,27860,11940
rssm,enc,state,20,1,0.13775,0.11631,10.0,64,27440,11760
rssm,posterior,state,20,1,0.1487,-0.05267,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.14976,-0.00663,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.10758,0.06426,10.0,128,27440,11760
rssm,prior,state,20,1,0.14904,-0.03371,1000.0,640,27440,11760
vae,vae_enc,state,20,1,0.10068,0.10033,10.0,64,27440,11760
vae,vae_latent,state,20,1,0.10052,0.09127,10.0,128,27440,11760
vae,vae_latent,state,20,4,0.11802,-0.06146,1000.0,512,27440,11760
vae,vae_latent,state,20,16,0.12162,-0.2953,1000.0,2048,27440,11760
vae,vae_latent,state,20,all,0.16468,-0.07281,1000.0,256,27440,11760
rssm,imag20,state,20,1,0.54136,0.45517,1000.0,640,27440,11760
rssm,enc,gait_phase,0,1,0.89202,0.93702,10.0,64,28000,12000
rssm,posterior,gait_phase,0,1,0.93976,0.93938,10.0,640,28000,12000
rssm,post_deter,gait_phase,0,1,0.93943,0.94246,10.0,512,28000,12000
rssm,post_stoch,gait_phase,0,1,0.72616,0.83532,10.0,128,28000,12000
rssm,prior,gait_phase,0,1,0.93936,0.93898,10.0,640,28000,12000
vae,vae_enc,gait_phase,0,1,0.71818,0.85026,0.001,64,28000,12000
vae,vae_latent,gait_phase,0,1,0.71812,0.86403,1.0,128,28000,12000
vae,vae_latent,gait_phase,0,4,0.83412,0.86442,10.0,512,28000,12000
vae,vae_latent,gait_phase,0,16,0.88721,0.88252,10.0,2048,28000,12000
vae,vae_latent,gait_phase,0,all,0.72262,0.80488,10.0,256,28000,12000
rssm,enc,return_to_go,0,1,-0.00152,-0.22462,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,-0.01439,-0.5201,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,-0.01336,-0.50753,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,-0.00013,-0.25976,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,-0.01391,-0.51544,1000.0,640,28000,12000
vae,vae_enc,return_to_go,0,1,-0.00018,-0.07053,1000.0,64,28000,12000
vae,vae_latent,return_to_go,0,1,-0.00091,-0.10754,1000.0,128,28000,12000
vae,vae_latent,return_to_go,0,4,-0.00318,-0.6345,1000.0,512,28000,12000
vae,vae_latent,return_to_go,0,16,-0.01474,-0.43311,1000.0,2048,28000,12000
vae,vae_latent,return_to_go,0,all,0.01825,-8.28421,1000.0,256,28000,12000
rssm,enc,time_to_fall,0,1,0.21264,0.14062,0.001,64,565,300
rssm,posterior,time_to_fall,0,1,0.06339,0.09417,1000.0,640,565,300
rssm,post_deter,time_to_fall,0,1,0.07576,0.07193,1000.0,512,565,300
rssm,post_stoch,time_to_fall,0,1,-0.03767,-0.04184,1000.0,128,565,300
rssm,prior,time_to_fall,0,1,0.04955,0.1251,0.1,640,565,300
vae,vae_enc,time_to_fall,0,1,0.07565,0.08582,10.0,64,565,300
vae,vae_latent,time_to_fall,0,1,0.01539,0.04129,10.0,128,565,300
vae,vae_latent,time_to_fall,0,4,-0.05266,0.00669,10.0,512,565,300
vae,vae_latent,time_to_fall,0,16,-0.00852,-0.05266,10.0,2048,565,300
vae,vae_latent,time_to_fall,0,all,-0.11288,-0.10863,10.0,256,565,300
